"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-2.762500008E-4,6.649440527E-2,5.910130590E-2,-2.870518342E-2
9.684750003E-3,8.111569285E-2,9.286513180E-2,-2.497089840E-2
1.964675000E-2,1.049846411E-1,9.561657161E-2,-2.138530090E-2
2.960875000E-2,1.234121174E-1,8.566540480E-2,-2.375231683E-2
3.957075000E-2,1.227238551E-1,8.323810995E-2,-3.882027045E-2
4.953275000E-2,1.018851474E-1,1.068393141E-1,-4.131751508E-2
5.949475000E-2,7.367219031E-2,1.426493675E-1,-4.349409789E-2
6.945675000E-2,5.416240543E-2,1.548317373E-1,-4.073905200E-2
7.941875000E-2,4.201420024E-2,1.275015324E-1,-3.140597790E-2
8.938075000E-2,3.398929536E-2,7.259407640E-2,-1.964732260E-2
9.934275000E-2,2.257024869E-2,7.195411716E-3,-1.178777311E-2
1.093047500E-1,9.452583268E-3,-5.386181548E-2,-6.664916873E-3
1.192657500E-1,-1.230696216E-5,-1.070242822E-1,-3.407874843E-3
1.292277500E-1,-3.448849777E-3,-1.389912814E-1,-6.118972786E-3
1.391897500E-1,2.685122890E-3,-1.436765194E-1,-1.464686263E-2
1.491517500E-1,1.577109657E-2,-1.338574439E-1,-2.724680863E-2
1.591137500E-1,3.559568152E-2,-1.223187745E-1,-4.239285737E-2
1.690757500E-1,5.402422324E-2,-9.914687276E-2,-4.977460578E-2
1.790377500E-1,7.572217286E-2,-5.431735143E-2,-5.252654478E-2
1.889997500E-1,1.002027467E-1,3.799480386E-3,-5.164770037E-2
1.989617500E-1,1.242823228E-1,7.877843082E-2,-4.442209750E-2
2.089237500E-1,1.286906451E-1,1.674523652E-1,-4.832869023E-2
2.188857500E-1,1.178778112E-1,2.468321472E-1,-5.523607135E-2
2.288467500E-1,1.017068326E-1,2.723782659E-1,-5.322884768E-2
2.388087500E-1,8.049934357E-2,2.310407162E-1,-4.288110882E-2
2.487707500E-1,5.515216663E-2,1.445870399E-1,-3.433289379E-2
2.587327500E-1,1.424051635E-2,3.088915721E-2,-2.565200441E-2
2.686947500E-1,-5.391563475E-2,-9.680036455E-2,-1.942153834E-2
2.786567500E-1,-1.577997506E-1,-2.318817973E-1,-1.855976693E-2
2.886187500E-1,-2.981070578E-1,-3.688217998E-1,-2.983053215E-2
2.985807500E-1,-4.720794559E-1,-4.956091046E-1,-6.117052585E-2
3.085427500E-1,-6.814345121E-1,-6.041728854E-1,-9.497642517E-2
3.185047500E-1,-9.368805885E-1,-6.813836098E-1,-1.152514145E-1
3.284667500E-1,-1.222729325E0,-7.402575612E-1,-1.278425753E-1
3.384287500E-1,-1.517525554E0,-7.969900966E-1,-1.181648970E-1
3.483897500E-1,-1.804260850E0,-8.560262322E-1,-6.497571617E-2
3.583517500E-1,-2.053607702E0,-9.511397481E-1,5.937952548E-3
3.683137500E-1,-2.271816969E0,-1.108683705E0,9.441375732E-2
3.782757500E-1,-2.495490313E0,-1.452709794E0,2.485467792E-1
3.882377500E-1,-2.592801809E0,-1.901293993E0,4.494186342E-1
3.981997500E-1,-2.386892319E0,-2.202517033E0,5.544689894E-1
4.081617500E-1,-1.985136032E0,-2.106650114E0,4.970323443E-1
4.181237500E-1,-1.681392431E0,-1.395791769E0,3.990612924E-1
4.280857500E-1,-1.373900890E0,-4.274724796E-2,3.332607150E-1
4.380477500E-1,-1.067089438E0,1.379325867E0,2.797103524E-1
4.480097500E-1,-1.198207974E0,2.202907085E0,2.843423784E-1
4.579707500E-1,-1.759978533E0,2.219994545E0,3.820549846E-1
4.679327500E-1,-2.276322126E0,1.689600587E0,4.909801185E-1
4.778947500E-1,-2.492784262E0,1.090774894E0,5.121273994E-1
4.878567500E-1,-2.234903574E0,8.584468365E-1,4.446924329E-1
4.978187500E-1,-1.453812480E0,1.015290022E0,3.646062315E-1
5.077807500E-1,-8.237772584E-1,7.802586555E-1,3.701466918E-1
5.177427500E-1,-6.118674278E-1,1.417646706E-1,4.822576344E-1
5.277047500E-1,-5.887908936E-1,-3.456571996E-1,6.406664252E-1
5.376667500E-1,-5.704783201E-1,-4.066759050E-1,7.803575993E-1
5.476287500E-1,-4.732415378E-1,-1.288767606E-1,8.723631501E-1
5.575907500E-1,-3.371623158E-1,2.330134064E-1,9.161981940E-1
5.675517500E-1,-2.155586332E-1,4.713093340E-1,9.481207132E-1
5.775137500E-1,-1.357894391E-1,6.278525591E-1,9.394723773E-1
5.874757500E-1,-1.276265830E-1,7.339020371E-1,8.557972312E-1
5.974377500E-1,-1.200253591E-1,7.863031030E-1,7.074347734E-1
6.073997500E-1,-1.040578410E-1,8.154703379E-1,5.259382129E-1
6.173617500E-1,-1.013896242E-1,8.650120497E-1,3.633706272E-1
6.273237500E-1,-9.469176829E-2,9.547730684E-1,2.335774601E-1
6.372857500E-1,-8.954848349E-2,1.019780874E0,1.291508824E-1
6.472477500E-1,-1.111741439E-1,1.025177240E0,2.379463613E-2
6.572097500E-1,-2.084269226E-1,9.720498323E-1,-1.036946103E-1
6.671717500E-1,-3.289426863E-1,9.224907756E-1,-2.176411599E-1
6.771337500E-1,-4.073778391E-1,9.030497074E-1,-3.022029102E-1
6.870947500E-1,-4.453310668E-1,8.810791373E-1,-3.559100628E-1
6.970567500E-1,-4.555010498E-1,8.295146227E-1,-3.643603623E-1
7.070187500E-1,-4.751133621E-1,7.825100422E-1,-3.444175422E-1
7.169807500E-1,-5.196840763E-1,8.161971569E-1,-3.290319741E-1
7.269427500E-1,-5.341231823E-1,8.483380079E-1,-3.466873765E-1
7.369047500E-1,-5.328704715E-1,8.455633521E-1,-4.002828598E-1
7.468667500E-1,-5.619210005E-1,8.339751363E-1,-4.595102370E-1
7.568287500E-1,-5.978592634E-1,7.994410396E-1,-5.198866725E-1
7.667907500E-1,-6.106991768E-1,7.044007778E-1,-5.642512441E-1
7.767527500E-1,-5.951445699E-1,5.909520984E-1,-5.649544001E-1
7.867147500E-1,-5.848761797E-1,5.268138647E-1,-5.358979702E-1
7.966767500E-1,-6.117957234E-1,3.884699345E-1,-4.601243436E-1
8.066387500E-1,-5.848884583E-1,2.970249653E-1,-3.593117297E-1
8.165997500E-1,-4.826386571E-1,3.536135256E-1,-2.954593301E-1
8.265617500E-1,-2.572007477E-1,3.557368815E-1,-3.055561781E-1
8.365239583E-1,7.496930659E-2,2.137758732E-1,-3.109456897E-1
8.464859583E-1,4.477428794E-1,3.462344036E-2,-2.422635704E-1
8.564479583E-1,7.981664538E-1,-7.260092348E-2,-9.692778438E-2
8.664099583E-1,1.083297849E0,-2.021458745E-1,1.296771318E-1
8.763719583E-1,1.324174523E0,-4.474053085E-1,3.709441423E-1
8.863339583E-1,1.543821573E0,-8.475561142E-1,5.795791745E-1
8.962959583E-1,1.650125384E0,-1.584485650E0,6.837136149E-1
9.062579583E-1,1.545214653E0,-2.442603827E0,6.805705428E-1
9.162199583E-1,1.447296262E0,-2.913236618E0,4.644447565E-1
9.261819583E-1,1.666911960E0,-2.959859848E0,2.805516124E-2
9.361429583E-1,2.031366348E0,-2.838749409E0,-3.872286379E-1
9.461049583E-1,2.130711317E0,-2.727578163E0,-7.451888919E-1
9.560669583E-1,1.959945679E0,-2.678843737E0,-1.072326541E0
9.660289583E-1,1.210731387E0,-2.287172079E0,-1.514811754E0
9.759909583E-1,3.642764986E-1,-9.953458905E-1,-2.011759758E0
9.859529583E-1,3.885914087E-1,3.824966848E-1,-2.331346750E0
9.959149583E-1,9.802153111E-1,1.118935108E0,-2.570156574E0
1.005876958E0,1.840174675E0,1.250377774E0,-2.704653025E0
1.015838958E0,2.627557278E0,9.634525776E-1,-2.457000017E0
1.025800958E0,3.237645388E0,4.219546914E-1,-1.394299865E0
1.035762958E0,3.091329098E0,-3.161014616E-1,2.166754007E-1
1.045724958E0,2.096101284E0,-1.191583514E0,1.285453558E0
1.055685958E0,1.254760385E0,-2.028280735E0,1.641115069E0
1.065647958E0,9.021834731E-1,-2.605207205E0,1.646563053E0
1.075609958E0,8.663085699E-1,-2.918948650E0,1.471628666E0
1.085571958E0,9.232214689E-1,-3.003179789E0,1.160692334E0
1.095533958E0,1.105259061E0,-2.685315371E0,7.600238919E-1
1.105495958E0,1.403728604E0,-1.979415536E0,4.033385217E-1
1.115457958E0,1.833085775E0,-8.937869072E-1,1.103145108E-1
1.125419958E0,2.066170216E0,1.461620331E-1,-1.534303129E-1
1.135381958E0,1.962994933E0,8.214457631E-1,-2.741534710E-1
1.145343958E0,1.617989540E0,1.101027369E0,-1.887016892E-1
1.155305958E0,1.263091803E0,1.186546922E0,-4.773478583E-2
1.165267958E0,1.078531504E0,1.272284627E0,7.917655259E-2
1.175228958E0,1.034448028E0,1.353970766E0,1.555289626E-1
1.185190958E0,1.014858842E0,1.254399776E0,1.839078814E-1
1.195152958E0,1.031628609E0,1.084647894E0,2.173256278E-1
1.205114958E0,1.088244915E0,8.328854442E-1,2.463186532E-1
1.215076958E0,1.149223566E0,4.208591282E-1,2.456237078E-1
1.225038958E0,1.212492585E0,-4.166355133E-1,2.024101913E-1
1.235000958E0,1.346833944E0,-1.823336005E0,7.821143419E-2
1.244962958E0,1.531762958E0,-3.110972881E0,-7.996675372E-2
1.254924958E0,1.648896694E0,-3.673467875E0,-2.002649903E-1
1.264886958E0,1.642495751E0,-3.561936855E0,-2.481662035E-1
1.274848958E0,1.442075968E0,-2.904918909E0,-2.864955366E-1
1.284810958E0,8.695973158E-1,-1.743274570E0,-3.798893988E-1
1.294772958E0,2.637870908E-1,-3.387708664E-1,-3.733655810E-1
1.304733958E0,1.258451939E-1,7.226405144E-1,-2.074596882E-1
1.314695958E0,2.441007942E-1,1.019025922E0,-1.109723970E-1
1.324657958E0,4.094625711E-1,7.572874427E-1,-3.284323588E-2
1.334619958E0,4.662607610E-1,4.179022312E-1,1.113020107E-1
1.344581958E0,3.944611549E-1,2.725830972E-1,2.881766558E-1
1.354543958E0,3.055074811E-1,2.597289383E-1,4.320661426E-1
1.364505958E0,2.134073824E-1,1.082680523E-1,5.382109284E-1
1.374467958E0,4.926908761E-2,-3.432378471E-1,6.246984601E-1
1.384429958E0,-2.269577086E-1,-7.208045721E-1,6.929630041E-1
1.394391958E0,-4.664584696E-1,-6.488679647E-1,7.390512228E-1
1.404353958E0,-5.975057483E-1,-2.842599154E-1,7.197741866E-1
1.414315958E0,-7.525044680E-1,5.784979835E-2,6.729059815E-1
1.424276958E0,-1.056381226E0,3.043605089E-1,8.524011374E-1
1.434238958E0,-1.550313592E0,5.278806686E-1,1.069986939E0
1.444200958E0,-2.236577988E0,7.428800464E-1,1.208304644E0
1.454162958E0,-3.024424553E0,8.384082317E-1,1.277314901E0
1.464124958E0,-3.830073833E0,6.192561388E-1,1.352843523E0
1.474086958E0,-4.292686462E0,3.389077485E-1,1.418057680E0
1.484048958E0,-3.951416016E0,2.290547490E-1,1.453414083E0
1.494010958E0,-2.974158287E0,7.319116592E-2,1.544358015E0
1.503972958E0,-2.005412340E0,-9.127368033E-2,1.501831532E0
1.513934958E0,-1.268254995E0,-1.804677844E-1,1.344603896E0
1.523896958E0,-8.233470917E-1,-2.222786248E-1,1.084973335E0
1.533858958E0,-1.313511372E0,2.151280046E-1,5.923833251E-1
1.543819958E0,-2.450721741E0,9.537317753E-1,-1.880920492E-2
1.553781958E0,-2.942198038E0,1.288709879E0,-3.945884109E-1
1.563743958E0,-2.905070543E0,1.368917346E0,-5.150799155E-1
1.573705958E0,-2.836500883E0,1.088078976E0,-5.531198382E-1
1.583667958E0,-2.650496006E0,3.259698451E-1,-6.384767890E-1
1.593629958E0,-2.419805765E0,-5.298033953E-1,-7.111566663E-1
1.603591958E0,-2.261466742E0,-6.183484793E-1,-7.198982239E-1
