"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.537791672E-3,-1.338278890E0,-1.238887072E0,-5.930234194E-1
1.149979167E-2,-1.322460413E0,-1.156528592E0,-5.399869084E-1
2.146079167E-2,-1.219791770E0,-9.730764627E-1,-4.823667705E-1
3.142279167E-2,-1.029567003E0,-6.046805978E-1,-4.123786092E-1
4.138479167E-2,-7.857607007E-1,-3.953973949E-2,-3.549430370E-1
5.134679167E-2,-5.531408191E-1,5.560574532E-1,-2.862578034E-1
6.130779167E-2,-3.903748095E-1,1.090214610E0,-1.974824071E-1
7.126979167E-2,-3.389101326E-1,1.442847610E0,-9.064177424E-2
8.123179167E-2,-3.569866121E-1,1.471925139E0,7.522080559E-3
9.119379167E-2,-3.498075008E-1,1.199585199E0,6.536158919E-2
1.011547917E-1,-2.403933853E-1,7.492718101E-1,5.747304112E-2
1.111167917E-1,1.005761698E-2,2.587121129E-1,5.578399450E-2
1.210787917E-1,4.337327182E-1,-1.557178348E-1,7.783177495E-2
1.310407917E-1,9.778375626E-1,-3.578951657E-1,1.032854691E-1
1.410017917E-1,1.468625069E0,-3.513629735E-1,1.255825162E-1
1.509637917E-1,1.750369668E0,-3.159754872E-1,1.288219392E-1
1.609257917E-1,1.758462429E0,-3.016950786E-1,1.227832288E-1
1.708877917E-1,1.560618997E0,-3.215363920E-1,9.448606521E-2
1.808487917E-1,1.257229805E0,-3.344713748E-1,5.153833330E-2
1.908107917E-1,9.870994687E-1,-2.497464418E-1,2.051642910E-2
2.007727917E-1,8.517858386E-1,-5.764038488E-2,7.449550927E-2
2.107347917E-1,1.101355791E0,-3.940484524E-1,5.062373281E-1
2.206957917E-1,1.125507474E0,2.907562554E-1,4.772390127E-1
2.306577917E-1,2.016325891E-1,-1.984244585E0,-2.240338326E-1
2.406197917E-1,-4.751336277E-1,-9.707823396E-1,-4.523234665E-1
2.505817917E-1,-6.763853431E-1,2.098949999E-1,-5.291740894E-1
2.605427917E-1,-7.111907601E-1,1.296236157E0,-4.648504555E-1
2.705047917E-1,-4.097568393E-1,2.188220263E0,-1.397372335E-1
2.804667917E-1,9.835909307E-2,2.899780750E0,2.507458329E-1
2.904287917E-1,6.406162977E-1,3.308809042E0,2.945953906E-1
3.003897917E-1,1.027129292E0,3.317327738E0,1.570681632E-1
3.103517917E-1,1.200722933E0,2.856039286E0,1.295441836E-1
3.203137917E-1,1.198262691E0,2.109008074E0,1.858359426E-1
3.302757917E-1,1.034800053E0,1.239284992E0,2.573767304E-1
3.402367917E-1,7.165064216E-1,4.307745993E-1,2.153512686E-1
3.501987917E-1,3.716735542E-1,-4.275806546E-1,2.395281643E-1
3.601607917E-1,1.313030422E-1,-1.204379201E0,4.058953226E-1
3.701227917E-1,2.055823989E-2,-1.773120999E0,5.403978825E-1
3.800837917E-1,-1.923900563E-3,-2.039691448E0,5.821674466E-1
3.900457917E-1,8.021315560E-3,-2.015154123E0,5.439910889E-1
4.000077917E-1,1.729657315E-2,-1.791361928E0,4.487178624E-1
4.099697917E-1,2.643953264E-2,-1.496502995E0,3.368731737E-1
4.199307917E-1,2.676177770E-2,-1.209249377E0,2.375993133E-1
4.298927917E-1,1.569215953E-2,-9.774699211E-1,1.664139926E-1
4.398547917E-1,-2.298120037E-2,-8.127533793E-1,1.283015013E-1
4.498160833E-1,-9.954971075E-2,-6.880334020E-1,9.896077216E-2
4.597780833E-1,-2.239651382E-1,-5.608333945E-1,6.221980229E-2
4.697390833E-1,-3.783167303E-1,-4.086121023E-1,3.783550486E-2
4.797010833E-1,-5.119914412E-1,-2.644533217E-1,2.276680619E-2
4.896630833E-1,-5.912683606E-1,-1.632920057E-1,9.471780621E-3
4.996250833E-1,-6.218438148E-1,-9.441786259E-2,3.089087550E-4
5.095860833E-1,-6.419478059E-1,-1.315734815E-2,-1.278467290E-2
5.195480833E-1,-6.811628342E-1,1.084849313E-1,-4.194734991E-2
5.295100833E-1,-7.377734780E-1,2.405789047E-1,-1.034306958E-1
5.394720833E-1,-8.050113320E-1,3.353320360E-1,-1.913331151E-1
5.494330833E-1,-8.813114166E-1,3.585216105E-1,-2.872643769E-1
5.593950833E-1,-9.859781861E-1,2.999272645E-1,-3.884527683E-1
5.693570833E-1,-1.180410504E0,2.037912160E-1,-4.852044880E-1
5.793190833E-1,-1.444979906E0,9.818755835E-2,-5.733151436E-1
5.892800833E-1,-1.760444403E0,4.898193479E-2,-6.668627262E-1
5.992420833E-1,-2.046488523E0,5.103735998E-2,-7.774308324E-1
6.092040833E-1,-2.246505499E0,2.128320280E-3,-8.717783689E-1
6.191660833E-1,-2.345051289E0,-8.833782747E-3,-8.935469985E-1
6.291270833E-1,-2.412475109E0,2.061193138E-1,-8.666739464E-1
6.390890833E-1,-2.482431173E0,5.924427509E-1,-8.447795510E-1
6.490510833E-1,-2.546995878E0,9.243251085E-1,-8.227567077E-1
6.590130833E-1,-2.579157591E0,1.112239361E0,-7.780510187E-1
6.689740833E-1,-2.528930426E0,1.101645947E0,-7.388224602E-1
6.789360833E-1,-2.355562925E0,9.555683136E-1,-6.902642250E-1
6.888980833E-1,-2.213906050E0,6.623511314E-1,-6.858597994E-1
6.988600833E-1,-2.225540638E0,3.069088757E-1,-7.090231776E-1
7.088210833E-1,-2.349167824E0,4.188456386E-2,-7.154157162E-1
7.187830833E-1,-2.397587776E0,-9.480563551E-2,-6.783258319E-1
7.287450833E-1,-2.282904625E0,-1.908250004E-1,-6.098701954E-1
7.387070833E-1,-2.084183455E0,-2.726237476E-1,-5.192846656E-1
7.486690833E-1,-1.983851671E0,-2.470860928E-1,-4.475781620E-1
7.586300833E-1,-2.028022051E0,-9.672801197E-2,-4.005163610E-1
