"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.708749962E-4,-1.156794434E0,-8.151898041E0,-4.518952789E0
1.023287500E-2,-1.785786438E0,-8.130342865E0,-4.371808777E0
2.019487500E-2,-2.202220459E0,-8.083190918E0,-4.203259277E0
3.015687500E-2,-2.173779602E0,-8.025560760E0,-4.062551880E0
4.011887500E-2,-1.902843018E0,-7.850874023E0,-4.143383789E0
5.008087500E-2,-1.542093201E0,-7.707023163E0,-4.469405823E0
6.004287500E-2,-1.262175293E0,-7.658524017E0,-4.932093658E0
7.000487500E-2,-1.130449219E0,-7.702382813E0,-5.318739624E0
7.996687500E-2,-9.804611206E-1,-7.686815186E0,-5.533842316E0
8.992887500E-2,-9.433383179E-1,-7.557484131E0,-5.619763641E0
9.989087500E-2,-9.039701843E-1,-7.346722412E0,-5.815706177E0
1.098528750E-1,-8.891510010E-1,-7.156617737E0,-6.071224823E0
1.198148750E-1,-9.389973450E-1,-6.997049561E0,-6.295009460E0
1.297768750E-1,-9.906399536E-1,-6.918013916E0,-6.454577637E0
1.397388750E-1,-1.053509216E0,-7.072193298E0,-6.650969238E0
1.497008750E-1,-1.066532135E0,-7.414232025E0,-6.775360565E0
1.596628750E-1,-1.001866608E0,-7.863747253E0,-6.832391968E0
1.696248750E-1,-1.015937347E0,-8.173602905E0,-6.915319519E0
1.795858750E-1,-1.086141357E0,-8.320297852E0,-7.301666107E0
1.895478750E-1,-1.171763306E0,-8.391250305E0,-7.871082001E0
1.995098750E-1,-1.421593781E0,-8.362809448E0,-8.203690338E0
2.094718750E-1,-1.708547058E0,-8.161178741E0,-8.264014893E0
2.194338750E-1,-1.957180023E0,-7.867339783E0,-8.138426056E0
2.293958750E-1,-1.928888855E0,-7.491770782E0,-8.023614807E0
2.393578750E-1,-1.700164490E0,-6.950047302E0,-7.682174835E0
2.493198750E-1,-1.526675262E0,-6.266119537E0,-7.065756683E0
2.592818750E-1,-1.333127747E0,-5.515131226E0,-6.756499786E0
2.692438750E-1,-1.613195343E0,-5.076992340E0,-6.357130280E0
2.792058750E-1,-1.951491852E0,-5.192701721E0,-5.505700836E0
2.891678750E-1,-1.701511688E0,-5.523214417E0,-4.553530884E0
2.991298750E-1,-9.045689392E-1,-5.820945282E0,-3.470532990E0
3.090918750E-1,4.775070190E-2,-5.959856415E0,-2.199226685E0
3.190538750E-1,9.226812744E-1,-5.699398041E0,-8.738827515E-1
3.290158750E-1,1.512005768E0,-5.093757477E0,5.355862427E-1
3.389781250E-1,1.613644409E0,-4.475243683E0,1.836530914E0
3.489401250E-1,1.607656860E0,-4.046535187E0,2.462529144E0
3.589021250E-1,1.831591187E0,-3.872297516E0,2.113904114E0
3.688641250E-1,2.427801361E0,-3.782184906E0,-4.261637878E-1
3.788261250E-1,3.264860687E0,-4.594545593E0,-5.672005005E0
3.887881250E-1,3.385958862E0,-7.281308441E0,-4.858446808E0
3.987501250E-1,2.506687317E0,-1.019619690E1,-1.766326904E-2
4.087121250E-1,4.267625427E-1,-1.256621841E1,1.791624298E0
4.186741250E-1,-1.659449158E0,-1.537812103E1,2.483335876E-1
4.286361250E-1,-4.160448303E0,-1.842413681E1,-1.761686554E0
4.385981250E-1,-5.143304443E0,-1.840572510E1,-2.735261993E0
4.485591250E-1,-3.855233002E0,-1.600816086E1,-2.391277313E0
4.585211250E-1,-2.411634979E0,-1.388602386E1,-1.052910461E0
4.684831250E-1,-1.955982513E0,-1.293609924E1,-6.066883850E-1
4.784451250E-1,-2.066752167E0,-1.262609390E1,-7.238946533E-1
4.884071250E-1,-2.388433228E0,-1.236832993E1,-4.194277954E-1
4.983691250E-1,-2.539319458E0,-1.215427505E1,-2.398013306E-1
5.083311250E-1,-2.439776459E0,-1.211206284E1,-1.063987427E0
5.182931250E-1,-2.889291687E0,-1.266411484E1,-2.292931824E0
5.282551250E-1,-3.554957428E0,-1.396221542E1,-2.780018921E0
5.382171250E-1,-3.524420929E0,-1.553888672E1,-2.852168884E0
5.481791250E-1,-3.946992188E0,-1.712528778E1,-2.670746155E0
5.581411250E-1,-5.538332977E0,-1.863549728E1,-3.128643951E0
5.681031250E-1,-6.632407837E0,-1.881287842E1,-3.670966187E0
5.780651250E-1,-6.745871887E0,-1.775413010E1,-4.392765198E0
5.880271250E-1,-6.354735260E0,-1.585233490E1,-5.059478760E0
5.979891250E-1,-6.191424866E0,-1.283910095E1,-5.586981812E0
6.079511250E-1,-5.818250885E0,-9.963730316E0,-6.595584412E0
6.179131250E-1,-4.867428131E0,-7.325316925E0,-6.885531464E0
6.278751250E-1,-3.879183197E0,-5.589975586E0,-6.826254730E0
6.378371250E-1,-3.653901672E0,-4.860542450E0,-5.873036957E0
6.477991250E-1,-3.189866638E0,-4.615202637E0,-4.213887177E0
6.577611250E-1,-1.569486237E0,-4.484075317E0,-5.004842377E0
6.677231250E-1,-2.343975677E0,-4.246669006E0,-5.304219818E0
