"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.133416667E-3,8.290082961E-2,-4.546855688E-1,-2.439345606E-2
1.409541667E-2,1.917510666E-2,-3.314986229E-1,-3.313119337E-2
2.405741667E-2,-2.922518365E-2,-1.931018531E-1,-3.250774741E-2
3.401941667E-2,-2.376230992E-2,-1.027176380E-1,-2.171741799E-2
4.398141667E-2,3.971759602E-2,-8.206748962E-2,-2.289666608E-2
5.394341667E-2,1.252356619E-1,-1.235077232E-1,-3.800813481E-2
6.390541667E-2,1.935894191E-1,-1.950572729E-1,-4.002468288E-2
7.386741667E-2,2.229527533E-1,-2.723222077E-1,-3.527504951E-2
8.382841667E-2,2.165377289E-1,-3.215842843E-1,-3.210695460E-2
9.379041667E-2,1.807377487E-1,-3.433245420E-1,-3.364804387E-2
1.037524167E-1,1.337659806E-1,-3.617679775E-1,-3.077742271E-2
1.137144167E-1,9.602690488E-2,-3.905964196E-1,-2.154580690E-2
1.236764167E-1,8.398249745E-2,-4.341263175E-1,-8.342918940E-3
1.336384167E-1,9.505551308E-2,-4.653260112E-1,4.261174705E-3
1.436004167E-1,1.187390089E-1,-4.391053319E-1,8.226089180E-3
1.535624167E-1,1.349777281E-1,-3.090661764E-1,-6.597335450E-4
1.635244167E-1,1.363878697E-1,-7.540096343E-2,-9.838850237E-3
1.734864167E-1,1.331389844E-1,1.599796712E-1,-1.640841737E-2
1.834484167E-1,1.366295815E-1,3.194588125E-1,-2.051261440E-2
1.934104167E-1,1.392528713E-1,3.863171339E-1,-1.373404823E-2
2.033724167E-1,1.310692430E-1,3.880721629E-1,-1.480117813E-2
2.133334167E-1,1.161319390E-1,3.571586609E-1,-1.486820728E-2
2.232954167E-1,1.167053133E-1,2.918576598E-1,-2.197458595E-2
2.332574167E-1,1.574569792E-1,1.758677959E-1,-2.688304707E-2
2.432194167E-1,2.146574110E-1,1.269512530E-2,-2.051782608E-2
2.531814167E-1,2.612590194E-1,-1.440836936E-1,-7.038246840E-3
2.631434167E-1,2.705944777E-1,-2.381393462E-1,-3.801441519E-3
2.731054167E-1,2.422703058E-1,-2.504388988E-1,-1.127095986E-2
2.830674167E-1,1.912257522E-1,-2.007432580E-1,-2.273506857E-2
2.930294167E-1,1.434854269E-1,-1.421956420E-1,-3.082496673E-2
3.029914167E-1,1.230733618E-1,-1.145336404E-1,-2.468797565E-2
3.129534167E-1,1.320282817E-1,-1.187964380E-1,-1.451501437E-2
3.229154167E-1,1.509148777E-1,-1.428828686E-1,-4.701798316E-3
3.328764167E-1,1.761603951E-1,-1.829461306E-1,7.965259254E-3
3.428384167E-1,2.093324661E-1,-2.471615970E-1,2.209599130E-2
3.528004167E-1,2.574162185E-1,-3.524856269E-1,3.279317170E-2
3.627624167E-1,3.249923289E-1,-4.814310968E-1,3.138649091E-2
