"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.284291666E-3,-9.071880579E-1,4.962604940E-1,5.341430306E-1
1.224629167E-2,-9.085392952E-1,1.024417758E0,5.609487891E-1
2.220829167E-2,-1.012439847E0,1.592457771E0,4.101113379E-1
3.216929167E-2,-1.069092512E0,2.133038759E0,1.752367616E-1
4.213129167E-2,-9.182709455E-1,2.321593523E0,-3.579147626E-3
5.209329167E-2,-5.026431084E-1,2.142321110E0,-7.819692791E-2
6.205529167E-2,1.566576064E-1,1.737876773E0,-4.287369177E-2
7.201729167E-2,9.688977599E-1,1.211497068E0,-8.009056747E-2
8.197929167E-2,1.771637201E0,6.940672398E-1,-1.797312945E-1
9.194129167E-2,2.403983116E0,2.977915108E-1,-1.994634569E-1
1.019032917E-1,2.769652367E0,9.714436531E-2,-1.159089133E-1
1.118652917E-1,2.865731716E0,5.842280388E-2,-9.418429807E-3
1.218272917E-1,2.713646650E0,1.285642385E-1,5.740695819E-2
1.317892917E-1,2.230893373E0,1.985507905E-1,1.119945645E-1
1.417502917E-1,1.144586802E0,1.216841489E-1,2.295219898E-1
1.517122917E-1,3.028986044E-2,1.413499862E-1,3.079283834E-1
1.616742917E-1,-5.549018383E-1,-3.276916444E-1,3.374970853E-1
1.716362917E-1,-4.108290970E-1,-1.195549488E0,5.159800053E-1
1.815982917E-1,3.695029616E-1,-1.703242302E0,6.917653084E-1
1.915602917E-1,1.238677621E0,-1.628867388E0,6.496993303E-1
2.015222917E-1,1.767025232E0,-1.577469110E0,4.136249125E-1
2.114842917E-1,1.979230762E0,-1.522809625E0,8.778528869E-2
2.214462917E-1,1.968106270E0,-1.333700895E0,-2.379466593E-1
2.314082917E-1,-3.124789596E-1,1.155871630E0,-7.932605147E-1
2.413692917E-1,-9.463564754E-1,2.011628628E0,-9.072192311E-1
2.513312917E-1,-1.918314993E-1,2.043920755E0,-4.480659962E-1
2.612932917E-1,5.657531023E-1,2.099590540E0,-4.013732076E-2
2.712550833E-1,1.081625462E0,1.772943139E0,1.244423017E-1
2.812170833E-1,1.628084302E0,1.139567852E0,1.378877461E-1
2.911790833E-1,2.083466291E0,7.241919041E-1,2.394116968E-1
3.011410833E-1,2.324932337E0,5.789615512E-1,3.745555580E-1
3.111030833E-1,2.362707138E0,5.339703560E-1,4.193150401E-1
3.210650833E-1,2.205772638E0,3.528037369E-1,4.060554802E-1
3.310270833E-1,1.930784345E0,-1.305940896E-1,3.895350993E-1
