"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.295583330E-3,-1.567859761E-2,-2.645311654E-1,1.329357084E-2
1.325758333E-2,-5.896268040E-2,-1.650024652E-1,5.551155191E-3
2.321858333E-2,-9.634999931E-2,-6.532382220E-2,-7.975306362E-3
3.318058333E-2,-1.204466075E-1,-3.406423843E-3,-3.428870812E-2
4.314158333E-2,-1.269383281E-1,1.197093446E-2,-5.505231023E-2
5.310358333E-2,-1.156234890E-1,-4.290577024E-3,-7.078566402E-2
6.306458333E-2,-9.661038220E-2,-4.182357341E-2,-7.774183899E-2
7.302658333E-2,-9.079304338E-2,-7.240862399E-2,-7.834960520E-2
8.298758333E-2,-9.546529502E-2,-8.752978593E-2,-7.993445545E-2
9.294958333E-2,-9.127905220E-2,-1.048526838E-1,-7.908657193E-2
1.029105833E-1,-7.609663159E-2,-1.253337115E-1,-7.511447370E-2
1.128725833E-1,-5.756141618E-2,-1.335365921E-1,-6.305868924E-2
1.228335833E-1,-4.852610826E-2,-1.132411733E-1,-5.025234073E-2
1.327955833E-1,-5.227655917E-2,-7.439076900E-2,-3.673683852E-2
1.427565833E-1,-5.181209743E-2,-2.868986689E-2,-3.201079369E-2
1.527185833E-1,-3.048503026E-2,-1.634455100E-2,-3.064063750E-2
1.626795833E-1,-4.140510224E-3,-3.689296916E-2,-3.341484815E-2
1.726415833E-1,2.340521105E-2,-4.786751419E-2,-3.596348688E-2
1.826025833E-1,3.159602731E-2,-2.469721250E-2,-3.938857839E-2
1.925645833E-1,1.770432107E-2,6.310224999E-4,-3.351950645E-2
2.025255833E-1,9.087131359E-3,9.916133247E-3,-2.491084114E-2
2.124875833E-1,1.119702775E-2,1.968724653E-2,-7.485513110E-3
2.224485833E-1,2.058546990E-2,4.866856337E-2,5.379685201E-3
2.324105833E-1,2.321683243E-2,8.579158783E-2,2.115237340E-2
2.423715833E-1,4.209320061E-3,1.280117333E-1,4.439830780E-2
2.523335833E-1,-2.373455651E-2,1.565901041E-1,7.326271385E-2
2.622945833E-1,-5.313585699E-2,1.482597440E-1,9.401885420E-2
2.722565833E-1,-7.922300696E-2,1.280357987E-1,9.437187761E-2
2.822175833E-1,-1.030710787E-1,1.702671349E-1,9.015528858E-2
2.921795833E-1,-1.196299717E-1,2.897970676E-1,7.590132952E-2
3.021405833E-1,-1.288921833E-1,4.171547592E-1,6.506013125E-2
3.121025833E-1,-1.383603364E-1,5.229784250E-1,5.859474838E-2
3.220635833E-1,-1.362484545E-1,5.572234988E-1,4.719748348E-2
3.320255833E-1,-1.225663796E-1,4.959870279E-1,2.645974793E-2
3.419865833E-1,-1.195889711E-1,3.820330501E-1,6.265796721E-3
3.519485833E-1,-1.354241967E-1,2.527906299E-1,-1.465303265E-2
3.619095833E-1,-1.698378325E-1,1.303528845E-1,-8.559986018E-3
3.718715833E-1,-1.989478767E-1,3.156653047E-2,8.499276824E-3
3.818325833E-1,-2.140602618E-1,-2.286315337E-2,6.934935693E-3
3.917945833E-1,-2.049455792E-1,-1.032983512E-2,1.209401526E-3
4.017555833E-1,-1.801286489E-1,9.185009636E-3,1.198748825E-3
4.117175833E-1,-1.592665315E-1,-3.072471917E-2,-1.693825237E-3
4.216785833E-1,-1.566728801E-1,-9.928646684E-2,3.713989630E-3
4.316405833E-1,-1.592932343E-1,-1.494489610E-1,8.408043534E-3
4.416015833E-1,-1.652233005E-1,-1.717353612E-1,5.850875750E-3
4.515635833E-1,-1.765827090E-1,-1.819519550E-1,1.799185178E-3
4.615245833E-1,-2.040175200E-1,-2.166191190E-1,-1.147480868E-2
4.714865833E-1,-2.509976029E-1,-2.830260992E-1,-2.349415049E-2
4.814475833E-1,-3.198975623E-1,-3.549551666E-1,-3.509914503E-2
4.914095833E-1,-4.071664214E-1,-4.174433947E-1,-5.120548606E-2
5.013705833E-1,-4.918147326E-1,-4.849513173E-1,-7.252462208E-2
5.113325833E-1,-5.539698005E-1,-5.809186697E-1,-8.962139487E-2
5.212935833E-1,-5.939073563E-1,-7.293211818E-1,-1.179536954E-1
5.312555833E-1,-6.563325524E-1,-8.705213666E-1,-1.594842970E-1
5.412165833E-1,-7.510172725E-1,-9.729191065E-1,-2.218680382E-1
5.511785833E-1,-8.697153330E-1,-1.012235999E0,-2.923194170E-1
5.611395833E-1,-1.003411651E0,-9.472407699E-1,-3.818793893E-1
5.711015833E-1,-1.118209720E0,-8.332780004E-1,-4.963695407E-1
5.810625833E-1,-1.213544965E0,-6.839468479E-1,-6.028675437E-1
5.910245833E-1,-1.321626067E0,-5.245159268E-1,-6.794911027E-1
6.009855833E-1,-1.453798413E0,-3.817539215E-1,-7.172797918E-1
6.109475833E-1,-1.638797045E0,-2.305729389E-1,-7.111065984E-1
6.209085833E-1,-1.911030650E0,-5.794898048E-2,-7.254429460E-1
6.308705833E-1,-2.345821381E0,8.855604380E-2,-8.255136013E-1
6.408315833E-1,-2.784585953E0,1.662361920E-1,-8.860762715E-1
6.507935833E-1,-3.111068487E0,9.429065138E-2,-8.754389286E-1
6.607545833E-1,-3.463509560E0,-1.625157148E-2,-8.522158861E-1
6.707165833E-1,-3.891436577E0,-1.386201233E-1,-7.630237937E-1
6.806775833E-1,-4.300209045E0,-2.412413210E-1,-5.864818096E-1
6.906395833E-1,-4.537775993E0,3.051082492E-1,-3.423749506E-1
7.006005833E-1,-4.365109444E0,1.294487715E0,-1.707107574E-1
7.105625833E-1,-3.943220615E0,2.363739491E0,-1.443866491E-1
7.205235833E-1,-3.568672180E0,2.743834019E0,-2.692830265E-1
7.304855833E-1,-3.467234135E0,1.879268289E0,-4.455603659E-1
7.404465833E-1,-3.394401789E0,3.411028385E-1,-5.095569491E-1
7.504085833E-1,-2.910048246E0,-7.477195263E-1,-4.572815597E-1
7.603695833E-1,-2.159831047E0,-1.009732723E0,-3.790842295E-1
7.703315833E-1,-1.681935072E0,-1.048531175E0,-3.638820648E-1
7.802925833E-1,-1.714247108E0,-1.356911659E0,-3.448974490E-1
7.902545833E-1,-1.882579923E0,-1.751297593E0,-3.131455779E-1
8.002155833E-1,-1.963825822E0,-1.949835658E0,-3.129620850E-1
8.101775833E-1,-1.916459322E0,-1.762647986E0,-3.078493476E-1
8.201385833E-1,-1.915139794E0,-1.425702810E0,-2.680983245E-1
8.301005833E-1,-2.001629353E0,-1.189038396E0,-1.835118830E-1
8.400615833E-1,-2.210472822E0,-9.494854212E-1,-1.202232018E-1
