"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-3.405833340E-4,1.753902740E0,-9.313332825E0,-2.333647156E-1
9.621416670E-3,1.586850128E0,-9.391470337E0,-1.742376709E-1
1.958341667E-2,1.497186584E0,-9.650431824E0,-2.239343262E-1
2.954541667E-2,1.515448608E0,-9.914333038E0,-3.348536682E-1
3.950741667E-2,1.551224213E0,-1.004546036E1,-4.863386536E-1
4.946941667E-2,1.616937561E0,-9.986483002E0,-6.872209167E-1
5.943141667E-2,1.649270325E0,-9.816137238E0,-8.274792480E-1
6.939341667E-2,1.687890015E0,-9.599537659E0,-7.768844604E-1
7.935541667E-2,1.738933868E0,-9.424701233E0,-5.105882263E-1
8.931741667E-2,1.839824066E0,-9.382489014E0,-2.564167786E-1
9.927941667E-2,1.987417145E0,-9.422156525E0,-8.068222046E-2
1.092404167E-1,2.105222168E0,-9.484726410E0,4.340972900E-2
1.192024167E-1,2.327210541E0,-9.490564270E0,1.309776306E-1
1.291644167E-1,2.473755798E0,-9.419013062E0,8.786727905E-2
1.391264167E-1,2.507585449E0,-9.318571930E0,-1.496887207E-2
1.490884167E-1,2.442770233E0,-9.277557220E0,-6.735992432E-2
1.590504167E-1,2.115999756E0,-9.388626251E0,-5.628295898E-2
1.690124167E-1,1.870210876E0,-9.553433533E0,-2.769241333E-2
1.789744167E-1,1.709145813E0,-9.698631592E0,-6.286926270E-3
1.889364167E-1,1.576820984E0,-9.774374084E0,-4.505630493E-2
1.988984167E-1,1.519490204E0,-9.765093384E0,-1.230441284E-1
2.088604167E-1,1.550326080E0,-9.767937469E0,-2.613565063E-1
2.188214167E-1,1.697021027E0,-9.739197235E0,-4.628375244E-1
2.287834167E-1,1.967658234E0,-9.679022369E0,-7.692503357E-1
2.387454167E-1,2.190095673E0,-9.525142365E0,-1.027762756E0
2.487074167E-1,2.170935516E0,-9.386530609E0,-1.030457153E0
2.586694167E-1,1.877845001E0,-9.343569946E0,-7.535330200E-1
2.686314167E-1,1.620230713E0,-9.335636444E0,-4.396357727E-1
2.785934167E-1,1.463057556E0,-9.330996094E0,-2.432441711E-1
2.885554167E-1,1.409468994E0,-9.292376404E0,-1.776805115E-1
2.985174167E-1,1.385967865E0,-9.326804810E0,-1.781295776E-1
3.084794167E-1,1.390458527E0,-9.386231232E0,-3.221301270E-1
3.184414167E-1,1.413660278E0,-9.392518158E0,-6.165678406E-1
3.284024167E-1,1.437161407E0,-9.399553528E0,-1.040037231E0
3.383644167E-1,1.458566895E0,-9.466165009E0,-1.483265533E0
