"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.406058333E-1,2.018385649E0,-5.023008585E-1,-5.836555362E-1
8.505678333E-1,1.804445505E0,-4.920663238E-1,-5.602921844E-1
8.605298333E-1,1.510916948E0,-4.988536537E-1,-5.504973531E-1
8.704908333E-1,1.224283576E0,-4.714188576E-1,-5.316911340E-1
8.804528333E-1,9.663599133E-1,-4.405522943E-1,-4.972026944E-1
8.904148333E-1,7.229843140E-1,-4.807375371E-1,-4.678813815E-1
9.003758333E-1,4.823254049E-1,-6.359201670E-1,-4.261214137E-1
9.103378333E-1,3.099637032E-1,-8.685283661E-1,-4.079862237E-1
9.202998333E-1,1.945998222E-1,-1.225522995E0,-4.251835942E-1
9.302608333E-1,1.345651448E-1,-1.567913651E0,-4.631081522E-1
9.402228333E-1,1.294087321E-1,-1.823145390E0,-5.102642179E-1
9.501848333E-1,1.660964191E-1,-1.944872141E0,-5.626879334E-1
9.601458333E-1,2.207234502E-1,-1.909712791E0,-6.076538563E-1
9.701078333E-1,2.611497045E-1,-1.764202237E0,-5.982711911E-1
9.800698333E-1,2.440359741E-1,-1.531901360E0,-5.427509546E-1
9.900308333E-1,3.919655085E-2,-9.628025293E-1,-4.334293902E-1
9.999928333E-1,-3.983432353E-1,4.131970182E-2,-2.717366219E-1
1.009954833E0,-7.076394558E-1,8.984798789E-1,-1.398654729E-1
1.019915833E0,-8.317922950E-1,1.425740838E0,-6.848610193E-2
1.029877833E0,-8.521689773E-1,1.614816308E0,-2.876357920E-2
1.039839833E0,-8.076049685E-1,1.505676031E0,7.072182372E-3
1.049800833E0,-7.057754993E-1,1.222473741E0,5.811190605E-2
1.059762833E0,-5.699471235E-1,8.858931661E-1,1.041193455E-1
1.069724833E0,-4.185897112E-1,5.491914749E-1,1.235617027E-1
1.079685833E0,-2.650353014E-1,2.490598857E-1,1.173019484E-1
1.089647833E0,-1.255776435E-1,-2.088838071E-2,1.038685367E-1
1.099609833E0,-1.344205439E-2,-2.379615754E-1,1.076915041E-1
1.109570833E0,8.041717112E-2,-3.707274497E-1,1.270520240E-1
1.119532833E0,1.459450424E-1,-4.462664127E-1,1.457833648E-1
1.129494833E0,1.804654002E-1,-4.787466228E-1,1.618720442E-1
1.139455833E0,1.332395673E-1,-4.709560871E-1,1.930334270E-1
1.149417833E0,-3.877133429E-1,-9.344130009E-2,2.627911866E-1
1.159379833E0,-1.758566737E0,1.341089010E0,2.962647378E-1
1.169340833E0,-3.032047033E0,3.056623697E0,3.036809564E-1
1.179302833E0,-3.519099712E0,3.730652094E0,4.157260060E-1
1.189264833E0,-3.143380165E0,2.878162146E0,7.201610208E-1
1.199225833E0,-1.923066616E0,4.514133334E-1,1.173000336E0
1.209187833E0,-5.654374361E-1,-2.273316860E0,1.485887766E0
1.219149833E0,3.652087599E-2,-3.586145639E0,1.625501156E0
1.229110833E0,-2.519999743E-1,-3.148132086E0,1.663216472E0
1.239072833E0,-1.113830090E0,-1.081044555E0,1.549873710E0
1.249034833E0,-1.102702856E0,3.548435867E-1,1.076351762E0
1.258995833E0,-7.467215061E-1,6.687543988E-1,3.993527889E-1
1.268957833E0,-4.418121874E-1,3.737354279E-1,1.688342839E-1
1.278919833E0,-2.155689448E-1,3.163189441E-2,1.387232542E-1
1.288880833E0,-7.615422457E-2,2.530011162E-2,-3.607422486E-2
1.298842833E0,1.252947301E-1,2.393620759E-1,-1.658159643E-1
1.308804833E0,4.759235084E-1,1.530943215E-1,-2.461624295E-1
1.318765833E0,8.142355084E-1,-4.456362501E-2,-3.417014480E-1
1.328727833E0,1.088277340E0,-4.651050083E-3,-4.423231483E-1
1.338689833E0,1.356244922E0,1.454146057E-1,-5.516949296E-1
1.348651833E0,1.619749427E0,2.483797818E-1,-6.331267357E-1
1.358612833E0,1.915308714E0,1.483335942E-1,-6.618723869E-1
1.368574833E0,2.219024181E0,4.122723266E-2,-7.079678774E-1
1.378536833E0,2.387823582E0,1.192741022E-1,-8.019849062E-1
1.388497833E0,2.271030664E0,1.505913883E-1,-8.460419774E-1
1.398459833E0,2.131382227E0,7.422655821E-2,-8.336769342E-1
1.408421833E0,1.944266796E0,-1.316463351E-1,-8.319295049E-1
1.418382833E0,1.658444643E0,-3.363201320E-1,-8.208746910E-1
1.428344833E0,1.424374938E0,-3.370624781E-1,-8.337022662E-1
1.438306833E0,1.270272493E0,-1.748829037E-1,-8.860653639E-1
1.448267833E0,1.122049332E0,-3.504183143E-2,-9.065841436E-1
1.458229833E0,9.763911366E-1,7.535924762E-2,-8.989094496E-1
1.468191833E0,8.193931580E-1,9.627410769E-2,-9.042807221E-1
1.478152833E0,7.147346139E-1,9.136883169E-2,-9.349859357E-1
1.488114833E0,6.712419391E-1,9.657641500E-2,-9.916017652E-1
1.498076833E0,6.182016134E-1,-1.290401071E-2,-1.036038756E0
1.508037833E0,5.313348174E-1,-1.749802977E-1,-1.047046900E0
