"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.896583330E-3,-1.441757530E-1,3.763014674E-1,1.610803306E-1
1.185858333E-2,-2.197759598E-1,5.040197372E-1,1.650910527E-1
2.181958333E-2,-3.186719120E-1,4.709107280E-1,1.356105655E-1
3.178158333E-2,-3.985033631E-1,3.337866962E-1,6.376514584E-2
4.174358333E-2,-4.489830434E-1,1.893863827E-1,7.167116273E-3
5.170558333E-2,-4.548933804E-1,9.564790130E-2,-1.063915668E-3
6.166658333E-2,-4.011038244E-1,1.164367869E-1,-1.310518198E-2
7.162858333E-2,-2.868227959E-1,2.601798475E-1,-4.668204859E-2
8.159058333E-2,-1.312066168E-1,3.890267909E-1,-9.564229101E-2
9.155258333E-2,4.026393592E-2,4.013665617E-1,-1.586034149E-1
1.015135833E-1,1.359057724E-1,2.653397322E-1,-1.722813994E-1
1.114755833E-1,1.425035000E-1,3.283805400E-2,-1.787997633E-1
1.214375833E-1,1.295010149E-1,-2.086360753E-1,-1.729080677E-1
1.313995833E-1,1.364691705E-1,-3.797073960E-1,-1.457243711E-1
1.413605833E-1,1.730678529E-1,-4.151600599E-1,-1.049627513E-1
1.513225833E-1,2.156318128E-1,-3.429460526E-1,-6.118144840E-2
1.612845833E-1,2.420409322E-1,-2.310270816E-1,-2.160585672E-2
1.712465833E-1,2.378765494E-1,-1.281744689E-1,-1.051845262E-3
1.812075833E-1,1.991572231E-1,-6.299209595E-2,-1.570765395E-3
1.911695833E-1,1.287174076E-1,-1.080026198E-2,-1.102019288E-2
2.011315833E-1,3.442194685E-2,6.739751995E-2,-2.795983292E-2
2.110925833E-1,-5.971786380E-2,1.775176376E-1,-5.877420679E-2
2.210545833E-1,-1.248755231E-1,2.615463436E-1,-8.596975356E-2
2.310165833E-1,-1.599349827E-1,3.122342825E-1,-1.045090780E-1
2.409785833E-1,-1.787513494E-1,3.350095749E-1,-1.203253642E-1
2.509395833E-1,-2.015437484E-1,2.893733680E-1,-1.428463906E-1
2.609015833E-1,-2.179707736E-1,1.426952928E-1,-1.690804064E-1
2.708635833E-1,-2.328138947E-1,-2.038497850E-2,-1.860785633E-1
2.808255833E-1,-2.570084929E-1,-1.013604999E-1,-1.907392442E-1
2.907865833E-1,-2.717647851E-1,-1.348832995E-1,-1.724068373E-1
3.007485833E-1,-2.690804601E-1,-1.353535354E-1,-1.618257612E-1
3.107105833E-1,-2.448084354E-1,-1.399695873E-1,-1.707670540E-1
3.206725833E-1,-2.143493742E-1,-2.210727036E-1,-2.045924664E-1
3.306335833E-1,-1.974332333E-1,-3.762407005E-1,-2.329314351E-1
3.405955833E-1,-2.251192480E-1,-5.758075118E-1,-2.436041385E-1
3.505575833E-1,-3.302403092E-1,-8.031677008E-1,-2.552924752E-1
3.605195833E-1,-5.212005377E-1,-1.063208818E0,-2.606542110E-1
3.704805833E-1,-7.668949366E-1,-1.366239548E0,-2.845787108E-1
3.804425833E-1,-1.019787788E0,-1.684198737E0,-3.111324906E-1
3.904045833E-1,-1.202473164E0,-1.922991395E0,-3.280677795E-1
4.003655833E-1,-1.348372698E0,-1.803049684E0,-3.627170026E-1
4.103275833E-1,-1.474751949E0,-1.249456763E0,-3.548225760E-1
4.202895833E-1,-1.490830660E0,-5.893877745E-1,-2.651003599E-1
4.302515833E-1,-1.319531441E0,-1.223870143E-1,-1.842649132E-1
4.402125833E-1,-9.428516626E-1,-4.444542341E-3,-1.085261032E-1
4.501745833E-1,-4.272045493E-1,-4.764954001E-2,6.303006783E-3
4.601365833E-1,1.116742864E-1,-9.529535891E-4,1.285236478E-1
