"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.241249997E-3,-1.733916812E-2,-5.720183998E-2,2.327367291E-2
1.420324999E-2,-1.642117649E-2,-7.219091058E-2,2.499008179E-2
2.416525000E-2,-6.188417319E-4,-8.878558129E-2,2.740376070E-2
3.412625000E-2,2.310326509E-2,-1.022049785E-1,2.747433446E-2
4.408825000E-2,4.149182141E-2,-1.148096249E-1,2.879744209E-2
5.405024999E-2,5.501855165E-2,-1.130617931E-1,2.923313528E-2
6.401125000E-2,5.756527558E-2,-1.003540233E-1,2.369159460E-2
7.397325000E-2,5.066928640E-2,-7.232185453E-2,2.429586649E-2
8.393525000E-2,3.720381111E-2,-3.180186078E-2,2.344924770E-2
9.389625000E-2,2.085706219E-2,1.432408858E-2,1.864597015E-2
1.038582500E-1,8.097738959E-3,7.313918322E-2,1.244615018E-2
1.138202500E-1,8.579359856E-4,1.265174448E-1,-1.195892459E-3
1.237812500E-1,7.133333012E-3,1.492450684E-1,-4.663223866E-3
1.337432500E-1,1.784882881E-2,1.415490657E-1,-3.567865584E-3
1.437052500E-1,2.782819048E-2,1.112350896E-1,-7.349697407E-4
1.536662500E-1,3.359313682E-2,7.209940255E-2,1.268792548E-3
1.636282500E-1,2.899073251E-2,4.239894450E-2,7.722353330E-4
1.735902500E-1,1.667947136E-2,3.091193549E-2,1.244147425E-3
1.835512500E-1,2.639802173E-3,3.726956248E-2,1.470429241E-3
1.935132500E-1,-8.061577566E-3,5.308927223E-2,3.143510548E-4
2.034752500E-1,-1.126315817E-2,6.499724090E-2,3.652213141E-3
2.134362500E-1,-5.696885288E-3,6.703881919E-2,8.860290982E-3
2.233982500E-1,5.362736061E-3,6.435392052E-2,1.361948531E-2
2.333602500E-1,1.230479870E-2,6.324471533E-2,1.657292992E-2
2.433212500E-1,1.555656455E-2,5.746842548E-2,1.663164422E-2
2.532832500E-1,7.358555682E-3,4.088358954E-2,1.909160614E-2
2.632452500E-1,-1.284911763E-2,2.144060470E-2,2.205160074E-2
2.732062500E-1,-4.843454435E-2,1.219488913E-3,2.506203949E-2
2.831682500E-1,-9.200091660E-2,-6.753547117E-3,2.644199878E-2
2.931292500E-1,-1.375963688E-1,-4.333266057E-3,2.603187412E-2
3.030912500E-1,-1.778432429E-1,1.163636241E-2,3.004713915E-2
3.130532500E-1,-2.192671150E-1,2.848565020E-2,3.985582665E-2
3.230142500E-1,-2.713772058E-1,6.150770560E-2,4.841683060E-2
3.329762500E-1,-3.382380009E-1,1.077039689E-1,6.268578023E-2
3.429382500E-1,-4.219152033E-1,1.604105383E-1,8.130142838E-2
3.528992500E-1,-5.230439305E-1,2.206930518E-1,1.060296819E-1
3.628612500E-1,-6.536145210E-1,2.872963250E-1,1.469007283E-1
3.728232500E-1,-8.128297329E-1,3.268423975E-1,1.968267411E-1
3.827842500E-1,-1.007124305E0,3.252197504E-1,2.440262437E-1
3.927462500E-1,-1.238598824E0,2.775462270E-1,2.635738254E-1
4.027082500E-1,-1.478417039E0,1.281188726E-1,2.484134138E-1
4.126692500E-1,-1.741089106E0,-1.067836583E-1,2.096601576E-1
4.226312500E-1,-2.047621727E0,-3.878525794E-1,1.643259525E-1
4.325932500E-1,-2.373793602E0,-6.483504772E-1,1.271719337E-1
