"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.825125004E-3,-2.367626495E0,-9.232500916E0,-7.695497131E-1
7.136875000E-3,-2.280657349E0,-9.195527802E0,-6.044430542E-1
1.709887500E-2,-2.100881195E0,-9.188193054E0,-4.022135925E-1
2.706087500E-2,-1.867516479E0,-9.103618927E0,-2.484832764E-1
3.702387500E-2,-1.687141571E0,-9.066496124E0,-2.414479065E-1
4.698587500E-2,-1.499731293E0,-9.123976593E0,-3.043171692E-1
5.694787500E-2,-1.562450867E0,-9.289083252E0,-1.315763855E-1
6.690987500E-2,-1.537153473E0,-9.477092285E0,-1.182540894E-1
7.687187500E-2,-1.534908142E0,-9.831854553E0,-2.236349487E-1
8.683487500E-2,-1.638343048E0,-1.015099091E1,-4.019142151E-1
9.679687500E-2,-1.815424805E0,-1.032762360E1,-6.619235229E-1
1.067588750E-1,-1.980082397E0,-1.035576508E1,-9.087602234E-1
1.167208750E-1,-2.099384308E0,-1.017284546E1,-1.027463379E0
1.266828750E-1,-2.190844116E0,-9.830507355E0,-1.062041473E0
1.366448750E-1,-2.241289215E0,-9.596693573E0,-1.032702484E0
1.466078750E-1,-2.275118866E0,-9.398356018E0,-9.244775391E-1
1.565698750E-1,-2.353106689E0,-9.322763214E0,-6.703060913E-1
1.665318750E-1,-2.434387665E0,-9.414821777E0,-4.728666687E-1
1.764938750E-1,-2.374362488E0,-9.560169525E0,-4.315525818E-1
1.864558750E-1,-2.227517853E0,-9.689201202E0,-5.469625854E-1
1.964188750E-1,-2.146236877E0,-9.777667236E0,-8.017327881E-1
2.063808750E-1,-2.177671509E0,-9.890083466E0,-1.053658905E0
2.163428750E-1,-2.129621429E0,-9.729168091E0,-1.119971008E0
2.263048750E-1,-2.019899597E0,-9.454489288E0,-1.156794434E0
2.362668750E-1,-1.944007416E0,-9.221723328E0,-1.254541168E0
2.462298750E-1,-1.867217102E0,-9.074878693E0,-1.388063507E0
2.561918750E-1,-1.836680603E0,-8.922645264E0,-1.466051331E0
2.661538750E-1,-1.705702972E0,-8.862171021E0,-1.690135345E0
2.761158750E-1,-1.582958221E0,-9.149423676E0,-2.309247894E0
2.860778750E-1,-1.581461334E0,-9.482481079E0,-2.985092468E0
2.960398750E-1,-1.482666779E0,-9.566905518E0,-2.914140015E0
3.060028750E-1,-1.094523926E0,-9.575437775E0,-2.603236542E0
3.159648750E-1,-8.271798706E-1,-9.524842987E0,-1.984423370E0
3.259268750E-1,-7.387138367E-1,-9.637259216E0,-1.733694763E0
3.358888750E-1,-1.106648712E0,-1.010473709E1,-2.377805328E0
3.458508750E-1,-2.073787537E0,-1.084569626E1,-3.840413818E0
3.558138750E-1,-2.667453003E0,-1.144954056E1,-5.929319916E0
3.657758750E-1,-2.640059967E0,-1.137903717E1,-6.379733276E0
3.757378750E-1,-2.514620819E0,-1.108474915E1,-6.179300079E0
3.856998750E-1,-2.168540497E0,-1.075468552E1,-6.082002411E0
3.956618750E-1,-1.767674103E0,-1.010892838E1,-5.682932281E0
4.056248750E-1,-1.512903900E0,-9.458081818E0,-4.783153381E0
4.155868750E-1,-1.562151489E0,-8.977730713E0,-4.090992737E0
4.255488750E-1,-2.059716797E0,-8.571325836E0,-3.714076538E0
4.355108750E-1,-2.640359344E0,-8.481063538E0,-3.418291626E0
4.454728750E-1,-2.869981842E0,-8.389304352E0,-3.774700470E0
4.554358750E-1,-2.862647095E0,-8.146958313E0,-4.276906128E0
4.653978750E-1,-2.939138031E0,-7.852071533E0,-4.407734070E0
4.753598750E-1,-3.068319397E0,-7.628586273E0,-4.470303955E0
4.853218750E-1,-3.240760803E0,-7.399412842E0,-4.795128479E0
4.952838750E-1,-3.530857544E0,-7.341034241E0,-5.101690979E0
5.052468750E-1,-3.851640472E0,-7.359146576E0,-4.700525208E0
5.152088750E-1,-4.193679199E0,-7.352111206E0,-4.361779633E0
5.251708750E-1,-4.122876434E0,-7.208110657E0,-4.387526093E0
5.351328750E-1,-3.712429962E0,-6.913972321E0,-4.359234924E0
5.450948750E-1,-2.943329315E0,-6.517895966E0,-4.309837646E0
5.550578750E-1,-1.911075897E0,-6.043083344E0,-4.202361145E0
5.650198750E-1,-8.542735291E-1,-5.700296173E0,-4.042493591E0
5.749818750E-1,7.334747314E-2,-5.487289124E0,-3.897445221E0
5.849438750E-1,5.888754272E-1,-5.364244995E0,-4.015998688E0
5.949058750E-1,7.547305298E-1,-5.240302734E0,-4.459676056E0
6.048688750E-1,7.548802185E-1,-5.171445923E0,-5.120851135E0
6.148308750E-1,5.171745300E-1,-5.173990631E0,-5.851481781E0
6.247928750E-1,1.112187195E-1,-5.203329620E0,-6.443800049E0
6.347553750E-1,-1.824705505E-1,-5.237308960E0,-6.858288116E0
6.447173750E-1,-2.823129272E-1,-5.143454132E0,-7.307354279E0
6.546793750E-1,-6.369255066E-1,-5.031486969E0,-8.043822784E0
6.646423750E-1,-1.405427399E0,-5.093158722E0,-9.049431610E0
6.746043750E-1,-2.242636414E0,-5.462590485E0,-9.864187317E0
6.845663750E-1,-2.725831604E0,-6.218069458E0,-9.701924744E0
6.945283750E-1,-2.662812653E0,-7.188351746E0,-9.003776550E0
7.044903750E-1,-2.232008514E0,-8.205187225E0,-7.262896729E0
7.144533750E-1,-1.722617798E0,-9.070088654E0,-5.707930298E0
7.244153750E-1,-1.461111603E0,-9.621392212E0,-5.487738190E0
7.343773750E-1,-1.581760712E0,-9.806557159E0,-6.180796967E0
7.443393750E-1,-2.249671783E0,-9.701176300E0,-7.107819214E0
7.543013750E-1,-3.151396637E0,-9.500443726E0,-8.359516296E0
7.642643750E-1,-4.139342194E0,-1.001178040E1,-9.575587463E0
7.742263750E-1,-4.963378601E0,-1.140717865E1,-1.022284149E1
7.841883750E-1,-5.460045776E0,-1.271066803E1,-9.820478210E0
7.941503750E-1,-6.079008636E0,-1.301154236E1,-9.030121765E0
8.041123750E-1,-7.155120850E0,-1.225606339E1,-7.639363861E0
8.140753750E-1,-7.673941956E0,-1.101634140E1,-5.529800720E0
8.240373750E-1,-6.896009674E0,-9.901310120E0,-3.470832367E0
8.339993750E-1,-5.154381409E0,-9.217082977E0,-2.597398682E0
8.439613750E-1,-2.515069885E0,-8.887917480E0,-3.457959137E0
8.539233750E-1,7.578739929E-1,-8.159981232E0,-2.833906860E0
8.638863750E-1,3.448828125E0,-6.548582153E0,-1.050365753E0
8.738483750E-1,4.618944855E0,-4.818180542E0,6.562353516E-1
8.838103750E-1,5.809419250E0,-3.804937592E0,-1.651665344E0
8.937723750E-1,8.205486603E0,-3.680845642E0,-5.001549225E0
9.037343750E-1,8.801247711E0,-4.417014771E0,-3.803440704E0
9.136973750E-1,8.238418121E0,-5.762716370E0,-1.435215454E0
9.236593750E-1,6.553821259E0,-7.621999969E0,5.864804077E-1
9.336213750E-1,3.349434814E0,-9.479636993E0,3.389701080E0
9.435833750E-1,-4.733157349E-1,-1.154519165E1,5.555547180E0
9.535453750E-1,-3.953578491E0,-1.664703232E1,6.240373077E0
9.635083750E-1,-8.400531006E0,-2.327854202E1,4.507875824E0
9.734703750E-1,-8.022267609E0,-2.148736679E1,2.265838165E0
9.834323750E-1,-5.104834442E0,-1.688803116E1,6.628216553E-1
9.933943750E-1,-3.700604553E0,-1.209948898E1,-4.037553864E0
1.003356375E0,-2.190694427E0,-7.632478180E0,-4.361180878E0
1.013319375E0,-8.744815063E-1,-5.773044891E0,-5.399272156E-1
1.023281375E0,-4.698728943E-1,-5.695805511E0,1.145118713E0
1.033243375E0,-2.258802795E-1,-6.179599457E0,4.870870972E-1
1.043205375E0,5.044509888E-1,-6.649622040E0,-1.747166748E0
1.053167375E0,4.640350342E-1,-7.277566223E0,-2.336940308E0
1.063130375E0,-3.450325012E-1,-8.453969879E0,-1.175505524E0
1.073092375E0,-1.500779114E0,-9.491163025E0,-9.777667236E-1
1.083054375E0,-2.410287781E0,-9.794582062E0,-9.339079285E-1
1.093016375E0,-2.728376312E0,-9.321715393E0,-2.926414490E-1
1.102978375E0,-2.965483246E0,-8.450676727E0,2.314187622E-1
1.112941375E0,-2.807262268E0,-7.620952148E0,3.119512939E-1
1.122903375E0,-2.961591339E0,-6.981781311E0,2.436932373E-1
1.132865375E0,-3.550616455E0,-6.744225311E0,2.104623413E-1
1.142827375E0,-3.977828064E0,-6.853947144E0,2.109114075E-1
1.152789375E0,-4.244124298E0,-7.348967743E0,1.959425354E-1
1.162752375E0,-4.667294312E0,-8.109536133E0,7.574249268E-1
1.172714375E0,-4.597539368E0,-8.956025848E0,8.009843445E-1
1.182676375E0,-4.198020172E0,-9.854307861E0,-3.009342041E0
1.192638375E0,-3.635789337E0,-1.064780777E1,-8.858728180E0
1.202600375E0,-2.801125031E0,-1.101574265E1,-8.850046234E0
1.212563375E0,-2.914738770E0,-1.082069824E1,-4.736749878E0
1.222525375E0,-3.286864929E0,-1.047656387E1,-1.043779449E0
1.232487375E0,-3.197051697E0,-1.010803024E1,9.274713135E-1
1.242449375E0,-2.971919861E0,-9.712552643E0,1.187181244E0
1.252411375E0,-2.520758057E0,-9.437724152E0,3.878434753E-1
1.262374375E0,-2.504591675E0,-9.552086334E0,-7.065307617E-2
1.272336375E0,-2.881358185E0,-9.978549500E0,-1.601669312E-2
1.282298375E0,-3.938459930E0,-1.064750839E1,-2.421963501E-1
1.292260375E0,-5.371430054E0,-1.112756012E1,-4.739144897E-1
1.302222375E0,-5.987399139E0,-1.081186661E1,8.936416626E-2
1.312185375E0,-5.835764465E0,-1.012135254E1,1.143621826E-1
1.322147375E0,-5.503904572E0,-9.860445099E0,-8.458909607E-1
1.332109375E0,-5.129982147E0,-1.068283493E1,-1.921554108E0
1.342071375E0,-5.151237946E0,-1.178708862E1,-2.328857117E0
1.352033375E0,-5.370382233E0,-1.283745438E1,-2.392474823E0
1.361996375E0,-5.512436829E0,-1.332978058E1,-2.413580933E0
1.371958375E0,-5.510790253E0,-1.251262985E1,-2.516566772E0
1.381920375E0,-5.330265656E0,-1.128892456E1,-2.923720093E0
1.391882375E0,-4.994214478E0,-1.049662216E1,-2.873125305E0
