"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.589083335E-3,-1.992356873E-1,-9.770631866E0,-7.277865601E-1
7.372916662E-3,-1.749861145E-1,-9.756860504E0,-7.544311523E-1
1.733491667E-2,-1.652563477E-1,-9.781110077E0,-7.396119690E-1
2.729591666E-2,-1.023870850E-1,-9.807604980E0,-7.538323975E-1
3.725791667E-2,-1.293310547E-1,-9.808353424E0,-7.695497131E-1
4.721891667E-2,-1.857637024E-1,-9.805060272E0,-7.899073792E-1
5.718091666E-2,-2.603086853E-1,-9.782457275E0,-8.181985474E-1
6.714312500E-2,-3.396437073E-1,-9.777068481E0,-8.336164856E-1
7.710412500E-2,-3.579057312E-1,-9.744286652E0,-8.467890930E-1
8.706612500E-2,-3.523672485E-1,-9.732311554E0,-8.693920898E-1
9.702712500E-2,-2.754272461E-1,-9.730365601E0,-8.937913513E-1
1.069891250E-1,-2.338137817E-1,-9.755513306E0,-9.187893677E-1
1.169511250E-1,-2.227368164E-1,-9.784852295E0,-8.949888611E-1
1.269121250E-1,-2.782713318E-1,-9.781559143E0,-8.258326721E-1
1.368741250E-1,-3.613485718E-1,-9.773475952E0,-8.032296753E-1
1.468351250E-1,-4.408332825E-1,-9.795929260E0,-7.973918152E-1
1.567971250E-1,-5.294490051E-1,-9.823022919E0,-8.414002991E-1
1.667591250E-1,-5.328918457E-1,-9.829609222E0,-8.795709229E-1
1.767201250E-1,-5.236111450E-1,-9.777068481E0,-8.738827515E-1
1.866821250E-1,-4.448748779E-1,-9.753567352E0,-8.912466431E-1
1.966431250E-1,-3.713777161E-1,-9.736053772E0,-8.707392883E-1
2.066051250E-1,-3.189866638E-1,-9.753717041E0,-7.970924377E-1
2.165671250E-1,-3.059637451E-1,-9.770631866E0,-7.140151978E-1
2.265281250E-1,-2.682421875E-1,-9.781708832E0,-6.674620056E-1
2.364901250E-1,-2.444416809E-1,-9.755513306E0,-6.761439514E-1
2.464511250E-1,-2.429447937E-1,-9.736652527E0,-7.463479614E-1
2.564131250E-1,-2.266287231E-1,-9.743089142E0,-7.182064819E-1
2.663741250E-1,-2.377056885E-1,-9.776170349E0,-6.412664795E-1
2.763361250E-1,-2.513273621E-1,-9.836045837E0,-6.816824341E-1
2.862981250E-1,-2.327659607E-1,-9.842332764E0,-7.515870667E-1
2.962591250E-1,-2.130070496E-1,-9.845476227E0,-7.731422424E-1
3.062211250E-1,-2.604583740E-1,-9.865983582E0,-6.786886597E-1
3.161821250E-1,-3.635939026E-1,-9.901908875E0,-6.713539124E-1
3.261441250E-1,-4.493655396E-1,-9.920320587E0,-7.012916565E-1
3.361061250E-1,-5.019062805E-1,-9.836345215E0,-7.207511902E-1
3.460671250E-1,-5.451663208E-1,-9.724527740E0,-7.523355103E-1
3.560291250E-1,-5.577401733E-1,-9.629774780E0,-7.402107239E-1
3.659901250E-1,-4.748126221E-1,-9.577982483E0,-6.941065979E-1
3.759521250E-1,-3.673361206E-1,-9.529483337E0,-5.224136353E-1
3.859141250E-1,-2.380050659E-1,-9.515113220E0,-3.629951477E-1
3.958751250E-1,-3.622467041E-2,-9.513616333E0,-3.483256531E-1
4.058371250E-1,1.663041687E-1,-9.442963257E0,-3.564088440E-1
4.157981250E-1,3.603007507E-1,-9.366172943E0,-3.176394653E-1
4.257601250E-1,6.048921204E-1,-9.296268311E0,-3.076103210E-1
4.357221250E-1,8.062234497E-1,-9.208850098E0,-2.709365845E-1
4.456831250E-1,1.081051941E0,-9.190288696E0,-2.725831604E-1
4.556451250E-1,1.413360901E0,-9.214388580E0,-3.469784546E-1
4.656061250E-1,1.641785889E0,-9.194330292E0,-4.537065125E-1
4.755681250E-1,1.594633942E0,-9.142687683E0,-4.475692749E-1
4.855301250E-1,1.384620667E0,-9.133257294E0,-4.200265503E-1
4.954911250E-1,1.159937897E0,-9.084608459E0,-3.555107117E-1
5.054531250E-1,8.884025574E-1,-9.025182037E0,-4.129911804E-1
5.154141250E-1,4.727169800E-1,-8.887169037E0,-3.607498169E-1
5.253761250E-1,-2.077679443E-1,-8.654253387E0,-2.495310974E-1
5.353381250E-1,-9.425898743E-1,-8.492888947E0,-3.915856934E-1
5.452991250E-1,-1.188528442E0,-8.266559601E0,-5.945635986E-1
