"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.760875002E-3,-7.120665908E-1,7.518898249E-1,-1.215189416E-2
1.272287500E-2,-7.591148019E-1,5.398744941E-1,1.117708534E-1
2.268487500E-2,-7.767894268E-1,3.406718373E-1,2.292076945E-1
3.264687500E-2,-7.379594445E-1,2.639128566E-1,3.064326942E-1
4.260887500E-2,-6.714574099E-1,3.355300128E-1,3.386950791E-1
5.257087500E-2,-6.077260971E-1,5.059973598E-1,3.452315629E-1
6.253287500E-2,-5.715337396E-1,6.853480935E-1,3.407645226E-1
7.249487500E-2,-5.675970912E-1,8.280460835E-1,3.238579631E-1
8.245687500E-2,-5.790445805E-1,9.207954407E-1,2.932711244E-1
9.241887500E-2,-5.993919373E-1,9.335213304E-1,2.280854434E-1
1.023808750E-1,-6.163120270E-1,8.541775346E-1,1.531036049E-1
1.123428750E-1,-6.148273349E-1,7.403811812E-1,8.355516195E-2
1.223048750E-1,-5.865278840E-1,6.400344372E-1,1.206526160E-2
1.322668750E-1,-5.358498096E-1,5.708066225E-1,-6.428570300E-2
1.422288750E-1,-4.719382823E-1,5.380371213E-1,-1.498336494E-1
1.521908750E-1,-4.114616215E-1,5.190336108E-1,-2.138371468E-1
1.621528750E-1,-3.692695796E-1,5.446484685E-1,-2.407881021E-1
1.721148750E-1,-3.521729112E-1,6.538830996E-1,-2.260858566E-1
1.820758750E-1,-3.407684863E-1,8.316947222E-1,-1.912724674E-1
1.920378750E-1,-2.904557884E-1,1.013327360E0,-1.482674778E-1
2.019998750E-1,-1.845787317E-1,1.137158394E0,-1.081165001E-1
2.119618750E-1,-2.690201253E-2,1.174013615E0,-7.459928840E-2
2.219238750E-1,1.538877934E-1,1.048452497E0,-4.345268756E-2
2.318858750E-1,3.260529041E-1,7.513729334E-1,-2.117081732E-2
2.418478750E-1,4.929066598E-1,3.599178791E-1,-8.173493668E-3
2.518098750E-1,6.401988864E-1,3.656431660E-2,-1.182202436E-2
2.617718750E-1,7.499470115E-1,-3.113648593E-1,-2.259208076E-2
2.717338750E-1,8.625808954E-1,-6.148040891E-1,1.922514103E-2
2.816958750E-1,9.702163339E-1,-8.218258619E-1,6.691818684E-2
2.916578750E-1,1.074630141E0,-9.614369869E-1,6.821461022E-2
