"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.149416672E-3,3.671786934E-2,5.591491461E-1,1.393212564E-2
1.211141667E-2,5.810139328E-2,4.949848354E-1,4.087458551E-2
2.207341667E-2,6.561150402E-2,4.236259758E-1,5.874279886E-2
3.203541667E-2,7.193684578E-2,3.797229230E-1,6.175876781E-2
4.199741667E-2,7.486020029E-2,3.635381162E-1,4.841206968E-2
5.195941667E-2,7.178904116E-2,3.318014741E-1,3.128288686E-2
6.192141667E-2,6.201205403E-2,2.333118320E-1,2.488598786E-2
7.188341667E-2,5.072952062E-2,3.382983804E-2,2.208457515E-2
8.184541667E-2,3.666190431E-2,-2.118856460E-1,2.474241145E-2
9.180741667E-2,1.778119802E-2,-4.075725973E-1,2.510747127E-2
1.017694167E-1,1.169463154E-3,-5.000375509E-1,1.204040460E-2
1.117304167E-1,-7.324650884E-3,-4.939962924E-1,-1.479119249E-2
1.216924167E-1,4.616963677E-3,-3.999656737E-1,-3.525571898E-2
1.316544167E-1,2.650961466E-2,-2.047605217E-1,-4.256787524E-2
1.416164167E-1,6.634145230E-2,4.211024567E-2,-5.005056038E-2
1.515784167E-1,1.126970053E-1,2.152708471E-1,-5.550131202E-2
1.615404167E-1,1.475572437E-1,2.508594692E-1,-5.117607117E-2
1.715024167E-1,1.557618082E-1,1.702624857E-1,-3.675068915E-2
1.814644167E-1,1.454215497E-1,5.397102982E-2,-2.357097156E-2
1.914264167E-1,1.243777499E-1,-4.226057976E-2,-1.583823562E-2
2.013884167E-1,1.082829311E-1,-8.899772167E-2,-1.168716699E-2
2.113504167E-1,1.022253931E-1,-7.498451322E-2,-7.646034472E-3
2.213114167E-1,9.496960789E-2,-5.065521691E-4,-5.398592912E-3
2.312734167E-1,7.624848932E-2,1.148928329E-1,-9.111503139E-3
2.412354167E-1,5.687345937E-2,2.014863044E-1,-2.164726891E-2
2.511974167E-1,5.023773760E-2,1.848516613E-1,-2.509325370E-2
2.611594167E-1,6.031779945E-2,7.171179354E-2,-1.866891049E-2
2.711214167E-1,7.103227824E-2,-6.610061973E-2,-3.633999964E-3
2.810834167E-1,7.423979044E-2,-1.707375646E-1,8.788048290E-3
2.910454167E-1,8.238375932E-2,-2.049691975E-1,1.019119099E-2
3.010074167E-1,9.476426244E-2,-1.563510597E-1,9.877736680E-3
3.109694167E-1,1.077288538E-1,-4.147183150E-2,1.252601855E-2
3.209314167E-1,1.093829423E-1,9.007580578E-2,1.882838830E-2
3.308924167E-1,9.391598403E-2,2.002161592E-1,3.097391874E-2
3.408544167E-1,4.952881113E-2,2.385427803E-1,3.224477917E-2
3.508164167E-1,-2.787648141E-2,1.870462000E-1,3.688135743E-2
3.607784167E-1,-1.163906381E-1,2.099258592E-3,4.654357210E-2
3.707404167E-1,-1.366963387E-1,-2.613448501E-1,4.580531642E-2
3.807024167E-1,-8.207278699E-2,-4.727063775E-1,4.240632430E-2
3.906644167E-1,-1.217799634E-2,-5.492151976E-1,5.212810636E-2
4.006264167E-1,3.550190851E-2,-5.077154636E-1,3.802081198E-2
4.105884167E-1,5.449246615E-2,-3.870447874E-1,-6.820111535E-3
4.205504167E-1,4.055428132E-2,-1.868504286E-1,-7.017831504E-2
4.305124167E-1,-9.612357244E-3,6.096701324E-2,-1.393427402E-1
4.404734167E-1,-7.030313462E-2,2.620466053E-1,-1.926203519E-1
4.504354167E-1,-1.348614693E-1,3.794734776E-1,-2.037605047E-1
4.603974167E-1,-2.053691894E-1,3.985691369E-1,-1.809739769E-1
4.703594167E-1,-2.658219635E-1,3.275114000E-1,-1.521581113E-1
4.803214167E-1,-2.947452366E-1,1.942542642E-1,-1.288197637E-1
4.902834167E-1,-2.579354644E-1,5.755217746E-2,-1.006591618E-1
5.002454167E-1,-1.750142127E-1,-1.367167104E-2,-3.633529693E-2
5.102074167E-1,-5.876571313E-2,-2.517428715E-3,2.151792310E-2
5.201694167E-1,5.323272571E-2,4.370679334E-2,6.109888852E-2
5.301314167E-1,1.072957814E-1,1.021048948E-1,1.007810310E-1
5.400934167E-1,9.314454347E-2,1.423585713E-1,1.220524982E-1
5.500554167E-1,5.374404043E-2,1.368379146E-1,1.251447052E-1
5.600164167E-1,3.633149341E-2,1.110856682E-1,1.399004757E-1
5.699784167E-1,7.335080206E-2,7.658665627E-2,1.574814618E-1
5.799404167E-1,1.400193125E-1,3.445278481E-2,1.419491023E-1
5.899024167E-1,2.019103914E-1,-9.119259194E-3,1.094688326E-1
5.998644167E-1,2.483364791E-1,-9.544056654E-2,6.328163296E-2
6.098264167E-1,2.907259464E-1,-2.150825858E-1,1.492152363E-2
