"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.540583330E-3,2.545307007E0,-9.482032013E0,-6.200106812E-1
1.450258333E-2,2.678829346E0,-9.430539093E0,-5.450166321E-1
2.446358333E-2,2.806513824E0,-9.342372437E0,-5.304968262E-1
3.442558333E-2,2.954855347E0,-9.239685974E0,-5.522016907E-1
4.438658333E-2,3.047961731E0,-9.167536011E0,-5.589376831E-1
5.434858333E-2,3.126697998E0,-9.167236633E0,-5.858816528E-1
6.430958333E-2,3.123105469E0,-9.215137024E0,-5.727090454E-1
7.427158333E-2,3.107388153E0,-9.293723602E0,-6.583309937E-1
8.423258333E-2,3.083437958E0,-9.344468079E0,-7.890092468E-1
9.419458333E-2,3.064876556E0,-9.373208313E0,-7.532336426E-1
1.041555833E-1,3.012635193E0,-9.409882050E0,-7.192543030E-1
1.141175833E-1,2.955304413E0,-9.449998627E0,-6.873706055E-1
1.240785833E-1,2.870730286E0,-9.442214813E0,-7.455995178E-1
1.340405833E-1,2.746488647E0,-9.427096252E0,-8.723858643E-1
1.440015833E-1,2.628084869E0,-9.384734344E0,-9.472302246E-1
1.539635833E-1,2.499352570E0,-9.388925629E0,-8.777746582E-1
1.639245833E-1,2.380499725E0,-9.450298004E0,-8.521778870E-1
1.738865833E-1,2.337239685E0,-9.519304504E0,-8.045768738E-1
1.838475833E-1,2.355352020E0,-9.523645477E0,-8.598120117E-1
1.938095833E-1,2.508034515E0,-9.460327148E0,-9.310638428E-1
2.037705833E-1,2.765349426E0,-9.388476563E0,-8.478369141E-1
2.137325833E-1,2.941832428E0,-9.335935822E0,-6.930587769E-1
2.236935833E-1,3.071013794E0,-9.348060608E0,-6.024971008E-1
2.336555833E-1,3.136128387E0,-9.413324890E0,-5.310955811E-1
2.436165833E-1,3.097059631E0,-9.441915436E0,-5.551954651E-1
2.535785833E-1,2.940634918E0,-9.440268860E0,-5.761518860E-1
2.635395833E-1,2.765648804E0,-9.332492981E0,-5.292993164E-1
2.735015833E-1,2.695295105E0,-9.264983368E0,-4.599934387E-1
2.834625833E-1,2.705623627E0,-9.358389130E0,-3.778143311E-1
2.934245833E-1,2.794089661E0,-9.557924194E0,-3.088078308E-1
3.033855833E-1,2.977757721E0,-9.574240265E0,-2.398013306E-1
3.133475833E-1,3.100352783E0,-9.424102478E0,-2.848576355E-1
3.233085833E-1,3.181334381E0,-9.242979126E0,-3.384461975E-1
3.332705833E-1,3.214714966E0,-9.129814453E0,-3.143463135E-1
3.432315833E-1,3.222798157E0,-9.148675232E0,-3.977229309E-1
3.531935833E-1,3.374582520E0,-9.204509125E0,-5.706134033E-1
3.631545833E-1,3.383563843E0,-9.236841888E0,-7.216493225E-1
3.731165833E-1,3.386856995E0,-9.215286713E0,-7.824229431E-1
3.830775833E-1,3.554358673E0,-9.303303680E0,-7.635621643E-1
3.930395833E-1,3.608096924E0,-9.401649170E0,-7.530839539E-1
4.030005833E-1,3.215014343E0,-9.451794891E0,-6.442602539E-1
4.129625833E-1,2.809507599E0,-9.438472595E0,-6.056405640E-1
4.229235833E-1,2.376458130E0,-9.431437225E0,-5.701643372E-1
4.328855833E-1,2.148482208E0,-9.495503998E0,-4.562512207E-1
4.428465833E-1,2.083367615E0,-9.489516449E0,-3.035687256E-1
4.528085833E-1,1.997146912E0,-9.426497498E0,-1.841171265E-1
4.627695833E-1,2.045047302E0,-9.340127106E0,-1.544787598E-1
4.727315833E-1,2.102228394E0,-9.225016479E0,-1.618135071E-1
4.826925833E-1,2.223925323E0,-9.167086945E0,-2.059716797E-1
4.926545833E-1,2.366279297E0,-9.179960175E0,-2.429447937E-1
5.026155833E-1,2.497256927E0,-9.245074768E0,-1.709445190E-1
