"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.126916662E-3,9.933138639E-2,1.568620466E-2,7.048483007E-3
1.608891667E-2,7.455786318E-2,5.058985949E-2,6.563254632E-3
2.604991666E-2,4.475790262E-2,8.920647949E-2,1.861161436E-3
3.601191667E-2,1.459121332E-2,9.630540013E-2,1.950377366E-3
4.597391666E-2,-1.413894445E-2,8.025071770E-2,6.840924732E-3
5.593491667E-2,-3.879395872E-2,5.963066220E-2,1.250653341E-2
6.589691666E-2,-5.333370715E-2,4.247330129E-2,1.233694237E-2
7.585812500E-2,-5.755987763E-2,2.108252421E-2,9.396280162E-3
8.582012500E-2,-5.436566845E-2,3.406936303E-4,5.362590775E-3
9.578212500E-2,-4.954428226E-2,8.099426050E-4,3.496514168E-3
1.057431250E-1,-3.965327889E-2,2.149676532E-2,4.006693605E-3
1.157051250E-1,-2.027132735E-2,3.442002088E-2,5.879960954E-3
1.256661250E-1,8.102442138E-3,3.148579225E-2,1.244070288E-2
1.356281250E-1,3.800015524E-2,1.869223267E-2,1.799232885E-2
1.455901250E-1,5.779631436E-2,-4.971062299E-3,2.164960280E-2
1.555511250E-1,6.032924354E-2,-2.570403740E-2,1.765539497E-2
1.655131250E-1,5.309964344E-2,-4.463489726E-2,1.344888657E-2
1.754741250E-1,3.894174471E-2,-6.964544207E-2,2.890518168E-3
1.854361250E-1,1.466742530E-2,-8.525501937E-2,-4.662465304E-3
1.953971250E-1,-4.628774244E-3,-9.368366003E-2,-1.088307705E-2
2.053591250E-1,-1.712151244E-2,-1.134907231E-1,-1.148635615E-2
2.153211250E-1,-1.949252561E-2,-1.417111754E-1,-3.760526422E-3
2.252821250E-1,-1.970662177E-2,-1.508826613E-1,-1.778576989E-4
2.352441250E-1,-2.901516482E-2,-1.252667755E-1,5.392942578E-3
2.452051250E-1,-5.078685656E-2,-7.128391415E-2,9.401312098E-3
2.551671250E-1,-6.594530493E-2,-3.754007444E-2,8.265206590E-3
2.651291250E-1,-7.219675183E-2,-2.031684108E-2,7.261764724E-3
2.750901250E-1,-8.220969886E-2,6.612246390E-3,6.889721379E-3
2.850521250E-1,-9.876211733E-2,4.908596352E-2,2.062238054E-3
2.950131250E-1,-1.148350909E-1,8.078929782E-2,4.749939544E-4
3.049751250E-1,-1.124668941E-1,8.590685576E-2,8.911380544E-3
3.149371250E-1,-1.086007804E-1,9.183877707E-2,2.508635446E-2
3.248981250E-1,-1.071508005E-1,1.041622013E-1,3.643053025E-2
3.348601250E-1,-1.133767366E-1,1.169296652E-1,3.951233998E-2
3.448211250E-1,-1.280220151E-1,1.099653095E-1,4.184854776E-2
3.547831250E-1,-1.433777958E-1,7.027382404E-2,3.741385415E-2
3.647451250E-1,-1.600351781E-1,3.931857646E-5,3.018068336E-2
3.747061250E-1,-1.647862643E-1,-8.447742462E-2,2.473238856E-2
3.846681250E-1,-1.696169972E-1,-1.458237916E-1,1.947086304E-2
3.946291250E-1,-1.988726258E-1,-1.450165808E-1,-1.578229479E-3
4.045911250E-1,-2.422168702E-1,-9.636311233E-2,-2.034054697E-2
4.145531250E-1,-2.948529124E-1,-2.542635985E-2,-4.768242314E-2
4.245141250E-1,-3.557692766E-1,2.872204594E-2,-8.235815912E-2
4.344761250E-1,-4.210870266E-1,4.677907377E-2,-1.227780208E-1
4.444371250E-1,-4.998659492E-1,4.266842082E-2,-1.839578152E-1
4.543991250E-1,-5.985320807E-1,6.067112088E-2,-2.598403096E-1
4.643611250E-1,-7.167690992E-1,1.018505618E-1,-3.369984627E-1
4.743221250E-1,-8.355863094E-1,1.313549280E-1,-3.789221942E-1
4.842841250E-1,-9.472569823E-1,1.445851475E-1,-3.876084685E-1
4.942451250E-1,-1.055603981E0,1.370438784E-1,-3.824693561E-1
5.042071250E-1,-1.170792222E0,1.161526293E-1,-3.710958958E-1
5.141691250E-1,-1.264638543E0,6.485854089E-2,-3.452728093E-1
5.241301250E-1,-1.347755909E0,8.463563770E-2,-2.732780576E-1
