"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-3.084416669E-3,1.529070282E0,-9.828860779E0,9.032217407E-1
6.877583335E-3,1.298998718E0,-9.457183685E0,2.185455322E-1
1.683958333E-2,1.534309387E0,-8.950786743E0,-3.999682617E-1
2.680058333E-2,2.315235443E0,-8.402476959E0,-7.711962891E-1
3.676258333E-2,3.206482086E0,-8.296048279E0,-7.547305298E-1
4.672458334E-2,3.906127167E0,-8.583001556E0,-7.141648865E-1
5.668558333E-2,4.434378662E0,-8.910221100E0,-6.274951172E-1
6.664758333E-2,5.056784363E0,-9.087003479E0,-5.032534790E-1
7.660958333E-2,5.495671692E0,-9.026978302E0,-4.686753845E-1
8.657158334E-2,5.523962860E0,-8.759035492E0,-4.586462402E-1
9.653258333E-2,5.094805298E0,-8.518186340E0,-5.200186157E-1
1.064945833E-1,4.508025513E0,-8.535550232E0,-1.068178711E0
1.164565833E-1,4.020788727E0,-8.887019348E0,-1.543141022E0
1.264185833E-1,3.497776337E0,-9.203610992E0,-1.425335999E0
1.363795833E-1,3.063828735E0,-9.385033722E0,-1.060245209E0
1.463415833E-1,2.887495422E0,-9.452842712E0,-7.057823181E-1
1.563035833E-1,2.881358185E0,-9.426347809E0,-4.595443726E-1
1.662655833E-1,2.969225464E0,-9.303752747E0,-3.631448364E-1
1.762265833E-1,3.208278351E0,-9.134903870E0,-4.111949158E-1
1.861885833E-1,3.573818207E0,-9.004075928E0,-5.442681885E-1
1.961505833E-1,3.896247711E0,-8.961414642E0,-6.620732117E-1
2.061125833E-1,4.183949432E0,-8.972641296E0,-8.048762512E-1
2.160735833E-1,4.393663330E0,-8.983418884E0,-8.767268372E-1
2.260355833E-1,4.427942047E0,-8.978179779E0,-7.920030212E-1
2.359975833E-1,4.408482513E0,-8.954229584E0,-7.240443420E-1
2.459595833E-1,4.410428467E0,-8.910819855E0,-8.408015442E-1
2.559205833E-1,4.463717651E0,-8.815468140E0,-1.010698242E0
2.658825833E-1,4.455335083E0,-8.724008331E0,-1.044228516E0
2.758445833E-1,4.431085510E0,-8.750054169E0,-1.125210114E0
2.858065833E-1,4.518354034E0,-8.840166779E0,-1.307081909E0
2.957675833E-1,4.605472870E0,-8.935967560E0,-1.330433350E0
3.057295833E-1,4.616400146E0,-8.962013397E0,-1.288370819E0
3.156915833E-1,4.530029755E0,-8.973988495E0,-1.221609650E0
3.256525833E-1,4.388573914E0,-9.110055542E0,-1.141975250E0
