"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.141666653E-4,2.212848358E0,-9.413923645E0,3.182382202E-1
1.007616667E-2,2.390229492E0,-9.589209137E0,4.228706360E-1
2.003716667E-2,2.504441986E0,-9.610764313E0,5.174739075E-1
2.999916667E-2,2.548001404E0,-9.552984467E0,3.962260437E-1
3.996016667E-2,2.672991486E0,-9.453291779E0,2.709365845E-1
4.992216667E-2,2.674039307E0,-9.420659637E0,1.881587219E-1
5.988316667E-2,2.785407715E0,-9.329798584E0,1.968406677E-1
6.984516667E-2,2.874023438E0,-9.275311890E0,1.871109009E-1
7.980716667E-2,2.860551453E0,-9.508676605E0,1.260379028E-1
8.976816667E-2,2.791395264E0,-9.606123962E0,7.185058594E-2
9.973016667E-2,2.656226349E0,-9.549541626E0,-3.832031250E-2
1.096911667E-1,2.439327393E0,-9.517657928E0,-1.151106262E-1
1.196531667E-1,2.231260071E0,-9.525591431E0,-1.357676697E-1
1.296141667E-1,2.149979095E0,-9.557475128E0,-4.640350342E-2
1.395761667E-1,2.096540222E0,-9.620344391E0,5.388793945E-2
1.495371667E-1,2.032323761E0,-9.608968048E0,6.286926270E-2
1.594991667E-1,2.065854034E0,-9.568552094E0,8.906478882E-2
1.694601667E-1,2.075883179E0,-9.566007385E0,1.555265808E-1
1.794221667E-1,2.125130768E0,-9.599986725E0,2.103126526E-1
1.893841667E-1,2.164498901E0,-9.625882874E0,2.839595032E-1
1.993451667E-1,2.217788086E0,-9.608369293E0,3.005749512E-1
2.093071667E-1,2.284249878E0,-9.570647736E0,2.540217590E-1
2.192681667E-1,2.300416260E0,-9.499994659E0,2.371069336E-1
2.292301667E-1,2.433489532E0,-9.444759521E0,1.839674377E-1
2.391911667E-1,2.502645721E0,-9.457183685E0,1.130149841E-1
2.491531667E-1,2.526745605E0,-9.475146332E0,1.592687988E-1
2.591141667E-1,2.439327393E0,-9.463919678E0,1.273851013E-1
2.690761667E-1,2.461780701E0,-9.413175201E0,2.514770508E-2
2.790371667E-1,2.538720703E0,-9.373208313E0,-7.170089722E-2
2.889991667E-1,2.567161560E0,-9.391769714E0,-7.274871826E-2
2.989611667E-1,2.507286072E0,-9.388027496E0,-3.562591553E-2
