"Time (s)","X (m/s2)","Y (m/s2)","Z (m/s2)"
8.563617917E-1,-3.000360718E0,-1.919997345E1,-5.138514404E0
8.663237917E-1,-2.884501648E0,-1.827998657E1,-4.872517548E0
8.762857917E-1,-2.609224091E0,-1.743858627E1,-4.456532593E0
8.862467917E-1,-2.045795746E0,-1.668490356E1,-4.199067993E0
8.962087917E-1,-1.127455444E0,-1.566776871E1,-3.767964478E0
9.061707917E-1,-2.963836670E-2,-1.428629150E1,-3.624412994E0
9.161327917E-1,5.843847656E-1,-1.292756699E1,-3.411705322E0
9.260937917E-1,1.100361786E0,-1.102113144E1,-2.909948730E0
9.360557917E-1,1.450034637E0,-8.865015106E0,-2.465522919E0
9.460177917E-1,1.578168182E0,-6.752458191E0,-2.398462372E0
9.559787917E-1,1.652563477E0,-4.687801666E0,-2.719095612E0
9.659407917E-1,1.627864838E0,-2.797083435E0,-3.229683838E0
9.759027917E-1,1.696422272E0,-1.341210938E0,-2.954555969E0
9.858637917E-1,1.581611023E0,-4.643344116E-1,-1.622925110E0
9.958257917E-1,1.169368286E0,-3.143463135E-2,-2.278262329E-1
1.005787792E0,6.574328613E-1,1.975891113E-1,5.948629761E-1
1.015749792E0,2.216889954E-1,3.472778320E-1,1.126407623E0
1.025710792E0,-2.802172852E-1,2.923420715E-1,1.465602264E0
1.035672792E0,-5.418731689E-1,2.553689575E-1,1.470991058E0
1.045634792E0,-5.828878784E-1,2.282752991E-1,1.150357819E0
1.055595792E0,-5.207670593E-1,2.185455322E-1,8.228388977E-1
1.065557792E0,-5.041516113E-1,1.924996948E-1,5.147795105E-1
1.075519792E0,-5.429209900E-1,2.206411743E-1,1.948947144E-1
1.085480792E0,-7.896080017E-1,3.164419556E-1,-3.156935120E-1
1.095442792E0,-1.148262177E0,3.736230469E-1,-1.244362335E0
1.105404792E0,-1.413211212E0,3.891906738E-1,-2.326761475E0
1.115366167E0,-1.278641052E0,2.200424194E-1,-2.900069275E0
1.125328167E0,-8.105644226E-1,-1.152603149E-2,-2.582130432E0
1.135290167E0,-1.618135071E-1,-9.160949707E-2,-1.526675262E0
1.145252167E0,5.203179932E-1,3.861968994E-2,-1.761836243E-1
1.155213167E0,1.001417542E0,3.040177917E-1,1.047371979E0
1.165175167E0,6.994953918E-1,4.743635559E-1,1.590143280E0
1.175137167E0,2.185455322E-1,4.082011414E-1,1.582209778E0
1.185098167E0,9.250762939E-2,2.507286072E-1,1.499282227E0
1.195060167E0,2.249821472E-1,-5.987548828E-4,1.365759888E0
1.205022167E0,1.809736633E-1,-3.918850708E-1,1.154848480E0
1.214983167E0,2.508782959E-1,-6.676116943E-1,2.511776733E-1
1.224945167E0,1.411115570E0,-2.653831329E0,-6.565496979E0
1.234907167E0,2.330503693E0,-5.884113922E0,-1.091560089E1
1.244868167E0,2.339784393E0,-7.512727203E0,-4.827012177E0
1.254830167E0,2.211052094E0,-1.075902649E1,-1.515298920E0
1.264792167E0,1.753453674E0,-1.692665085E1,4.174818420E-1
1.274754167E0,9.280700684E-3,-2.370814865E1,-4.048481140E0
1.284715167E0,-3.421135712E0,-2.970213409E1,-1.945653992E1
1.294677167E0,-2.189047852E0,-3.129467239E1,-2.189616669E1
1.304639167E0,9.336085510E-1,-2.424418396E1,-8.014034729E0
1.314600167E0,-6.246510315E-1,-1.380354538E1,-9.822573853E-1
1.324562167E0,-1.781146088E0,-9.413175201E0,-1.316961365E0
1.334524167E0,-9.403445435E-1,-7.877069550E0,-2.560874634E0
1.344485167E0,5.839356995E-1,-8.844956818E0,-4.518653412E0
1.354447167E0,3.672912140E0,-1.224783051E1,-6.248007202E0
1.364409167E0,6.246660004E0,-1.502874756E1,-5.478756866E0
1.374371167E0,6.395450592E0,-1.707858490E1,-4.264481964E0
1.384332167E0,4.405339050E0,-1.849748428E1,-7.476352844E0
1.394294167E0,1.590891724E0,-1.970352631E1,-1.582194809E1
1.404256167E0,-4.454736328E-1,-2.099309464E1,-1.692171112E1
1.414217167E0,-1.554816742E0,-2.084849533E1,-9.858499146E0
1.424179167E0,-2.903811493E0,-1.835722595E1,-5.588329010E0
1.434141167E0,-3.386707306E0,-1.544847473E1,-5.384452972E0
1.444102167E0,-2.241289215E0,-1.362032639E1,-5.323829041E0
1.454064167E0,-4.682263184E-1,-1.330493225E1,-4.866679688E0
1.464026167E0,1.372795258E0,-1.464988541E1,-5.321883087E0
1.473987167E0,2.398761749E0,-1.637789200E1,-4.735851746E0
1.483949167E0,3.180885315E0,-1.787238419E1,-4.591551819E0
1.493911167E0,3.919599152E0,-1.884296585E1,-5.554199982E0
1.503873167E0,3.414549408E0,-1.954350906E1,-5.436993713E0
1.513834167E0,2.299218750E0,-2.004960663E1,-4.194427643E0
1.523796167E0,2.045945435E0,-1.987941055E1,-4.155807953E0
1.533758167E0,1.851799164E0,-1.933708832E1,-3.637884979E0
1.543719167E0,1.848655701E0,-1.829241074E1,-3.253334656E0
1.553681167E0,2.067799988E0,-1.675585602E1,-2.879861298E0
1.563643167E0,2.014361115E0,-1.463386871E1,-2.768492889E0
1.573604167E0,1.851499786E0,-1.232626740E1,-3.042273560E0
1.583566167E0,1.623823242E0,-1.023317001E1,-3.466491394E0
1.593528167E0,1.638941803E0,-8.412506104E0,-3.815116425E0
1.603489167E0,1.465751953E0,-6.665788422E0,-3.813619537E0
1.613451167E0,1.030606842E0,-4.758005676E0,-3.645219727E0
1.623413167E0,5.123844910E-1,-2.821632385E0,-3.437601471E0
1.633375167E0,2.644999695E-1,-1.087189178E0,-2.987188110E0
1.643336167E0,1.950444031E-1,3.487747192E-2,-2.009870453E0
1.653298167E0,8.128097534E-2,6.077362061E-1,-9.738748169E-1
1.663260167E0,-2.552192688E-1,7.809260559E-1,-3.082090759E-1
1.673221167E0,-5.379812622E-1,8.074209595E-1,2.125579834E-1
1.683183167E0,-7.632627869E-1,6.956034851E-1,6.294410706E-1
1.693145167E0,-9.389973450E-1,5.393284607E-1,8.427474976E-1
1.703106167E0,-1.060544586E0,3.674858093E-1,7.806266785E-1
1.713068167E0,-1.096020813E0,2.725831604E-1,3.808081055E-1
1.723030167E0,-1.068178711E0,2.279759216E-1,-4.917274475E-1
1.732991167E0,-1.441652069E0,4.439767456E-1,-4.362977142E0
1.742953167E0,-1.253643036E0,7.649093628E-1,-6.494843903E0
1.752915167E0,5.598358154E-2,8.403524780E-1,-5.272635498E0
1.762877167E0,1.156195679E0,7.223977661E-1,-2.792143707E0
1.772838167E0,9.391470337E-1,4.834945679E-1,-3.911366272E-1
1.782800167E0,-1.333726501E-1,-1.173559570E-1,4.767585754E-1
1.792762167E0,-8.315208435E-1,-6.957531738E-1,1.008153534E0
1.802723167E0,-6.101312256E-1,-7.828720093E-1,1.494043121E0
1.812685167E0,-4.134402466E-1,-6.668632507E-1,1.279539185E0
1.822647167E0,-3.522175598E-1,-5.306465149E-1,7.153623962E-1
1.832608167E0,-2.127076721E-1,-3.987707520E-1,3.728746033E-1
1.842570167E0,3.442840576E-3,-3.299139404E-1,2.639012146E-1
1.852532167E0,1.794767761E-1,-2.930905151E-1,2.567161560E-1
1.862493167E0,2.408491516E-1,-2.604583740E-1,3.367996216E-1
1.872455167E0,2.923420715E-1,-2.740800476E-1,4.460723877E-1
1.882417167E0,3.077600098E-1,-2.776725769E-1,4.499642944E-1
1.892379167E0,3.423381042E-1,-3.228785706E-1,3.968247986E-1
1.902340167E0,4.935237122E-1,-6.746470642E-1,3.646417236E-1
1.912302167E0,1.317111053E0,-2.869083710E0,-2.889291687E0
1.922264167E0,3.191363525E0,-1.120315292E1,-2.161909286E1
1.932225167E0,3.645219727E0,-1.625784164E1,-1.275946655E1
1.942187167E0,8.752299500E-1,-1.689401871E1,6.081553345E0
1.952149167E0,-2.660866699E0,-1.913141602E1,7.427853699E0
1.962110167E0,-2.743195496E0,-2.087513992E1,4.173022156E0
1.972072167E0,-9.174421692E-1,-2.208073288E1,-7.077133026E0
1.982034167E0,-5.370831299E-1,-2.111868347E1,-1.709594879E1
1.991995167E0,2.266287231E-1,-2.085717728E1,-1.418974228E1
2.001957167E0,7.054829407E-1,-2.183659058E1,-1.716181183E1
2.011919167E0,1.357377319E0,-2.140773239E1,-1.225172241E1
2.021881167E0,1.852098541E0,-1.850436996E1,-5.011877747E0
2.031842167E0,5.876779175E-1,-1.468102066E1,-4.092938690E0
2.041804167E0,-1.015937347E0,-1.181014069E1,-8.126450958E0
2.051766167E0,-9.512718201E-1,-1.023227188E1,-8.351582794E0
2.061727167E0,-1.517394562E0,-1.078492264E1,-6.583908691E0
2.071689167E0,-8.412506104E-2,-1.288700134E1,-7.078929291E0
2.081651167E0,1.920805664E0,-1.569770645E1,-7.390281830E0
2.091612167E0,2.363285522E0,-1.767748947E1,-7.295977936E0
2.101574167E0,1.761536865E0,-1.830693054E1,-7.179520111E0
2.111536500E0,1.161883850E0,-1.775278290E1,-7.206613770E0
2.121497500E0,1.119671631E0,-1.677950684E1,-6.167474670E0
2.131459500E0,1.114282837E0,-1.626457764E1,-5.295687561E0
2.141421500E0,8.827143860E-1,-1.652039566E1,-6.472989349E0
2.151383500E0,3.535647583E-1,-1.735146744E1,-6.532864838E0
2.161344500E0,2.993774414E-2,-1.784259613E1,-5.705086212E0
2.171306500E0,2.573149109E-1,-1.785172714E1,-6.070027313E0
2.181268500E0,6.038442993E-1,-1.768377640E1,-6.076314240E0
2.191229500E0,9.795629883E-1,-1.746822464E1,-6.155349884E0
2.201191500E0,1.208736420E0,-1.749082764E1,-6.582561493E0
2.211153500E0,1.150208130E0,-1.771865387E1,-6.779252472E0
2.221114500E0,8.159532166E-1,-1.778960632E1,-6.865473175E0
2.231076500E0,1.224453735E-1,-1.775562698E1,-6.236331482E0
2.241038500E0,-5.405259705E-1,-1.739128464E1,-5.613177338E0
2.250999500E0,-9.572593689E-1,-1.623179581E1,-5.001100159E0
2.260961500E0,-9.891430664E-1,-1.434182602E1,-4.416416016E0
2.270923500E0,-5.854325867E-1,-1.216460358E1,-4.048481140E0
2.280885500E0,-1.924996948E-1,-1.002674927E1,-3.532504120E0
2.290846500E0,-1.230441284E-1,-8.090825043E0,-2.592159576E0
2.300808500E0,2.300715637E-1,-6.043382721E0,-2.112706604E0
2.310770500E0,8.057743835E-1,-4.386178894E0,-2.487676849E0
2.320731500E0,1.196911011E0,-3.142864380E0,-2.735561371E0
2.330693500E0,1.044378204E0,-2.137704620E0,-2.221979370E0
2.340655500E0,6.682104492E-1,-1.321751404E0,-1.111887817E0
2.350616500E0,3.029699707E-1,-7.909552002E-1,-5.613327026E-2
2.360578500E0,1.833686829E-1,-3.942800903E-1,4.150868225E-1
2.370540500E0,1.953437805E-1,-1.083746338E-1,4.061054993E-1
2.380501500E0,2.911445618E-1,9.654922485E-2,3.682342529E-1
2.390463500E0,2.981799316E-1,2.263293457E-1,3.558100891E-1
2.400425500E0,1.736389160E-1,2.242337036E-1,3.129991150E-1
