"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.870898750E-1,3.171454926E0,-1.046174469E1,-3.256478119E0
8.970518750E-1,2.350262604E0,-9.861193542E0,-2.828518066E0
9.070138750E-1,1.735940094E0,-8.888366547E0,-2.265987854E0
9.169748750E-1,1.305734711E0,-7.799979858E0,-1.993704071E0
9.269368750E-1,1.171613617E0,-6.520889740E0,-2.023342438E0
9.368988750E-1,1.120120697E0,-5.072501678E0,-2.768492889E0
9.468608750E-1,1.487606506E0,-3.715872803E0,-4.164938965E0
9.568228750E-1,2.599194946E0,-2.909200287E0,-5.802533569E0
9.667848750E-1,3.900588684E0,-3.409759369E0,-5.379213867E0
9.767458750E-1,5.327571259E0,-4.246070251E0,-1.352886658E0
9.867078750E-1,6.462361450E0,-5.068609772E0,1.271306305E0
9.966698750E-1,6.896608429E0,-6.069428558E0,9.138496399E-1
1.006631875E0,7.366481323E0,-7.537425842E0,-1.047821045E-3
1.016593875E0,7.691006470E0,-9.121282196E0,-7.776329041E-1
1.026555875E0,7.253915405E0,-1.016745667E1,-1.033450928E0
1.036516875E0,7.044500885E0,-1.098999619E1,-2.109862518E0
1.046478875E0,7.158264313E0,-1.194081894E1,-4.090393982E0
1.056440875E0,7.441475372E0,-1.246712448E1,-4.942422180E0
1.066402875E0,7.759863281E0,-1.261381943E1,-5.394332428E0
1.076364875E0,7.728428650E0,-1.208272385E1,-5.854026489E0
1.086325875E0,8.066425781E0,-1.126437561E1,-6.218668213E0
1.096287875E0,7.728278961E0,-1.068029022E1,-6.176455994E0
1.106249875E0,7.250322876E0,-1.047865952E1,-5.921536102E0
1.116211875E0,6.728058929E0,-1.079195801E1,-6.007756805E0
1.126173875E0,6.350993042E0,-1.122081619E1,-6.011049957E0
1.136135875E0,6.151757355E0,-1.139191040E1,-5.749693451E0
1.146096875E0,6.240373077E0,-1.133712433E1,-5.921386414E0
1.156058875E0,5.903573456E0,-1.162527512E1,-6.175557861E0
1.166020875E0,5.420977020E0,-1.236892868E1,-6.200256500E0
1.175982875E0,5.239554291E0,-1.263986526E1,-6.193969574E0
1.185944875E0,5.060526581E0,-1.203602097E1,-6.107449493E0
1.195905875E0,5.141807556E0,-1.073417816E1,-5.749543762E0
1.205867875E0,5.764213257E0,-8.333171082E0,-5.126838684E0
1.215829875E0,5.881269836E0,-5.682183838E0,-4.258494415E0
1.225791875E0,5.242997131E0,-3.508703613E0,-3.500321045E0
1.235753875E0,4.901557159E0,-1.596430206E0,-3.023861847E0
1.245715875E0,4.762196960E0,-8.472381592E-2,-3.087778931E0
1.255676875E0,4.147126007E0,6.147715759E-1,-2.681074677E0
1.265638875E0,2.626587982E0,5.090913391E-1,-1.782642975E0
1.275600875E0,5.980064392E-1,-2.338137817E-1,-1.555265808E0
1.285562875E0,-1.021924896E0,-1.553020477E0,-2.262395325E0
1.295524875E0,-1.769170990E0,-2.922372894E0,-3.112178192E0
1.305486875E0,-1.390757904E0,-3.949686584E0,-3.178190918E0
1.315447875E0,-7.626640320E-1,-4.474495239E0,-2.861898651E0
1.325409875E0,1.519340515E-1,-4.478836212E0,-3.185974731E0
1.335371875E0,2.118245087E0,-4.471800842E0,-3.349883881E0
1.345333875E0,2.063758392E0,-5.513933716E0,-5.933361511E0
1.355295875E0,1.884580994E-1,-6.947951660E0,-7.990533600E0
1.365256875E0,1.394051056E0,-6.755002899E0,-2.136956177E0
1.375218875E0,3.526366882E0,-5.216053162E0,-4.192781067E-1
1.385180875E0,4.427792358E0,-2.482437744E0,4.954097900E0
1.395142875E0,4.614603882E0,-1.074166260E0,4.770429840E0
1.405104875E0,6.262377319E0,-1.769620056E0,1.923350372E0
1.415066875E0,8.934171295E0,-2.683170319E0,-2.327958984E0
1.425027875E0,1.364727036E1,-4.225712585E0,-1.280991165E1
1.434989875E0,1.418360504E1,-6.247408447E0,-9.983489227E0
1.444951875E0,1.149130371E1,-7.964936829E0,6.149212646E-1
1.454913875E0,8.974587250E0,-1.014171021E1,4.581522675E0
1.464875875E0,8.325686646E0,-1.334370163E1,3.727548523E0
1.474836875E0,9.517208862E0,-1.405936340E1,3.526815948E0
1.484798875E0,9.918674011E0,-1.311617477E1,2.784060516E0
1.494760875E0,8.971743164E0,-1.294058990E1,1.323397980E0
1.504722875E0,6.306535492E0,-1.333561844E1,-3.548520813E0
1.514684875E0,4.837939453E0,-1.405741745E1,-7.663463745E0
1.524646875E0,6.369255066E0,-1.434152664E1,-2.364333344E0
1.534607875E0,7.585625610E0,-1.426174255E1,1.427431641E0
1.544569375E0,8.426427155E0,-1.406954224E1,7.692503357E-1
1.554531375E0,8.679550781E0,-1.390757904E1,-3.751947784E0
1.564493375E0,7.923473053E0,-1.330208817E1,-5.878725128E0
1.574455375E0,8.164621582E0,-1.280706757E1,-4.164938965E0
1.584416375E0,9.182504883E0,-1.268671783E1,-4.277804260E0
1.594378375E0,8.780590668E0,-1.259810211E1,-5.845793610E0
1.604340375E0,5.979465637E0,-1.303100189E1,-6.236630859E0
1.614302375E0,4.064946899E0,-1.306198746E1,-5.877377930E0
1.624264375E0,3.056493988E0,-1.216445389E1,-5.727389832E0
1.634226375E0,1.990710297E0,-1.068478088E1,-5.670208740E0
1.644187375E0,1.809437256E0,-8.805738373E0,-6.163882141E0
1.654149375E0,1.608255615E0,-7.326514435E0,-5.836363220E0
1.664111375E0,1.150657196E0,-6.303242340E0,-4.311484222E0
1.674073375E0,9.898915100E-1,-5.071304169E0,-3.292253723E0
1.684035375E0,3.947291565E-1,-3.405867462E0,-3.392844543E0
1.693997375E0,-5.900729370E-1,-1.628463593E0,-4.502936096E0
1.703958375E0,-1.479223938E0,-6.779402161E-1,-5.483097839E0
1.713920375E0,-1.896855469E0,-3.406915283E-1,-5.325325928E0
1.723882375E0,-1.742227020E0,-7.458988953E-1,-4.305496674E0
1.733844375E0,-1.425934753E0,-1.700014801E0,-1.692081299E0
1.743806375E0,-1.142574005E0,-2.235900421E0,-1.661544800E-1
1.753767375E0,-4.861889648E-1,-2.385289764E0,-4.125421143E-1
1.763729375E0,6.908134460E-1,-2.841241608E0,-7.188052368E-1
1.773691375E0,2.752925262E0,-3.712579651E0,-1.825154572E0
1.783653375E0,4.688849487E0,-5.351671143E0,-2.757116547E0
1.793615375E0,6.711443481E0,-7.593409424E0,-3.226839752E0
1.803577375E0,8.968300323E0,-1.047012726E1,-4.212240601E0
1.813538375E0,1.050620224E1,-1.282922150E1,-5.036576385E0
1.823500375E0,1.222852066E1,-1.434856201E1,-4.502786407E0
1.833462375E0,1.469748642E1,-1.554143143E1,-3.658691711E0
1.843424375E0,1.697440155E1,-1.621952133E1,-3.741918640E0
1.853386375E0,1.823014023E1,-1.578407684E1,-4.451293488E0
1.863347375E0,1.758228745E1,-1.448328186E1,-4.785997467E0
1.873309375E0,1.448073715E1,-1.318667816E1,-5.409600677E0
1.883271375E0,1.093655731E1,-1.264300873E1,-5.972430267E0
1.893233375E0,8.695567474E0,-1.221774307E1,-6.672075348E0
1.903195375E0,5.807622986E0,-1.213556396E1,-6.359824677E0
1.913157375E0,5.115911407E0,-1.192824509E1,-5.896538086E0
1.923118375E0,4.824467468E0,-1.201222046E1,-4.837340698E0
1.933080375E0,2.990780640E0,-1.288086411E1,-4.064797211E0
1.943042375E0,2.508633270E0,-1.329565155E1,-3.696712646E0
1.953004375E0,3.486250305E0,-1.329175964E1,-3.792962494E0
1.962966375E0,4.910388794E0,-1.261666351E1,-4.088597717E0
1.972927375E0,6.042334900E0,-1.044153671E1,-4.073479156E0
1.982889375E0,6.862030334E0,-7.401358795E0,-3.679498444E0
