"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.996249998E-3,1.035845947E-1,-9.798623657E0,-4.842430115E-1
1.295824999E-2,1.011895752E-1,-9.762099609E0,-4.514611816E-1
2.292025000E-2,8.232879639E-2,-9.745184784E0,-3.640429688E-1
3.288124999E-2,3.263214111E-2,-9.745484161E0,-2.686912537E-1
4.284325000E-2,-1.272354126E-2,-9.780511322E0,-2.055226135E-1
5.280524999E-2,-2.514770508E-2,-9.826316071E0,-1.829196167E-1
6.276625000E-2,3.143463135E-3,-9.868827667E0,-1.613644409E-1
7.272824999E-2,5.328918457E-2,-9.881850586E0,-1.558259583E-1
8.269025000E-2,1.086740112E-1,-9.850565643E0,-1.493893433E-1
9.265124999E-2,1.878593445E-1,-9.801767120E0,-1.670526123E-1
1.026132500E-1,2.218386841E-1,-9.777966614E0,-1.772314453E-1
1.125752500E-1,2.107617188E-1,-9.771679688E0,-2.139051819E-1
1.225362500E-1,2.122586060E-1,-9.793683929E0,-2.040257263E-1
1.324982500E-1,1.984872437E-1,-9.817035370E0,-1.739382935E-1
1.424602500E-1,1.754351807E-1,-9.845476227E0,-1.987866211E-1
1.524212500E-1,1.815724182E-1,-9.844129028E0,-2.082170105E-1
1.623832500E-1,1.800755310E-1,-9.825268250E0,-2.272274780E-1
1.723452500E-1,1.722917175E-1,-9.820478210E0,-2.658471680E-1
1.823062500E-1,1.685494995E-1,-9.784552917E0,-2.505789185E-1
1.922682500E-1,1.326242065E-1,-9.802665253E0,-2.357597351E-1
2.022302500E-1,1.281335449E-1,-9.826914825E0,-2.071691895E-1
2.121912500E-1,1.233435059E-1,-9.839788055E0,-1.612147522E-1
2.221532500E-1,1.035845947E-1,-9.857151947E0,-1.243913269E-1
2.321152500E-1,1.360670471E-1,-9.818382568E0,-1.344204712E-1
2.420762500E-1,1.586700439E-1,-9.767488403E0,-1.445993042E-1
2.520382500E-1,1.722917175E-1,-9.752070465E0,-1.673519897E-1
2.620002500E-1,1.860630798E-1,-9.732461243E0,-2.092648315E-1
2.719612500E-1,2.477348328E-1,-9.723030853E0,-2.782713318E-1
2.819232500E-1,2.918930054E-1,-9.745184784E0,-3.394940186E-1
2.918842500E-1,3.390449524E-1,-9.762249298E0,-4.043092346E-1
3.018462500E-1,3.737727356E-1,-9.726623383E0,-4.445755005E-1
3.118082500E-1,3.532653809E-1,-9.606423340E0,-4.668791199E-1
3.217692500E-1,3.053649902E-1,-9.375303955E0,-5.348377991E-1
3.317312500E-1,2.351609802E-1,-9.114995270E0,-6.774911499E-1
3.416932500E-1,1.324745178E-1,-8.912765808E0,-8.210426331E-1
3.516542500E-1,7.933502197E-3,-8.896599426E0,-9.771679688E-1
3.616162500E-1,-1.737886047E-1,-9.012308807E0,-1.199156342E0
3.715782500E-1,-3.673361206E-1,-9.071435852E0,-1.462009735E0
3.815392500E-1,-4.791535950E-1,-8.915909271E0,-1.699865112E0
3.915012500E-1,-4.577481079E-1,-8.660091248E0,-2.017803955E0
4.014632500E-1,-2.918930054E-1,-8.314759369E0,-2.225122833E0
4.114242500E-1,-1.544787598E-1,-7.921078033E0,-2.359692993E0
4.213862500E-1,-5.658233643E-2,-7.429949341E0,-2.753973083E0
4.313482500E-1,3.113525391E-2,-7.017257538E0,-3.197949829E0
4.413092500E-1,1.005908203E-1,-6.673272858E0,-3.034340057E0
4.512712500E-1,2.350112915E-1,-6.331234131E0,-2.289488983E0
4.612332500E-1,3.125500488E-1,-6.069578247E0,-1.678309937E0
4.711942500E-1,4.722679138E-1,-5.803132324E0,-9.720785522E-1
