"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.397708750E-1,-2.577741444E-1,-5.170214176E-2,-5.589346960E-2
8.497328750E-1,-3.480116129E-1,-1.135929376E-1,-1.030707452E-2
8.596948750E-1,-5.124698281E-1,-2.737451196E-1,3.806304187E-2
8.696558750E-1,-7.118257880E-1,-4.594665170E-1,9.162479639E-2
8.796178750E-1,-8.806592226E-1,-5.556220412E-1,1.512466222E-1
8.895798750E-1,-9.914746881E-1,-5.258452296E-1,2.135454267E-1
8.995418750E-1,-1.070129514E0,-4.748002291E-1,2.915907204E-1
9.095038750E-1,-1.193581104E0,-6.176042557E-1,3.853992522E-1
9.194648750E-1,-1.384128213E0,-9.363392591E-1,4.918034673E-1
9.294268750E-1,-1.641392469E0,-1.353581190E0,5.825533271E-1
9.393888750E-1,-1.986124873E0,-1.912813187E0,6.379843354E-1
9.493508750E-1,-2.407660723E0,-2.512815952E0,6.224538684E-1
9.593128750E-1,-2.723584890E0,-2.665200710E0,6.329236031E-1
9.692748750E-1,-2.532625675E0,-1.967129469E0,6.458889246E-1
9.792358750E-1,-1.983249784E0,-1.413127661E0,5.752404928E-1
9.891978750E-1,-1.536387920E0,-1.627380371E0,5.228646398E-1
9.991598750E-1,-1.361689448E0,-2.117707729E0,5.576797128E-1
1.009121875E0,-1.398067355E0,-2.139262199E0,6.918519139E-1
1.019083875E0,-1.467459917E0,-1.705761313E0,8.408257365E-1
1.029045875E0,-1.504851699E0,-1.352292299E0,9.219338894E-1
1.039006875E0,-1.650388002E0,-1.182988524E0,8.979955316E-1
1.048968875E0,-1.791543961E0,-1.069514632E0,8.606921434E-1
1.058930875E0,-1.789678931E0,-1.100248933E0,8.114727736E-1
1.068892875E0,-1.704087019E0,-1.256773829E0,7.348392606E-1
1.078854875E0,-1.617994070E0,-1.398748159E0,5.440602899E-1
1.088815875E0,-1.574271321E0,-1.291948915E0,3.199593127E-1
1.098777875E0,-1.553836823E0,-1.054802418E0,1.588618755E-1
1.108739875E0,-1.543724775E0,-8.361891508E-1,9.039254487E-2
1.118701875E0,-1.511772752E0,-7.073825002E-1,1.294361651E-1
1.128663875E0,-1.476425648E0,-4.952917993E-1,1.936862618E-1
1.138625875E0,-1.464406252E0,-2.984147668E-1,2.416247874E-1
1.148586875E0,-1.550340056E0,-8.812518418E-2,2.588442564E-1
1.158548875E0,-1.743704200E0,2.006266862E-1,3.508220911E-1
1.168510875E0,-1.971972585E0,4.176263511E-1,4.796660841E-1
1.178472875E0,-2.180310249E0,5.884435177E-1,5.548408628E-1
1.188434875E0,-2.364221096E0,7.453029156E-1,5.904547572E-1
1.198395875E0,-2.493048191E0,8.918337822E-1,5.118786693E-1
1.208357875E0,-2.489062309E0,1.067744851E0,2.886543572E-1
1.218319875E0,-2.259115934E0,1.227858782E0,9.070334584E-2
1.228281875E0,-1.708476543E0,1.264874578E0,1.304210722E-2
1.238243875E0,-9.445303082E-1,1.311912060E0,-4.555082694E-2
1.248205875E0,-9.277737141E-2,1.290705562E0,-1.932438761E-1
1.258166875E0,7.741681337E-1,1.283803701E0,-4.620276093E-1
1.268128875E0,1.561578631E0,1.417593241E0,-6.711121202E-1
1.278090875E0,2.176894188E0,1.611039162E0,-7.021003366E-1
1.288052875E0,2.509489536E0,1.711503148E0,-5.909282565E-1
1.298014875E0,2.608037710E0,1.654867411E0,-4.196151495E-1
1.307976875E0,2.562935114E0,1.448274851E0,-2.647598088E-1
1.317937875E0,2.405942202E0,1.141391993E0,-8.825670928E-2
1.327899875E0,2.149580717E0,7.687246799E-1,4.887025431E-2
1.337861875E0,1.704069018E0,3.197561204E-2,2.616590858E-1
1.347823875E0,8.353649974E-1,-1.583704472E0,7.580131292E-1
1.357785875E0,5.174139142E-1,-1.853972554E0,1.170050144E0
1.367746875E0,7.280904651E-1,-6.780759096E-1,1.002604723E0
1.377708875E0,1.415676475E0,-4.675150216E-1,5.168820024E-1
1.387670875E0,1.893133044E0,-7.277417779E-1,3.992033005E-1
1.397632875E0,1.957335591E0,-5.840313435E-1,4.506176710E-1
1.407594875E0,1.754244804E0,-6.615221500E-2,3.940481246E-1
1.417556875E0,7.156162858E-1,1.725308537E0,-6.197275221E-2
1.427517875E0,-3.228344023E-1,1.711271048E0,-8.129208088E-1
1.437479875E0,-4.391116202E-1,1.444413900E0,-1.388394356E0
1.447441875E0,-4.841843247E-2,1.464842677E0,-1.414709330E0
1.457403875E0,9.897318482E-2,1.379393458E0,-8.767015338E-1
1.467365875E0,1.940858513E-1,1.301652074E0,-2.794114947E-1
1.477326875E0,4.394865036E-1,1.308779716E0,-9.474721551E-2
1.487288875E0,7.771931887E-1,1.459897876E0,-1.684147865E-1
1.497250875E0,1.136119962E0,1.799528956E0,-2.274789214E-1
1.507212875E0,1.254095078E0,1.038676858E0,-1.366387606E-1
1.517174875E0,1.631332874E0,5.914416313E-1,-1.072946563E-1
1.527136875E0,2.327046394E0,9.463491440E-1,-6.488034874E-2
1.537097875E0,3.003019810E0,1.064455628E0,4.620371759E-2
1.547059375E0,3.139697790E0,9.060860276E-1,4.873584956E-2
1.557021375E0,2.726740837E0,6.441687346E-1,-3.638069145E-3
1.566983375E0,2.331718445E0,7.808395028E-1,-1.064448804E-1
1.576945375E0,2.009685278E0,1.314862609E0,-3.697285652E-1
1.586906375E0,1.500336766E0,1.742655158E0,-6.976702213E-1
1.596868375E0,8.575229049E-1,1.920464277E0,-7.685710192E-1
1.606830375E0,4.043034911E-1,1.739817739E0,-4.923205674E-1
1.616792375E0,3.307135403E-1,1.487453461E0,-2.770553529E-1
1.626754375E0,5.504767895E-1,1.378415108E0,-1.207264587E-1
1.636716375E0,8.770270348E-1,8.822360039E-1,-7.985011488E-2
1.646677375E0,1.064696789E0,2.472782284E-1,-1.177644730E-1
1.656639375E0,1.155354381E0,-1.186936051E-1,-1.015402451E-1
1.666601375E0,1.074504495E0,-3.347747922E-1,-8.566514403E-2
1.676563375E0,7.780638933E-1,-6.781848073E-1,-5.887046829E-2
1.686525375E0,3.563049436E-1,-1.120549321E0,1.300025918E-2
1.696487375E0,-9.732015431E-2,-1.460766912E0,1.933481991E-1
1.706448375E0,-4.287782609E-1,-1.406327963E0,4.698943198E-1
1.716410375E0,-6.652700305E-1,-1.185327649E0,7.202654481E-1
1.726372375E0,-8.870838881E-1,-1.217850924E0,8.921972513E-1
1.736334375E0,-1.034872770E0,-1.255282879E0,1.022527575E0
1.746296375E0,-1.205817342E0,-1.336386561E0,1.072285295E0
1.756257375E0,-1.418404818E0,-1.408132434E0,9.882024527E-1
1.766219375E0,-1.692615867E0,-1.532590389E0,7.454627752E-1
1.776181375E0,-2.022123337E0,-1.724981904E0,4.846661985E-1
1.786143375E0,-2.347001076E0,-1.533236146E0,3.205507696E-1
1.796105375E0,-2.641268492E0,-8.470306396E-1,3.491622508E-1
1.806067375E0,-2.958524466E0,-3.362669945E-1,6.191324592E-1
1.816028375E0,-3.234766722E0,-4.728025794E-1,9.462997913E-1
1.825990375E0,-3.260272741E0,-1.113848090E0,1.100799084E0
1.835952375E0,-2.959860086E0,-1.876651049E0,1.027558327E0
1.845914375E0,-2.489660263E0,-2.330342293E0,7.100831866E-1
1.855876375E0,-1.930640221E0,-2.821520567E0,2.087364346E-1
1.865837375E0,-1.453162074E0,-3.324703217E0,-2.430680394E-1
1.875799375E0,-1.164497852E0,-3.394725800E0,-4.022459686E-1
1.885761375E0,-1.203201532E0,-2.926332951E0,-4.473897517E-1
1.895723375E0,-1.427315593E0,-2.197408915E0,-3.997896612E-1
1.905685375E0,-1.651323080E0,-1.627552748E0,-4.223458469E-1
1.915647375E0,-1.749290228E0,-1.190156817E0,-6.214089990E-1
1.925608375E0,-1.802043200E0,-7.475008368E-1,-6.072654724E-1
1.935570375E0,-1.818740129E0,-3.198778927E-1,-4.408871830E-1
1.945532375E0,-1.790533304E0,1.834942587E-2,-2.755523026E-1
1.955494375E0,-1.852544904E0,4.310521185E-1,-1.595337391E-1
1.965456375E0,-1.942907572E0,8.796740770E-1,-2.322223037E-2
1.975417375E0,-1.978759646E0,1.261680961E0,1.016465873E-1
1.985379375E0,-1.871877193E0,1.560038090E0,1.727194339E-1
1.995341375E0,-1.537058949E0,1.569452882E0,2.707519233E-1
2.005303375E0,-9.077897668E-1,1.341333508E0,4.333067238E-1
2.015265375E0,-2.885857411E-2,1.073816776E0,5.267328024E-1
2.025227375E0,1.108303666E0,8.495903611E-1,4.242418408E-1
2.035188375E0,2.301079988E0,1.005478144E0,1.363581121E-1
2.045150375E0,3.278148174E0,1.429169416E0,-1.107145324E-1
2.055112375E0,3.818806648E0,1.828184247E0,-1.760745049E-1
2.065074375E0,3.882190943E0,1.975016117E0,-1.629131585E-1
2.075036375E0,3.649014473E0,1.669111133E0,-1.066556498E-1
2.084997375E0,3.145768404E0,8.895512819E-1,1.504202280E-2
2.094959375E0,2.144813776E0,-7.442269921E-1,1.471971720E-1
2.104921375E0,3.043506145E-1,-3.681291580E0,3.152546287E-1
2.114883375E0,-1.457229495E0,-6.023674011E0,6.664722562E-1
2.124845375E0,-2.132428408E0,-4.680533886E0,9.288148880E-1
2.134807375E0,-1.237073421E0,-9.185641408E-1,4.412313700E-1
2.144768375E0,3.548325002E-1,7.400709391E-1,-2.846496701E-1
2.154730375E0,1.629891038E0,2.207323551E0,-5.674188733E-1
2.164692375E0,1.927850485E0,3.155733347E0,-6.372035146E-1
2.174654375E0,1.439547896E0,2.149975538E0,-6.216304302E-1
