"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.453826250E-1,3.975732422E-1,-3.223396912E0,-4.438719635E0
8.553446250E-1,-5.131329346E-1,-2.320025482E0,-3.324736176E0
8.653056250E-1,-1.228195953E0,-1.607058105E0,-2.287992096E0
8.752676250E-1,-1.650617523E0,-1.020577698E0,-1.546434174E0
8.852286250E-1,-1.753303986E0,-5.340893555E-1,-7.634124756E-1
8.951906250E-1,-1.611099701E0,-3.104544067E-1,1.266366577E-1
9.051516250E-1,-1.490749969E0,-3.258723450E-1,1.090332642E0
9.151136250E-1,-1.381028137E0,-3.261717224E-1,1.851799164E0
9.250756250E-1,-1.011296997E0,-1.661544800E-1,1.857038269E0
9.350366250E-1,-5.810916138E-1,-4.505630493E-2,1.162931671E0
9.449986250E-1,-7.565267944E-1,9.879455566E-3,-5.084925842E-1
9.549596250E-1,-9.627978516E-1,1.975891113E-2,-2.366428986E0
9.649216250E-1,-4.412823486E-1,1.451980591E-1,-3.576362915E0
9.748836250E-1,5.155279541E-1,3.969744873E-1,-3.837569733E0
9.848446250E-1,6.959028625E-1,5.339396667E-1,-2.612068176E0
9.948066250E-1,4.189787292E-1,2.242337036E-1,-7.954458618E-1
1.004767625E0,1.751358032E-1,-2.728825378E-1,5.179229736E-1
1.014729625E0,-2.709365845E-2,-5.436694336E-1,1.378333740E0
1.024690625E0,-1.634600830E-1,-5.950126648E-1,1.763482819E0
1.034652625E0,-5.418731689E-2,-6.096821594E-1,1.601519623E0
1.044614625E0,3.552113342E-1,-8.818162537E-1,1.257834320E0
1.054575625E0,9.623487854E-1,-1.472787323E0,1.107247467E0
1.064537625E0,1.586999817E0,-2.483036499E0,6.276448059E-1
1.074498625E0,1.989662476E0,-4.594545593E0,-2.478845215E0
1.084460625E0,1.537901917E0,-9.739197235E0,-1.491782822E1
1.094422625E0,1.192570038E0,-1.443313614E1,-1.364113312E1
1.104383625E0,1.064286804E0,-1.650797150E1,4.327500916E-1
1.114345625E0,2.912942505E-1,-2.136312515E1,-3.838018799E-1
1.124306625E0,-9.214837646E-1,-2.672587326E1,-9.546098785E0
1.134268625E0,-3.577410736E0,-2.514126846E1,-1.714579514E1
1.144229625E0,-4.194876709E0,-1.884431305E1,-1.420336395E1
1.154191625E0,-2.420167236E0,-1.403451508E1,-2.591710510E0
1.164153625E0,-4.354444885E-1,-1.270363266E1,-5.372328186E-1
1.174114625E0,1.777254181E0,-1.466350708E1,-8.909472656E0
1.184076625E0,1.770368500E0,-1.868803802E1,-1.399170410E1
1.194037625E0,3.456312561E-1,-2.088816284E1,-6.268813934E0
1.203999625E0,-1.319955139E0,-2.111793503E1,-5.812413025E0
1.213960625E0,-3.374133453E0,-2.080343903E1,-1.217163895E1
1.223922625E0,-4.748874664E0,-2.054268127E1,-1.085617447E1
1.233884625E0,-4.788691864E0,-1.993704071E1,-6.418802032E0
1.243845625E0,-4.110003204E0,-1.973885284E1,-7.175628204E0
1.253807625E0,-3.232827301E0,-1.978645386E1,-7.330406342E0
1.263768625E0,-2.110161896E0,-1.955338852E1,-5.805677032E0
1.273730625E0,-8.887019348E-1,-1.924368256E1,-5.238506470E0
1.283691625E0,6.616241455E-2,-1.862037872E1,-4.893773346E0
1.293653625E0,4.736151123E-1,-1.770443344E1,-4.405638428E0
1.303615625E0,7.694000244E-1,-1.656275757E1,-4.214186554E0
1.313576625E0,1.195713501E0,-1.507829453E1,-4.041745148E0
1.323538625E0,1.368304596E0,-1.352781876E1,-3.684887238E0
1.333499625E0,1.480870514E0,-1.188947571E1,-3.244053955E0
1.343461625E0,1.624122620E0,-1.008437943E1,-3.333118744E0
1.353423625E0,1.501826935E0,-8.254285126E0,-3.236419830E0
1.363384625E0,1.148561554E0,-6.407126312E0,-2.718347168E0
1.373346625E0,8.623567200E-1,-4.681065674E0,-2.461481323E0
1.383307625E0,7.469467163E-1,-3.138822784E0,-2.495909729E0
1.393269625E0,5.766009521E-1,-1.937720490E0,-2.520907745E0
1.403230625E0,3.550616455E-1,-1.036893768E0,-2.392325134E0
1.413192625E0,1.689985657E-1,-4.254153442E-1,-2.056124268E0
1.423154625E0,-1.648072815E-1,-1.011895752E-1,-1.334774323E0
1.433115625E0,-3.200344849E-1,1.157093811E-1,-3.830534363E-1
1.443077625E0,-2.305206299E-1,2.630030823E-1,5.358856201E-1
1.453038625E0,-6.002517700E-2,3.632945251E-1,1.050665131E0
1.463000625E0,-1.347198486E-3,4.251159668E-1,1.084195404E0
1.472962625E0,-6.885681152E-3,4.225712585E-1,7.997868347E-1
1.482923625E0,-3.023712158E-2,4.376898193E-1,6.117778015E-1
1.492885625E0,-1.224453735E-1,4.358935547E-1,5.553451538E-1
1.502846625E0,-2.366578674E-1,4.029620361E-1,5.019062805E-1
1.512808625E0,-3.589535522E-1,4.165837097E-1,3.878434753E-1
1.522769625E0,-4.984634399E-1,4.186793518E-1,-9.445358276E-2
1.532731625E0,-8.313711548E-1,5.200186157E-1,-1.967957611E0
1.542693625E0,-8.937913513E-1,4.430786133E-1,-2.944975891E0
1.552654625E0,-3.839515686E-1,1.073268127E-1,-1.936223602E0
1.562616625E0,3.577560425E-2,-1.303788757E-1,-7.039860535E-1
1.572577625E0,3.632945251E-1,-2.558180237E-1,1.193019104E-1
1.582539625E0,4.840933228E-1,-3.430865479E-1,3.246748352E-1
1.592500625E0,3.565585327E-1,-4.414320374E-1,-1.356179810E-1
1.602462625E0,2.827619934E-1,-7.523355103E-1,-8.116122437E-1
1.612425042E0,4.110452271E-1,-1.324146423E0,-1.709445190E0
1.622386042E0,6.414161682E-1,-1.977687378E0,-2.343077545E0
1.632348042E0,7.918533325E-1,-2.738255768E0,-2.539469147E0
1.642309042E0,8.234376526E-1,-3.748804321E0,-2.259551239E0
1.652271042E0,3.135978699E-1,-5.888454895E0,-2.871329041E0
1.662233042E0,-8.309220886E-1,-1.053988220E1,-5.804778900E0
1.672194042E0,-1.204395447E0,-1.664299072E1,-1.105720642E1
1.682156042E0,5.872288513E-1,-2.128528702E1,-7.783663788E0
1.692117042E0,9.795629883E-1,-2.461331635E1,-2.340981903E0
