"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.074999980E-5,-4.294270020E0,-8.868008881E0,-7.872129822E-1
1.005275000E-2,-4.141138458E0,-8.882977753E0,-9.304650879E-1
2.001375000E-2,-4.092339935E0,-8.866961060E0,-9.391470337E-1
2.997575000E-2,-4.136498108E0,-8.842711487E0,-8.138575745E-1
3.993775000E-2,-4.167333984E0,-8.867859192E0,-6.117778015E-1
4.989875000E-2,-4.176015930E0,-8.872948608E0,-4.568499756E-1
5.986075000E-2,-4.140390015E0,-8.845256195E0,-3.788621521E-1
6.982275000E-2,-4.102219391E0,-8.817264404E0,-4.037104797E-1
7.978375000E-2,-4.122127991E0,-8.784632263E0,-5.167254639E-1
8.974575000E-2,-4.136647797E0,-8.740474091E0,-6.429130554E-1
9.970775000E-2,-4.171225891E0,-8.781937866E0,-7.665559387E-1
1.096687500E-1,-4.247417450E0,-8.886121216E0,-8.810678101E-1
1.196307500E-1,-4.322112122E0,-8.938362579E0,-8.948391724E-1
1.295927500E-1,-4.358785858E0,-8.979676666E0,-9.065148926E-1
1.395537500E-1,-4.409081268E0,-8.963210907E0,-8.948391724E-1
1.495157500E-1,-4.413871307E0,-8.861572266E0,-8.466394043E-1
1.594777500E-1,-4.408332825E0,-8.842262421E0,-8.572673035E-1
1.694387500E-1,-4.444557495E0,-8.876840515E0,-8.666976929E-1
1.794007500E-1,-4.470004578E0,-8.801547089E0,-8.783734131E-1
1.893627500E-1,-4.485272827E0,-8.697962494E0,-9.482780457E-1
1.993237500E-1,-4.472698975E0,-8.632698212E0,-9.960287476E-1
2.092857500E-1,-4.521497498E0,-8.729846191E0,-9.160949707E-1
2.192477500E-1,-4.509223022E0,-8.749156036E0,-8.131091309E-1
2.292087500E-1,-4.467609558E0,-8.778644714E0,-7.776329041E-1
2.391707500E-1,-4.438120880E0,-8.756041718E0,-7.988887024E-1
2.491327500E-1,-4.406686249E0,-8.904682617E0,-8.056246948E-1
2.590937500E-1,-4.317172394E0,-8.826994171E0,-8.108638000E-1
2.690557500E-1,-4.079616394E0,-8.788224792E0,-8.544232178E-1
2.790177500E-1,-3.710484009E0,-8.496780853E0,-1.006806335E0
2.889787500E-1,-3.710484009E0,-8.583899689E0,-1.025218048E0
2.989407500E-1,-4.081412659E0,-9.172775116E0,-7.981402588E-1
3.089027500E-1,-4.346212006E0,-9.520801392E0,-6.092330933E-1
3.188637500E-1,-4.280798035E0,-9.402996368E0,-5.207670593E-1
3.288257500E-1,-4.065994720E0,-9.062753906E0,-5.840853882E-1
