"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.057083329E-4,3.152444458E-1,-1.150791916E1,-2.984344025E0
9.756291671E-3,6.002517700E-1,-1.090841583E1,-2.905458069E0
1.971829167E-2,1.935175781E0,-9.031319275E0,-2.874622192E0
2.967929167E-2,3.576063538E0,-6.631360016E0,-2.606529694E0
3.964129167E-2,4.717889099E0,-4.565505981E0,-2.431393890E0
4.960329167E-2,5.193001099E0,-2.969973907E0,-2.447410583E0
5.956529167E-2,4.633913727E0,-1.515298920E0,-2.405348053E0
6.952729167E-2,3.391796722E0,-3.347039795E-1,-1.908082123E0
7.948929167E-2,2.077679443E0,3.269201660E-1,-1.671274567E0
8.945129167E-2,8.652008057E-1,1.528321838E-1,-2.586471405E0
9.941329167E-2,-1.178050232E-1,-1.007854156E0,-3.641028442E0
1.093752917E-1,-1.953437805E-1,-2.585124207E0,-3.990102539E0
1.193372917E-1,4.201762390E-1,-4.229604492E0,-3.869303741E0
1.292992917E-1,1.214424591E0,-5.829028473E0,-4.299209747E0
1.392602917E-1,1.205143890E0,-7.526348877E0,-6.920259247E0
1.492222917E-1,5.562432861E-1,-9.209299164E0,-1.080468155E1
1.591842917E-1,-8.083190918E-3,-9.220376129E0,-9.496851196E0
1.691462917E-1,-1.274749146E0,-7.106771393E0,-5.283712463E0
1.791082917E-1,-2.437531128E0,-4.249662781E0,7.099736023E-1
1.890702917E-1,-1.265618134E0,-2.113604736E0,4.976251831E0
1.990322917E-1,1.340612183E0,-2.242486725E0,5.313350830E0
2.089942917E-1,4.655169525E0,-3.904929657E0,4.274511108E0
2.189562917E-1,8.431516571E0,-5.714815979E0,2.544408875E0
2.289182917E-1,1.103490280E1,-7.899373169E0,-5.029091949E0
2.388792917E-1,1.452279968E1,-1.134326157E1,-2.184512283E1
2.488412917E-1,8.784931641E0,-9.353599091E0,-3.034190369E-1
2.588032917E-1,3.939657440E0,-7.594457245E0,4.367318115E0
2.687650833E-1,2.889740753E0,-9.030720520E0,1.379231873E0
2.787270833E-1,2.411185913E0,-1.198198334E1,1.553170166E0
