"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.361833332E-3,-3.330205083E-1,7.231478691E-1,2.054707557E-1
1.132383334E-2,-2.734868824E-1,8.636690378E-1,1.245189011E-1
2.128583333E-2,-2.281978130E-1,9.048776627E-1,3.769410029E-2
3.124783334E-2,-1.956159025E-1,8.470904827E-1,-4.985865206E-2
4.120983333E-2,-1.655878574E-1,7.094554901E-1,-1.290407479E-1
5.117183334E-2,-1.283957511E-1,5.575429201E-1,-2.071720362E-1
6.113383333E-2,-7.248253375E-2,4.157599509E-1,-2.880683541E-1
7.109583334E-2,3.840203630E-3,2.370474488E-1,-3.735736609E-1
8.105683333E-2,9.265238047E-2,9.294850752E-4,-4.428621531E-1
9.101883334E-2,1.748947948E-1,-2.161245346E-1,-4.973112941E-1
1.009808333E-1,2.269397825E-1,-3.275495470E-1,-5.505918264E-1
1.109428333E-1,2.724873126E-1,-3.644351065E-1,-5.815804005E-1
1.209048333E-1,3.356486559E-1,-3.356734812E-1,-5.963454843E-1
1.308668333E-1,4.126691520E-1,-1.870155782E-1,-5.888856649E-1
1.408288333E-1,4.665590823E-1,3.373808786E-2,-5.664723516E-1
1.507908333E-1,4.680549502E-1,2.837045193E-1,-5.153591037E-1
1.607518333E-1,4.155546427E-1,4.948614836E-1,-4.193036556E-1
1.707138333E-1,3.259131908E-1,6.087552309E-1,-3.071880341E-1
1.806758333E-1,2.541012764E-1,6.601758003E-1,-1.875912398E-1
1.906378333E-1,3.371250629E-1,6.182922125E-1,-1.862991229E-2
2.005998333E-1,6.604677439E-1,5.004240870E-1,1.732820123E-1
2.105618333E-1,1.123504639E0,3.145756423E-1,2.883521318E-1
2.205238333E-1,1.654019952E0,6.037956476E-2,3.030407727E-1
2.304858333E-1,2.274790287E0,-2.223727703E-1,2.590261698E-1
2.404468333E-1,2.847834110E0,-5.834692717E-1,2.051161975E-1
2.504088333E-1,3.148726463E0,-1.032237530E0,1.668034196E-1
2.603708333E-1,2.898725271E0,-1.549272299E0,1.873698682E-1
2.703328333E-1,1.988155007E0,-2.100261688E0,2.256032676E-1
2.802948333E-1,1.132041931E0,-2.465624809E0,2.440190613E-1
2.902568333E-1,7.336626053E-1,-2.435368061E0,2.067340016E-1
3.002188333E-1,7.348926067E-1,-1.889817715E0,1.622368544E-1
3.101808333E-1,8.017544746E-1,-8.725141883E-1,9.413982928E-2
3.201418333E-1,9.645338058E-1,6.681622863E-1,-7.297334820E-2
3.301038333E-1,1.260488868E0,1.553866148E0,-3.923231065E-1
3.400658333E-1,1.551768303E0,1.303619862E0,-8.770307302E-1
3.500278333E-1,1.792420864E0,4.388335943E-1,-1.351181030E0
3.599898333E-1,1.903907180E0,-3.051374257E-1,-1.567353606E0
3.699518333E-1,1.735614061E0,-5.624408126E-1,-1.126235366E0
3.799138333E-1,1.230106354E0,-3.342055380E-1,-1.661404520E-1
3.898758333E-1,8.949065208E-1,1.968551278E-1,2.265362591E-1
3.998368333E-1,1.003886223E0,7.458693385E-1,1.661562622E-1
4.097988333E-1,1.310489297E0,1.288285732E0,3.266983479E-2
4.197608333E-1,1.643569350E0,1.829498649E0,1.711335033E-2
4.297228333E-1,1.736836433E0,2.260306120E0,8.902855217E-2
4.396848333E-1,8.820770383E-1,1.173780322E0,8.528588712E-2
4.496468333E-1,6.922780871E-1,6.497662663E-1,-4.554961994E-2
4.596088333E-1,8.625797033E-1,7.981549501E-1,6.344429404E-2
4.695708333E-1,9.884303212E-1,8.208237886E-1,2.166554183E-1
4.795318333E-1,1.043399215E0,6.194518209E-1,3.156995177E-1
4.894938333E-1,1.036128521E0,3.270197511E-1,3.684924245E-1
4.994558333E-1,9.946056008E-1,6.467107218E-3,4.280583262E-1
5.094161250E-1,9.511340261E-1,-2.887746692E-1,4.431355298E-1
5.193781250E-1,9.385481477E-1,-4.270333350E-1,4.341112077E-1
5.293401250E-1,9.884848595E-1,-4.448831975E-1,4.388652146E-1
5.393021250E-1,1.106729388E0,-4.370504320E-1,4.396481812E-1
5.492641250E-1,1.248611689E0,-4.757504165E-1,3.913839757E-1
5.592251250E-1,1.436468482E0,-6.788492203E-1,3.156649768E-1
5.691871250E-1,1.494879246E0,-8.466100097E-1,2.131013274E-1
5.791491250E-1,1.310265183E0,-8.785857558E-1,8.292494714E-2
5.891111250E-1,1.046233535E0,-8.672316670E-1,-3.552792966E-2
5.990731250E-1,8.719056249E-1,-7.868967652E-1,-1.059075072E-1
6.090351250E-1,8.261759281E-1,-5.921211839E-1,-1.395578831E-1
6.189971250E-1,8.631892204E-1,-3.187246323E-1,-1.511755437E-1
6.289591250E-1,9.295583963E-1,-9.275425225E-3,-1.281109750E-1
6.389211250E-1,9.579100609E-1,2.745927274E-1,-8.693157881E-2
6.488821250E-1,8.893499374E-1,4.432973266E-1,-6.163953617E-2
6.588441250E-1,7.011118531E-1,3.933231235E-1,-4.043705016E-2
6.688061250E-1,5.240148306E-1,1.861973107E-1,3.473912552E-2
6.787681250E-1,4.370337427E-1,-9.729243070E-2,1.426539868E-1
6.887301250E-1,4.255281091E-1,-4.236497581E-1,2.396798581E-1
6.986921250E-1,4.257412851E-1,-7.246968150E-1,3.030054271E-1
7.086541250E-1,3.846857250E-1,-9.522886872E-1,3.738819957E-1
7.186161250E-1,2.906217873E-1,-1.012095094E0,4.713166058E-1
7.285771250E-1,1.810002327E-1,-8.671839833E-1,5.532271862E-1
7.385391250E-1,9.067244083E-2,-5.832111835E-1,5.527746081E-1
7.485011250E-1,7.414033171E-3,-1.866675466E-1,4.524102211E-1
7.584631250E-1,-7.236904651E-2,2.765671313E-1,3.152656257E-1
7.684251250E-1,-1.881076247E-1,5.725849271E-1,2.611882687E-1
