"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.128166667E-3,1.534758453E0,-6.894363098E0,-4.262086945E0
8.833833337E-3,1.787582703E0,-6.758146362E0,-4.416865082E0
1.879583333E-2,2.037562866E0,-6.618935852E0,-4.784051514E0
2.875783334E-2,2.195035400E0,-6.502927094E0,-5.307662659E0
3.871983333E-2,2.314636688E0,-6.354136505E0,-5.872438202E0
4.868183334E-2,2.376757507E0,-6.219117279E0,-6.386169891E0
5.864383333E-2,2.326162720E0,-6.138884125E0,-6.819219360E0
6.860583334E-2,2.096689911E0,-6.145320740E0,-7.184160461E0
7.856683333E-2,1.730251923E0,-6.115083618E0,-7.417824554E0
8.852883334E-2,1.363514557E0,-6.054160309E0,-7.453899536E0
9.849083333E-2,1.303040314E0,-6.104455719E0,-7.638765106E0
1.084528333E-1,1.547182617E0,-6.554719391E0,-8.094417572E0
1.184148333E-1,1.873653717E0,-7.270081787E0,-8.272996216E0
1.283768333E-1,2.324815521E0,-7.882608032E0,-7.864645386E0
1.383388333E-1,2.746189270E0,-8.292904816E0,-7.089856567E0
1.483008333E-1,3.182232513E0,-8.410859528E0,-6.396797791E0
1.582618333E-1,3.560196533E0,-8.238118744E0,-5.951922913E0
1.682238333E-1,3.784280548E0,-7.906707916E0,-5.993985443E0
1.781858333E-1,3.502117310E0,-7.482789459E0,-6.367907867E0
1.881478333E-1,2.350711670E0,-7.394323425E0,-6.715634766E0
1.981098333E-1,5.191204834E-1,-8.118218079E0,-6.617438965E0
2.080718333E-1,-5.872288513E-1,-9.264085236E0,-6.229445801E0
2.180338333E-1,-3.168910217E-1,-1.039737854E1,-6.116580505E0
2.279958333E-1,5.116360474E-1,-1.147633484E1,-5.450914764E0
2.379568333E-1,1.444945221E0,-1.229423401E1,-4.071533203E0
2.479188333E-1,2.312391357E0,-1.276635223E1,-3.120560760E0
2.578808333E-1,2.988086243E0,-1.299552567E1,-3.310665436E0
2.678428333E-1,3.853436737E0,-1.279209869E1,-5.742807770E0
2.778048333E-1,4.731959839E0,-1.136571487E1,-6.837182007E0
2.877668333E-1,5.331463165E0,-8.559949493E0,-2.415377197E0
2.977288333E-1,5.723048859E0,-5.974675598E0,1.732946320E0
3.076908333E-1,5.708678741E0,-4.561314697E0,2.721640320E0
3.176518333E-1,6.532565460E0,-3.864663391E0,5.891748047E-1
3.276138333E-1,7.499255219E0,-3.644171906E0,-5.403762817E-2
3.375758333E-1,7.319029999E0,-4.333338776E0,6.824308777E-1
3.475378333E-1,6.616091766E0,-6.041137390E0,1.303489380E0
3.574998333E-1,5.962401123E0,-8.047714691E0,2.127675476E0
3.674618333E-1,5.019960938E0,-1.089254883E1,2.523901520E0
3.774238333E-1,2.850372620E0,-1.483100876E1,2.344574432E0
3.873858333E-1,2.008074188E0,-1.526256134E1,2.618355103E0
3.973468333E-1,2.790646820E0,-1.301348831E1,4.116888885E0
4.073088333E-1,2.272424469E0,-1.070498886E1,4.599485321E0
4.172708333E-1,1.191522217E0,-9.206754456E0,4.053121490E0
4.272328333E-1,2.465373230E-1,-8.010442200E0,3.224295044E0
4.371948333E-1,-9.243278503E-1,-6.423292694E0,-5.456153870E0
4.471568333E-1,-4.035607910E-1,-5.921236725E0,-1.086530548E1
4.571188333E-1,8.830137634E-1,-7.922425232E0,-2.189347229E0
4.670808333E-1,1.273851013E0,-9.213939514E0,-6.101312256E-1
4.770418333E-1,2.495760040E0,-9.591753845E0,-7.731422424E-1
4.870038333E-1,3.112926636E0,-9.801018677E0,-5.719606018E-1
4.969658333E-1,3.140469360E0,-9.590706024E0,-6.622229004E-1
5.069261250E-1,2.982098694E0,-8.903634796E0,-7.815248108E-1
5.168881250E-1,2.855012970E0,-8.567284241E0,-8.559201050E-1
5.268501250E-1,2.440824280E0,-8.474327545E0,-5.092410278E-1
5.368121250E-1,1.867965546E0,-8.822054443E0,1.360670471E-1
5.467741250E-1,1.672322388E0,-8.980125732E0,6.168672180E-1
5.567351250E-1,1.540746002E0,-8.856931915E0,9.924362183E-1
5.666971250E-1,1.400637360E0,-8.847800903E0,1.050515442E0
5.766591250E-1,1.622476044E0,-9.063053284E0,-4.867877197E-1
5.866211250E-1,1.866019592E0,-9.289981384E0,-1.891915741E0
5.965831250E-1,1.987566833E0,-9.520352325E0,-2.040406952E0
6.065451250E-1,2.070793762E0,-9.894125061E0,-1.641486511E0
6.165071250E-1,2.235900421E0,-1.015413437E1,-1.376687164E0
6.264691250E-1,2.422113190E0,-1.017509079E1,-1.412163391E0
6.364311250E-1,2.524500275E0,-1.018467087E1,-1.899100800E0
6.463921250E-1,2.733016663E0,-1.026116180E1,-2.917582855E0
6.563541250E-1,3.033142548E0,-1.040501266E1,-4.211192780E0
6.663161250E-1,2.947969666E0,-1.078417419E1,-4.606221313E0
6.762781250E-1,2.271226959E0,-1.144909149E1,-3.209625549E0
6.862401250E-1,1.516945496E0,-1.202045334E1,-1.391656036E0
6.962021250E-1,8.325686646E-1,-1.226788879E1,6.631210327E-2
7.061641250E-1,2.356100464E-1,-1.209469894E1,8.452922058E-1
7.161261250E-1,-4.775070190E-1,-1.170520889E1,1.065783691E0
7.260871250E-1,-1.104253693E0,-1.124147324E1,8.544232178E-1
7.360491250E-1,-1.421444092E0,-1.065184937E1,2.409988403E-1
7.460111250E-1,-1.331780548E0,-1.063253952E1,-5.562432861E-1
7.559731250E-1,-9.409432983E-1,-1.179517181E1,-1.051712952E0
7.659351250E-1,-5.025050354E-1,-1.327544357E1,-1.130299530E0
7.758971250E-1,-6.271957397E-2,-1.362182327E1,-1.670376434E0
7.858591250E-1,4.834945679E-1,-1.251427643E1,-3.182531891E0
7.958211250E-1,9.416917419E-1,-1.134445908E1,-3.598217468E0
8.057821250E-1,1.247056732E0,-1.068433182E1,-2.992576904E0
8.157441250E-1,1.730102234E0,-9.936187592E0,-3.531156921E0
8.257061250E-1,2.258802795E0,-9.201665039E0,-5.397176514E0
8.356681250E-1,2.633623352E0,-9.029073944E0,-6.600374451E0
8.456301250E-1,2.290237427E0,-1.009979736E1,-4.454736328E0
8.555921250E-1,1.590442657E0,-1.162362854E1,4.866380310E-1
8.655541250E-1,1.895208893E0,-1.274300079E1,5.088518372E0
8.755161250E-1,2.640059967E0,-1.376402756E1,5.906866608E0
8.854771250E-1,4.259392548E0,-1.464344879E1,5.094056854E0
8.954391250E-1,5.008135529E0,-1.499536697E1,2.774330750E0
9.054011250E-1,4.784201202E0,-1.509820313E1,-4.084855499E0
9.153631250E-1,5.324727173E0,-1.480930389E1,-8.865164795E0
9.253251250E-1,6.405180359E0,-1.311467789E1,-4.171225891E0
9.352871250E-1,6.696773987E0,-1.150582352E1,-9.786648560E-1
