"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.197208334E-3,2.788551178E0,-9.393865356E0,-1.941462708E0
7.764791670E-3,2.595602417E0,-9.228758698E0,-2.097588043E0
1.772579167E-2,2.182611237E0,-8.984167328E0,-2.266736298E0
2.768779167E-2,1.478924561E0,-8.974886627E0,-2.515369263E0
3.764979167E-2,6.496490479E-1,-9.104966125E0,-2.796933746E0
4.761179167E-2,-1.962419128E-1,-9.451645203E0,-3.305276642E0
5.757279167E-2,-1.023571472E0,-9.874665527E0,-4.086951141E0
6.753479167E-2,-1.567240906E0,-9.998607788E0,-4.867877197E0
7.749679167E-2,-1.827250214E0,-9.801617432E0,-5.510790253E0
8.745879167E-2,-1.691931610E0,-9.257798309E0,-5.658533020E0
9.741979167E-2,-1.082399139E0,-8.501271515E0,-5.283562775E0
1.073817917E-1,-1.508862305E-1,-7.954308929E0,-4.604275360E0
1.173437917E-1,8.340655518E-1,-7.863747253E0,-3.577859802E0
1.273057917E-1,1.620380402E0,-8.165220337E0,-2.310894470E0
1.372667917E-1,2.096689911E0,-8.433761902E0,-1.274150391E0
1.472287917E-1,2.345023499E0,-8.526119843E0,-1.002016296E0
1.571907917E-1,2.346071320E0,-8.536598053E0,-1.444496155E0
1.671527917E-1,2.279010773E0,-8.378377075E0,-2.101180573E0
1.771137917E-1,2.603835297E0,-8.162675629E0,-2.356399841E0
1.870757917E-1,3.151696014E0,-7.976911926E0,-2.015858002E0
1.970377917E-1,3.640279999E0,-8.275690613E0,-1.117875366E0
2.069997917E-1,2.955753479E0,-9.359886017E0,-1.083746338E-1
2.169607917E-1,-4.331991577E-1,-1.042701691E1,1.732197876E0
2.269227917E-1,3.828738098E0,-1.031055908E1,-1.740879822E-1
2.368847917E-1,1.413510590E0,-9.979896698E0,-3.255130920E0
2.468467917E-1,9.641450500E-1,-1.035187317E1,-1.877994690E0
2.568077917E-1,3.707490234E0,-1.161030624E1,-3.793112183E-1
2.667697917E-1,4.585713959E0,-1.220576797E1,-2.510279846E-1
2.767317917E-1,4.738097076E0,-1.188393723E1,5.993536377E-1
2.866937917E-1,5.053341522E0,-1.011087433E1,3.177891541E-1
2.966547917E-1,5.761668549E0,-8.056995392E0,-5.942642212E-1
3.066167917E-1,5.330415344E0,-7.409441986E0,-2.320474548E0
3.165787917E-1,4.228856049E0,-7.882158966E0,-3.897594910E0
3.265407917E-1,3.292253723E0,-8.678652649E0,-4.778513031E0
3.365017917E-1,2.978057098E0,-9.436826019E0,-5.228177948E0
3.464637917E-1,2.986439667E0,-1.025906616E1,-5.124743042E0
3.564257917E-1,1.528770905E0,-1.077249847E1,-3.906725922E0
3.663877917E-1,2.457888794E-1,-1.091844498E1,-2.314487000E0
3.763487917E-1,1.621128845E-1,-1.074809921E1,-1.111289062E0
3.863107917E-1,1.782792664E-1,-1.040486298E1,-3.767665100E-1
3.962727917E-1,1.077758789E-1,-1.008228378E1,6.137237549E-3
4.062347917E-1,7.304809570E-2,-9.873168640E0,2.439926147E-1
4.161957917E-1,-1.152603149E-2,-9.640103302E0,5.411247253E-1
4.261577917E-1,-2.305206299E-2,-9.411378937E0,8.135581970E-1
4.361197917E-1,1.405577087E-1,-9.364226990E0,1.086590424E0
4.460810833E-1,5.080435181E-1,-9.465416565E0,1.216520233E0
4.560430833E-1,1.026116180E0,-9.607920227E0,1.194665680E0
4.660040833E-1,1.486708374E0,-9.736203461E0,1.050216064E0
4.759660833E-1,1.764231262E0,-9.772877197E0,9.589059448E-1
4.859280833E-1,1.891316986E0,-9.669142914E0,1.036145325E0
4.958900833E-1,1.836231537E0,-9.499545593E0,1.175804901E0
5.058510833E-1,1.734592896E0,-9.295070801E0,1.175804901E0
5.158130833E-1,1.679956512E0,-9.167086945E0,9.467811584E-1
5.257750833E-1,1.739233246E0,-9.072333984E0,6.412664795E-1
5.357370833E-1,1.943708038E0,-8.941206665E0,3.691323853E-1
5.456980833E-1,2.102228394E0,-8.833730164E0,1.875599670E-1
5.556600833E-1,2.227068787E0,-8.717422028E0,1.077758789E-2
5.656220833E-1,2.334994354E0,-8.596174164E0,-3.914360046E-1
5.755840833E-1,2.429597626E0,-8.505612488E0,-1.072669373E0
5.855450833E-1,2.462529144E0,-8.340056763E0,-1.621877289E0
5.955070833E-1,2.509082336E0,-8.177345123E0,-1.922452240E0
6.054690833E-1,2.635269928E0,-8.008795624E0,-1.827699280E0
6.154310833E-1,2.522853699E0,-7.880662079E0,-1.537901917E0
6.253920833E-1,2.233355713E0,-7.906258850E0,-1.299896851E0
6.353540833E-1,1.971550140E0,-8.158933411E0,-1.475182343E0
6.453160833E-1,1.938169556E0,-8.236472168E0,-1.721420288E0
6.552780833E-1,1.906435547E0,-8.186176758E0,-2.002984772E0
6.652390833E-1,1.822909241E0,-8.043074341E0,-2.265838165E0
6.752010833E-1,1.679058380E0,-8.020920410E0,-2.214494934E0
6.851630833E-1,1.288819885E0,-7.998467102E0,-1.979333954E0
6.951250833E-1,1.117426300E0,-7.839946747E0,-2.819686432E0
7.050860833E-1,8.087681580E-1,-8.020770721E0,-4.053570557E0
7.150480833E-1,5.837860107E-1,-8.332272949E0,-4.704866180E0
7.250100833E-1,5.692662048E-1,-8.403524780E0,-4.262835388E0
7.349720833E-1,7.108717346E-1,-8.390352173E0,-3.573518829E0
7.449340833E-1,1.124611359E0,-8.335117035E0,-3.542233887E0
7.548950833E-1,1.572929077E0,-8.132887573E0,-4.135599976E0
7.648570833E-1,2.328258362E0,-7.745792542E0,-4.873715057E0
7.748190833E-1,2.337688751E0,-7.376211090E0,-5.269192657E0
7.847810833E-1,2.209555206E0,-7.357200623E0,-4.953499146E0
7.947420833E-1,2.362836456E0,-7.375462646E0,-4.753515015E0
8.047040833E-1,2.458637238E0,-7.326364746E0,-4.694837036E0
8.146660833E-1,2.758314056E0,-7.029382324E0,-4.522844696E0
8.246280833E-1,3.008743286E0,-6.642287292E0,-4.014801178E0
8.345890833E-1,3.172951813E0,-6.466103668E0,-4.275259552E0
8.445510833E-1,3.660338287E0,-5.999823303E0,-5.748346252E0
8.545130833E-1,3.828887787E0,-5.636229401E0,-7.031028900E0
8.644750833E-1,3.703149261E0,-5.298980713E0,-6.824907532E0
8.744360833E-1,3.339255981E0,-4.927303619E0,-6.367907867E0
8.843980833E-1,2.576591949E0,-4.948110352E0,-7.508386230E0
8.943600833E-1,1.532812500E0,-5.248236237E0,-8.105943604E0
9.043220833E-1,6.685098267E-1,-5.335654449E0,-7.533084869E0
9.142830833E-1,5.060975647E-1,-5.153483276E0,-6.320755920E0
9.242450833E-1,8.369096375E-1,-4.752616882E0,-5.796096954E0
9.342070833E-1,1.549128571E0,-4.210444336E0,-5.987848206E0
9.441690833E-1,2.168241119E0,-3.894301758E0,-6.640041962E0
9.541310833E-1,2.498155060E0,-3.956721954E0,-7.256310425E0
9.640920833E-1,2.361040192E0,-4.350552979E0,-7.458539886E0
9.740540833E-1,2.082020416E0,-4.590503998E0,-7.536976776E0
9.840160833E-1,2.270179138E0,-4.467160492E0,-8.286468201E0
9.939780833E-1,2.566113739E0,-4.067192230E0,-8.935069427E0
1.003939083E0,2.263592834E0,-3.600013733E0,-8.772507477E0
1.013901083E0,1.578467560E0,-3.126398621E0,-8.747808838E0
1.023863083E0,1.056802368E0,-2.702031097E0,-8.669222260E0
1.033825083E0,6.370751953E-1,-2.501897278E0,-8.344846802E0
1.043786083E0,7.065307617E-1,-2.319127350E0,-8.215216370E0
1.053748083E0,9.123527527E-1,-2.270628204E0,-8.649912415E0
1.063710083E0,1.452878723E0,-2.326911163E0,-9.042396240E0
1.073672083E0,1.748963013E0,-2.382595367E0,-9.026678925E0
1.083633083E0,2.098186798E0,-2.205214233E0,-9.487121429E0
1.093595083E0,2.589614868E0,-1.860331421E0,-9.725575562E0
1.103557083E0,2.660866699E0,-1.453178101E0,-9.801318054E0
1.113519083E0,2.368674316E0,-1.096020813E0,-9.398356018E0
1.123481083E0,1.948947144E0,-5.956114197E-1,-9.271270294E0
1.133442083E0,1.918410645E0,-9.011260986E-2,-8.551566925E0
1.143404083E0,2.271226959E0,3.492237854E-1,-8.593928833E0
1.153366083E0,2.775977325E0,3.396437073E-1,-9.140142975E0
1.163328083E0,2.930605774E0,-1.034349060E-1,-9.563612366E0
1.173289083E0,3.595074005E0,-4.082011414E-1,-1.077100159E1
1.183251083E0,4.179009705E0,3.721261597E-1,-9.298513641E0
1.193213083E0,3.953129425E0,1.150058441E0,-1.032627640E1
