"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.038666663E-3,-8.834039792E-3,5.465838909E-1,-7.818587124E-2
1.700066667E-2,2.128803171E-2,5.605284572E-1,-7.670746744E-2
2.696266666E-2,4.410839081E-2,4.706526101E-1,-5.201117694E-2
3.692566667E-2,6.344690174E-2,2.944104970E-1,-3.201818466E-2
4.688766666E-2,8.068954200E-2,7.533168793E-2,-2.007683739E-2
5.684966667E-2,8.131662756E-2,-1.201519072E-1,-8.175873198E-3
6.681266666E-2,7.618844509E-2,-2.518364191E-1,1.548471488E-2
7.677466666E-2,8.615615219E-2,-3.108777404E-1,2.435342595E-2
8.673666666E-2,1.105552316E-1,-3.249988854E-1,2.429164015E-2
9.669866666E-2,1.288328916E-1,-3.114339113E-1,1.912009157E-2
1.066616667E-1,1.294914931E-1,-2.901810706E-1,1.847613789E-2
1.166236667E-1,1.137343049E-1,-2.751058638E-1,2.262932621E-2
1.265856667E-1,8.888728172E-2,-2.527648807E-1,2.492284216E-2
1.365486667E-1,6.653971225E-2,-2.300774604E-1,2.691690065E-2
1.465106667E-1,5.567508563E-2,-2.084640414E-1,3.336095065E-2
1.564726667E-1,5.105695873E-2,-1.618728787E-1,4.281602427E-2
1.664356667E-1,4.755250737E-2,-9.466960281E-2,4.508690163E-2
1.763976667E-1,4.931605607E-2,-2.875708416E-2,3.924529999E-2
1.863596667E-1,6.298685819E-2,2.571760863E-2,3.555655479E-2
1.963216667E-1,8.886662871E-2,7.708574831E-2,2.697249316E-2
2.062846667E-1,1.214139238E-1,1.457849145E-1,5.692239851E-3
2.162466667E-1,1.432740241E-1,2.236609310E-1,-1.770053059E-2
2.262086667E-1,1.603411585E-1,2.787747681E-1,-3.555063531E-2
2.361716667E-1,1.877119243E-1,2.635864317E-1,-5.419085547E-2
2.461336667E-1,2.157574147E-1,1.807738394E-1,-6.274439394E-2
2.560956667E-1,2.199657112E-1,9.195290506E-2,-5.356357247E-2
2.660586667E-1,1.902464330E-1,4.563521221E-2,-4.196098074E-2
2.760206667E-1,1.151875034E-1,5.861722305E-2,-3.227778897E-2
2.859826667E-1,-2.519224212E-2,1.202643439E-1,-2.230691351E-2
2.959446667E-1,-2.195914537E-1,1.868317723E-1,-1.591615938E-2
3.059076667E-1,-4.199381471E-1,2.101282924E-1,-2.985514514E-2
3.158696667E-1,-5.382876992E-1,1.623606980E-1,-5.017360300E-2
3.258316667E-1,-4.641559720E-1,1.062150858E-2,-6.913345307E-2
3.357946667E-1,-2.204398513E-1,-2.415424436E-1,-6.791052222E-2
3.457566667E-1,6.705716997E-2,-4.287941158E-1,-1.850302517E-2
3.557186667E-1,2.888943255E-1,-5.172779560E-1,2.650780603E-2
3.656806667E-1,4.258503020E-1,-5.615577698E-1,1.109023299E-2
3.756436667E-1,4.700661600E-1,-5.366196632E-1,-6.003272906E-2
3.856056667E-1,4.200216532E-1,-4.501172304E-1,-1.489918977E-1
3.955676667E-1,3.044802248E-1,-3.015398979E-1,-2.331089973E-1
4.055306667E-1,1.555884928E-1,-6.360431015E-2,-2.779406309E-1
4.154926667E-1,-1.943407115E-3,2.713272870E-1,-2.654510140E-1
4.254546667E-1,-1.187690943E-1,6.132872701E-1,-2.305651754E-1
4.354176667E-1,-1.321638674E-1,7.496316433E-1,-2.073250413E-1
4.453796667E-1,-1.002498865E-1,7.689006925E-1,-1.421372592E-1
4.553416667E-1,-1.047909632E-1,9.734227061E-1,-7.352685183E-2
