"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-3.424999959E-4,-1.338911802E-2,4.125895724E-2,1.815170236E-2
9.619500001E-3,-2.906922251E-2,4.759359360E-2,1.713068224E-2
1.958150000E-2,-2.063419297E-2,6.073255837E-2,1.904948987E-2
2.954250000E-2,-6.860131398E-4,7.927045971E-2,1.817512326E-2
3.950450000E-2,2.919784933E-2,8.977849036E-2,1.844463497E-2
4.946650000E-2,5.819208920E-2,9.236286581E-2,1.963172108E-2
5.942750000E-2,7.235424221E-2,8.267055452E-2,2.215240151E-2
6.938950000E-2,7.483324409E-2,4.184745252E-2,2.414939366E-2
7.935150000E-2,7.103184611E-2,-2.639205381E-2,2.166945674E-2
8.931250000E-2,6.329610944E-2,-8.667168766E-2,2.224866115E-2
9.927450000E-2,5.265118927E-2,-1.291949153E-1,2.275652625E-2
1.092357917E-1,4.336856678E-2,-1.586692333E-1,2.507985383E-2
1.191967917E-1,4.022363946E-2,-1.656208932E-1,2.644419111E-2
1.291587917E-1,4.533897713E-2,-1.493481547E-1,2.647780254E-2
1.391207917E-1,6.024761871E-2,-1.157526374E-1,2.369293384E-2
1.490817917E-1,7.360963523E-2,-6.892664731E-2,1.873685606E-2
1.590437917E-1,8.421034366E-2,-1.004735474E-2,2.128496766E-2
1.690057917E-1,8.794278651E-2,5.584033579E-2,1.844643801E-2
1.789677917E-1,8.550813049E-2,1.235743761E-1,1.602109708E-2
1.889287917E-1,7.943069935E-2,1.819674373E-1,1.678410731E-2
1.988907917E-1,7.044865936E-2,2.216333598E-1,1.872927882E-2
2.088527917E-1,5.658189580E-2,2.356346995E-1,1.580942422E-2
2.188137917E-1,4.516465962E-2,2.209391147E-1,1.511407364E-2
2.287757917E-1,3.240551054E-2,2.011516094E-1,1.224295422E-2
2.387377917E-1,2.153022587E-2,1.908443719E-1,1.038140431E-2
2.486987917E-1,1.993675344E-2,1.778216362E-1,1.172400918E-2
2.586607917E-1,2.933345176E-2,1.388342828E-1,1.740186848E-2
2.686227917E-1,3.773987293E-2,9.583960474E-2,1.821912453E-2
2.785837917E-1,3.161087632E-2,7.989845425E-2,1.941221952E-2
2.885457917E-1,1.063526608E-2,7.746270299E-2,1.904483512E-2
2.985077917E-1,-6.947455462E-3,5.780564249E-2,2.201000229E-2
3.084687917E-1,-1.246859785E-2,2.587562427E-3,2.743888088E-2
3.184307917E-1,-1.253171545E-2,-6.898781657E-2,3.089939244E-2
3.283927917E-1,-2.201393805E-2,-1.210184321E-1,3.801434487E-2
3.383547917E-1,-5.077421293E-2,-1.165962517E-1,3.963780776E-2
3.483157917E-1,-9.234256297E-2,-6.502249837E-2,4.081024230E-2
3.582777917E-1,-1.294907331E-1,-2.012239955E-2,5.396173149E-2
3.682397917E-1,-1.616819948E-1,2.303535491E-2,7.107561082E-2
3.782007917E-1,-2.055762112E-1,8.876163512E-2,7.860089839E-2
3.881627917E-1,-2.788333595E-1,1.906101853E-1,8.572210371E-2
3.981247917E-1,-3.817485571E-1,3.365258276E-1,9.603333473E-2
4.080857917E-1,-5.141755342E-1,5.238468647E-1,1.134856865E-1
4.180477917E-1,-6.757521629E-1,7.208544612E-1,1.342332959E-1
4.280097917E-1,-8.459239602E-1,8.463353515E-1,1.542522460E-1
4.379707917E-1,-1.005799174E0,8.318285942E-1,1.855521202E-1
4.479327917E-1,-1.134040594E0,6.670958996E-1,2.187972963E-1
4.578947917E-1,-1.181748509E0,3.698186874E-1,2.281015813E-1
4.678557917E-1,-1.166567922E0,3.719753399E-2,2.166309357E-1
4.778177917E-1,-1.168377995E0,-2.277180254E-1,1.967757344E-1
4.877797917E-1,-1.249196291E0,-3.147773147E-1,1.629020125E-1
4.977417917E-1,-1.415593505E0,-1.859197319E-1,1.301664412E-1
5.077027917E-1,-1.612956285E0,2.811150253E-2,8.138111979E-2
5.176647917E-1,-1.759355545E0,1.147681028E-1,2.031509951E-2
5.276267917E-1,-1.826612830E0,-1.529775560E-2,-4.031780735E-2
5.375877917E-1,-1.869657993E0,-2.638348639E-1,-9.914304316E-2
5.475497917E-1,-1.966104031E0,-5.010345578E-1,-1.534458846E-1
5.575117917E-1,-2.133306980E0,-6.690326333E-1,-1.884558052E-1
5.674727917E-1,-2.267469645E0,-8.788645267E-1,-2.269924581E-1
5.774347917E-1,-2.305025339E0,-1.144360423E0,-2.659662068E-1
5.873967917E-1,-2.229344130E0,-1.360357285E0,-2.634017169E-1
5.973577917E-1,-2.087730646E0,-1.279916525E0,-1.487283856E-1
6.073197917E-1,-1.921662927E0,-8.065615892E-1,3.893357143E-2
6.172817917E-1,-1.722282410E0,-1.731273830E-1,1.883004308E-1
6.272427917E-1,-1.544482231E0,2.666353881E-1,2.908811271E-1
6.372047917E-1,-1.377829790E0,4.137688875E-1,3.261837065E-1
6.471667917E-1,-1.209299922E0,4.090422392E-1,2.849551439E-1
6.571287917E-1,-1.030689716E0,2.796512246E-1,1.860666573E-1
