"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.678333334E-3,2.224673767E0,-9.560618591E0,2.408491516E-1
8.283666662E-3,2.170636139E0,-9.695488129E0,1.185534668E-1
1.824566667E-2,2.156715088E0,-9.701625366E0,-1.261875916E-1
2.820866666E-2,2.082469482E0,-9.685758362E0,-4.388873291E-1
3.817066667E-2,2.139051819E0,-9.625134430E0,-6.926097107E-1
4.813266666E-2,2.173180847E0,-9.534572754E0,-8.235873413E-1
5.809466667E-2,2.196681976E0,-9.578581238E0,-9.732760620E-1
6.805766666E-2,2.202968903E0,-9.684560852E0,-1.054107971E0
7.801966667E-2,2.236499176E0,-9.673633575E0,-9.710307312E-1
8.798166666E-2,2.235750732E0,-9.514514465E0,-7.924520874E-1
9.794466666E-2,2.234104156E0,-9.387877808E0,-6.225553894E-1
1.079066667E-1,2.163451080E0,-9.420809326E0,-5.230123901E-1
1.178686667E-1,2.068398743E0,-9.486672363E0,-3.700305176E-1
1.278316667E-1,1.974843292E0,-9.557026062E0,-1.857637024E-1
1.377936667E-1,1.940115509E0,-9.615704041E0,1.945953369E-2
1.477556667E-1,1.898651733E0,-9.616003418E0,2.540217590E-1
1.577176667E-1,1.889969788E0,-9.578132172E0,4.203259277E-1
1.676806667E-1,1.921254730E0,-9.492061157E0,4.270619202E-1
1.776426667E-1,2.052232361E0,-9.427245941E0,3.827540588E-1
1.876046667E-1,2.208058319E0,-9.470655670E0,3.962260437E-1
1.975676667E-1,2.440524902E0,-9.527687073E0,3.486250305E-1
2.075296667E-1,2.711760864E0,-9.441166992E0,2.125579834E-1
2.174916667E-1,2.919977875E0,-9.318871307E0,-2.395019531E-2
2.274536667E-1,2.990780640E0,-9.136849823E0,-2.517764282E-1
2.374166667E-1,2.963088226E0,-8.929680634E0,-2.646496582E-1
2.473786667E-1,2.877765656E0,-8.825048218E0,-1.592687988E-1
2.573406667E-1,2.647544403E0,-8.842112732E0,-2.014810181E-1
2.673036667E-1,2.405348053E0,-8.934320984E0,-4.221221924E-1
2.772656667E-1,2.200424194E0,-9.095984802E0,-7.864645386E-1
2.872276667E-1,2.033820648E0,-9.376501465E0,-1.440604248E0
2.971906667E-1,1.939367065E0,-9.841883698E0,-2.275268555E0
3.071526667E-1,1.950444031E0,-1.017060013E1,-2.902464294E0
3.171146667E-1,1.919159088E0,-1.018706589E1,-2.964435425E0
3.270766667E-1,1.826801147E0,-9.928403778E0,-2.053280182E0
3.370396667E-1,1.737287292E0,-9.536369019E0,-6.448590088E-1
3.470016667E-1,1.443897400E0,-9.316176910E0,3.971241760E-1
3.569636667E-1,1.301992493E0,-9.001830597E0,8.840615845E-1
3.669266667E-1,1.514700165E0,-8.549770660E0,1.203197937E0
3.768886667E-1,1.644929352E0,-8.513246613E0,1.334025879E0
3.868506667E-1,1.741777954E0,-8.977131958E0,1.389859772E0
3.968136667E-1,1.843416595E0,-9.942624207E0,1.380579071E0
4.067756667E-1,1.758243713E0,-1.095047836E1,1.539398804E0
4.167376667E-1,1.405726776E0,-1.154070099E1,1.653910675E0
4.266996667E-1,1.201401672E0,-1.140029297E1,1.731000366E0
4.366626667E-1,1.561552734E0,-1.065154999E1,1.795965271E0
4.466246667E-1,2.050885162E0,-1.004965164E1,1.525777130E0
4.565866667E-1,2.633473663E0,-9.497899017E0,2.594105530E-1
4.665496667E-1,3.463796997E0,-9.284143524E0,-2.221979370E0
4.765116667E-1,3.976929932E0,-9.698032837E0,-2.965183868E0
4.864736667E-1,3.437751160E0,-9.881251831E0,-2.169288940E0
4.964366667E-1,2.608176270E0,-9.737550659E0,-1.543440399E0
5.063986667E-1,2.205962677E0,-9.381441193E0,-1.163530426E0
5.163606667E-1,2.056872711E0,-9.019793243E0,-1.248852997E0
5.263227917E-1,1.838476868E0,-8.643775177E0,-1.279688873E0
5.362857917E-1,1.658850403E0,-8.342900848E0,-8.620573425E-1
5.462477917E-1,1.810634766E0,-8.266110535E0,-7.406597900E-1
5.562097917E-1,1.961970062E0,-8.341104584E0,-1.221909027E0
5.661727917E-1,2.208507385E0,-8.489595795E0,-1.420545959E0
5.761347917E-1,2.403551788E0,-8.801247711E0,-1.355880432E0
5.860967917E-1,2.313588867E0,-9.210646362E0,-1.115031281E0
5.960597917E-1,2.203268280E0,-9.483379211E0,-8.906478882E-1
6.060217917E-1,2.072739716E0,-9.582323456E0,-1.118623810E0
