"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.359166672E-3,5.300903693E-2,3.103719093E-2,-3.304782137E-2
1.132116667E-2,7.856526226E-2,5.781900138E-2,-4.662860930E-2
2.128216667E-2,8.304913342E-2,3.670876473E-2,-3.262639418E-2
3.124416667E-2,5.793073401E-2,-2.380544692E-2,-2.799995057E-2
4.120516667E-2,1.499170437E-2,-8.789917827E-2,-2.399164252E-2
5.116716667E-2,-2.580366284E-2,-9.778217971E-2,-3.617720306E-2
6.112816667E-2,-3.192174807E-2,-9.870594740E-2,-5.592654645E-2
7.109016667E-2,-1.226336136E-2,-9.371518344E-2,-5.891008675E-2
8.105216667E-2,1.343618892E-2,-8.615839481E-2,-4.524535686E-2
9.101316667E-2,3.784831986E-2,-1.016625166E-1,-3.343769908E-2
1.009751667E-1,5.770194530E-2,-1.419407725E-1,-2.912339754E-2
1.109361667E-1,7.073519379E-2,-1.945440620E-1,-2.078370936E-2
1.208981667E-1,8.149972558E-2,-2.413963974E-1,-9.053967893E-3
1.308591667E-1,1.003261358E-1,-2.889862955E-1,-1.018687524E-2
1.408211667E-1,1.109058782E-1,-3.148498535E-1,-2.386698034E-4
1.507821667E-1,1.088741571E-1,-3.033082485E-1,2.189866966E-3
1.607441667E-1,9.633510560E-2,-2.572905719E-1,-2.977885073E-3
1.707051667E-1,8.231010288E-2,-1.913118362E-1,-4.562466405E-3
1.806671667E-1,6.916955858E-2,-1.220516786E-1,-7.328041829E-3
1.906291667E-1,5.832490698E-2,-5.639516935E-2,-7.270251401E-3
2.005901667E-1,4.451618344E-2,1.183829270E-3,-9.887488559E-3
2.105521667E-1,2.333819307E-2,4.674439132E-2,-1.018789411E-2
2.205131667E-1,5.787682254E-3,6.847741455E-2,-8.654168807E-3
2.304751667E-1,-1.960449293E-2,8.982531726E-2,-1.351283956E-2
2.404361667E-1,-3.613824025E-2,1.041538492E-1,-1.720429398E-2
2.503981667E-1,-3.202152625E-2,8.999435604E-2,-2.639619447E-2
2.603591667E-1,-2.017707936E-2,3.901254013E-2,-1.275264472E-2
2.703211667E-1,-1.239905134E-2,-2.734331228E-2,-5.141063593E-3
2.802821667E-1,-8.437380195E-3,-6.931082159E-2,-3.088672878E-3
2.902441667E-1,-1.206898596E-3,-7.374658436E-2,2.988893539E-5
3.002061667E-1,1.137203071E-2,-4.088115692E-2,-1.881334232E-3
3.101671667E-1,2.574750781E-2,-3.431086987E-2,-1.045964286E-2
3.201291667E-1,1.789004914E-2,-2.679195069E-2,5.444254726E-3
3.300901667E-1,-1.964081451E-2,-4.152151290E-3,5.041584838E-3
3.400521667E-1,-5.847149715E-2,2.030230686E-2,1.099111978E-4
3.500131667E-1,-9.245450050E-2,1.591288485E-2,1.189226843E-2
3.599751667E-1,-1.544793546E-1,-3.081175499E-3,3.402485698E-2
3.699361667E-1,-2.625275254E-1,-1.231701858E-2,4.233605042E-2
3.798981667E-1,-4.303633571E-1,3.072738182E-3,5.237874016E-2
3.898601667E-1,-6.682307720E-1,3.222476691E-2,6.616086513E-2
3.998211667E-1,-9.807031751E-1,7.160484046E-2,9.013003111E-2
4.097831667E-1,-1.360268831E0,1.303427219E-1,1.312077045E-1
4.197441667E-1,-1.809991837E0,2.452917993E-1,1.818137020E-1
4.297061667E-1,-2.261276007E0,3.503585458E-1,2.262115330E-1
4.396671667E-1,-2.609393835E0,2.956868112E-1,2.358216047E-1
4.496291667E-1,-2.871510744E0,5.993449688E-2,2.354764640E-1
4.595901667E-1,-2.979047537E0,-5.124956965E-1,2.603594661E-1
4.695521667E-1,-2.957202911E0,-1.134746194E0,3.381852806E-1
4.795131667E-1,-2.509315968E0,-1.826189280E0,3.321238756E-1
4.894751667E-1,-1.695149660E0,-2.578257561E0,2.633304298E-1
4.994371667E-1,-8.480113745E-1,-2.844897032E0,2.200469226E-1
5.093981667E-1,-4.772807062E-1,-2.316189051E0,2.713780105E-1
5.193601667E-1,-2.164522558E-1,-1.285261631E0,4.099354744E-1
5.293211667E-1,1.150835901E-1,-7.054698467E-1,5.606011152E-1
5.392835417E-1,3.016251028E-1,-3.407438099E-1,5.735632777E-1
5.492445417E-1,-4.001641870E-1,8.280954957E-1,3.017003536E-1
5.592065417E-1,-1.341070771E0,1.557820797E0,-9.994620085E-2
5.691675417E-1,-1.537088275E0,1.209918976E0,-2.327942699E-1
5.791295417E-1,-1.429489136E0,6.912800670E-1,-1.871042550E-1
5.890915417E-1,-1.713077426E0,3.347083330E-1,-2.337604463E-1
5.990525417E-1,-1.903598905E0,2.904463410E-1,-3.622454405E-1
6.090145417E-1,-1.431145668E0,6.685206890E-1,-4.802881777E-1
6.189755417E-1,-6.744766831E-1,1.316319823E0,-5.116012692E-1
6.289375417E-1,8.389730006E-2,1.668452024E0,-4.143434465E-1
6.388985417E-1,4.964744747E-1,1.680484176E0,-2.805446982E-1
6.488605417E-1,6.699072719E-1,1.392480135E0,-2.247107029E-1
6.588215417E-1,8.631803393E-1,1.024837255E0,-1.977026314E-1
6.687835417E-1,1.115552664E0,8.357713819E-1,-1.925369054E-1
6.787455417E-1,1.402988315E0,8.541759253E-1,-1.954416633E-1
6.887065417E-1,1.643600702E0,1.021184921E0,-2.112437934E-1
6.986685417E-1,1.693164945E0,1.232989311E0,-2.850775719E-1
7.086295417E-1,1.595997930E0,1.297541618E0,-3.430250287E-1
7.185915417E-1,1.388615012E0,1.240780830E0,-3.200958371E-1
7.285525417E-1,1.115411162E0,1.075955391E0,-2.368049324E-1
7.385145417E-1,7.841488123E-1,8.193929195E-1,-1.468368024E-1
7.484755417E-1,4.225477576E-1,5.032866597E-1,-5.967314914E-2
7.584375417E-1,1.205049679E-1,1.840862036E-1,1.888177171E-2
7.683985417E-1,-6.925751269E-2,-5.268451571E-2,9.748976678E-2
7.783605417E-1,-2.052828968E-1,-1.857832968E-1,1.402786672E-1
7.883225417E-1,-2.579130828E-1,-2.191963792E-1,1.593266577E-1
7.982835417E-1,-1.694691330E-1,-2.425460666E-1,1.849143952E-1
8.082455417E-1,1.933753118E-2,-3.804503977E-1,2.021208107E-1
8.182065417E-1,2.252635211E-1,-5.793533325E-1,2.370703518E-1
8.281685417E-1,4.179959595E-1,-7.867342234E-1,2.815738916E-1
8.381295417E-1,5.839220285E-1,-9.860130548E-1,3.262927830E-1
8.480915417E-1,7.703182697E-1,-1.159864187E0,3.677051961E-1
8.580525417E-1,9.588077664E-1,-1.264815211E0,4.236516654E-1
8.680145417E-1,1.095152259E0,-1.269012451E0,5.054677129E-1
8.779765417E-1,1.130075693E0,-1.178865194E0,6.034477949E-1
8.879375417E-1,8.950661421E-1,-1.020050287E0,7.389265299E-1
8.978995417E-1,2.859824300E-1,-8.563378453E-1,7.940000892E-1
9.078605417E-1,-4.849425256E-1,-7.962124944E-1,6.103423834E-1
9.178225417E-1,-1.132118106E0,-7.981644273E-1,2.701343298E-1
9.277835417E-1,-1.475173712E0,-7.730920911E-1,-6.711933762E-2
9.377455417E-1,-1.518847942E0,-7.211708426E-1,-2.743848860E-1
9.477075417E-1,-1.344242096E0,-7.091898322E-1,-3.409167826E-1
9.576685417E-1,-1.139646053E0,-6.670607924E-1,-2.854830921E-1
9.676305417E-1,-9.880493283E-1,-5.998681784E-1,-1.946975440E-1
9.775915417E-1,-9.253151417E-1,-5.244557858E-1,-1.202772185E-1
9.875535417E-1,-8.479257822E-1,-4.479301274E-1,-8.132049441E-2
9.975145417E-1,-6.581356525E-1,-3.745866120E-1,-6.107454002E-2
1.007476542E0,-4.629778564E-1,-2.687355578E-1,-8.961750567E-2
1.017437542E0,-5.928453207E-1,-1.041866653E-2,-2.335612625E-1
1.027399542E0,-1.555433512E0,6.336745620E-1,-5.182936788E-1
1.037361542E0,-2.619174719E0,1.051410198E0,-8.329429626E-1
1.047322542E0,-2.994796515E0,8.206651807E-1,-1.069040656E0
1.057284542E0,-2.816202402E0,3.224380910E-1,-1.104871154E0
1.067245542E0,-2.610952616E0,3.939200044E-1,-6.744627357E-1
1.077207542E0,-2.859274387E0,1.104729533E0,8.048838377E-2
1.087168542E0,-2.884851217E0,8.866826892E-1,6.857178211E-1
1.097130542E0,-2.264136553E0,-2.241622210E-1,6.547445655E-1
1.107091542E0,-1.356927991E0,-1.126360774E0,3.113650978E-1
1.117053542E0,-7.284146547E-1,-1.310821056E0,1.968580484E-1
1.127015542E0,-6.030503511E-1,-1.013128042E0,3.058266044E-1
1.136976542E0,-5.810655355E-1,-6.508816481E-1,3.846653402E-1
1.146938542E0,-5.118997693E-1,-2.300204337E-1,3.199380040E-1
1.156899542E0,-4.426877201E-1,2.875353992E-1,1.558337808E-1
1.166861542E0,-3.748732507E-1,4.514697492E-1,-1.667354070E-2
1.176822542E0,-3.007037938E-1,1.964382976E-1,-6.931325793E-2
1.186784542E0,-6.593471020E-2,-2.153079025E-3,-2.296679467E-2
1.196745542E0,2.521060407E-1,-3.604121879E-2,-1.740879379E-4
1.206707542E0,5.128204226E-1,-6.249785796E-2,2.129471861E-2
1.216669542E0,6.839090586E-1,-9.196515381E-2,4.929550365E-2
1.226630542E0,7.846279144E-1,9.919121861E-2,3.579220921E-2
1.236592542E0,9.137594700E-1,4.609228373E-1,4.464717582E-3
1.246553542E0,1.151918292E0,7.039727569E-1,1.029304508E-2
1.256515542E0,1.368993759E0,7.619632483E-1,4.942858592E-2
1.266476542E0,1.488069057E0,8.230915666E-1,8.555117249E-2
1.276438542E0,1.628970146E0,8.661084175E-1,7.521338761E-2
1.286399542E0,1.822797418E0,9.242907166E-1,4.230177402E-2
1.296361542E0,1.985137701E0,1.038337946E0,-2.951482311E-2
1.306323542E0,2.015842915E0,1.171965003E0,-1.282951832E-1
1.316284542E0,1.963024259E0,1.205299973E0,-2.033339292E-1
1.326246542E0,1.858747959E0,1.151757360E0,-2.628260255E-1
1.336207542E0,1.640642166E0,1.067962289E0,-3.083524704E-1
1.346169542E0,1.373285294E0,9.907276630E-1,-3.484157324E-1
1.356130542E0,1.121857643E0,9.354448318E-1,-3.705403507E-1
1.366092542E0,9.405944347E-1,9.207412601E-1,-3.348441422E-1
1.376053542E0,8.111617565E-1,9.415671229E-1,-2.666023672E-1
1.386015542E0,7.156821489E-1,8.984502554E-1,-2.066697627E-1
1.395977542E0,6.284939647E-1,6.894738674E-1,-1.891661286E-1
1.405938542E0,5.046953559E-1,3.710338473E-1,-1.878153831E-1
1.415900542E0,3.642228842E-1,1.797033474E-2,-1.818141937E-1
1.425861542E0,2.827458382E-1,-3.089659810E-1,-1.847604513E-1
1.435823542E0,3.067084849E-1,-5.589820743E-1,-1.838218272E-1
1.445784542E0,4.386276305E-1,-7.469516993E-1,-1.559856683E-1
1.455746542E0,6.009916663E-1,-8.856840730E-1,-1.289458424E-1
1.465707542E0,7.350983620E-1,-9.673640728E-1,-9.053293616E-2
1.475669542E0,8.286578059E-1,-1.000278831E0,-5.006190389E-2
1.485631542E0,8.881983757E-1,-9.838076234E-1,-1.263649948E-2
1.495592542E0,9.338168502E-1,-9.262762070E-1,2.756444365E-2
1.505554542E0,9.694949389E-1,-8.498296142E-1,7.403554022E-2
1.515515542E0,9.966641665E-1,-7.490477562E-1,1.281457692E-1
1.525477542E0,9.903231859E-1,-6.188386679E-1,1.903249919E-1
1.535438542E0,9.400823116E-1,-4.914323986E-1,2.591182292E-1
1.545400042E0,8.460144401E-1,-3.866053224E-1,3.262064755E-1
1.555362042E0,7.093849778E-1,-3.057137132E-1,3.852231503E-1
1.565323042E0,5.411664248E-1,-2.870159447E-1,4.328631163E-1
1.575285042E0,3.429485559E-1,-3.655058742E-1,4.486623704E-1
1.585246042E0,1.119382530E-1,-5.575664043E-1,4.322549105E-1
1.595208042E0,-1.396266669E-1,-8.551688790E-1,3.900583386E-1
1.605169042E0,-4.114514887E-1,-1.192217708E0,3.592783213E-1
1.615131042E0,-7.933766842E-1,-1.484008431E0,3.755096197E-1
1.625092042E0,-1.402502298E0,-1.684958100E0,4.370619357E-1
1.635054042E0,-2.126860380E0,-1.814959168E0,4.718359113E-1
1.645016042E0,-2.666842937E0,-1.879308105E0,4.210931063E-1
1.654977042E0,-2.974843740E0,-1.799167156E0,2.999747694E-1
1.664939042E0,-3.428102255E0,-1.417164087E0,1.384407431E-1
1.674900042E0,-3.995467424E0,-8.457145691E-1,-6.344779581E-2
1.684862042E0,-4.010000706E0,3.736377060E-1,-2.738420367E-1
1.694823042E0,-3.863180637E0,3.299399614E0,-6.092607975E-1
1.704785042E0,-3.897226095E0,5.465967655E0,-9.458665252E-1
1.714746042E0,-3.931921482E0,3.434310913E0,-9.651884437E-1
1.724708042E0,-2.524588346E0,-3.069058359E-1,-4.132685363E-1
1.734670042E0,-2.842577398E-1,-2.471833467E0,-6.312265992E-2
1.744631042E0,1.279111266E0,-3.382194519E0,-5.535554886E-2
1.754593042E0,1.879796743E0,-3.471750259E0,2.877258360E-1
1.764554042E0,1.430704355E0,-2.864387035E0,6.235664487E-1
1.774516042E0,4.372394979E-1,-1.506987810E0,4.348678291E-1
1.784477042E0,7.741953433E-2,-7.959812880E-2,-1.021751203E-2
1.794439042E0,-7.686349005E-2,3.402941525E-1,-1.342833489E-1
1.804400042E0,-4.261684716E-1,2.380809486E-1,-7.529886067E-2
1.814362042E0,-4.676909149E-1,4.580323696E-1,-1.043735072E-1
1.824324042E0,-2.182952166E-1,9.557209611E-1,-1.148503795E-1
1.834285042E0,3.702251986E-2,9.791812301E-1,-9.961321205E-2
1.844247042E0,4.198415279E-1,8.477377295E-1,-1.015333459E-1
1.854208042E0,8.794479370E-1,9.948118329E-1,-7.754037529E-2
1.864170042E0,1.237925649E0,1.203189611E0,-3.943720087E-2
1.874131042E0,1.449701309E0,1.223282933E0,1.003114507E-2
1.884093042E0,1.653627038E0,1.153874278E0,1.184702665E-1
1.894054042E0,1.913701057E0,1.118560076E0,2.276341468E-1
1.904016042E0,2.071542263E0,1.132963777E0,2.128003389E-1
1.913978042E0,2.067987442E0,1.150136828E0,5.287075415E-2
1.923939042E0,1.962492466E0,1.173251510E0,-1.492775530E-1
1.933901042E0,1.793861389E0,1.152552843E0,-3.178241253E-1
1.943862042E0,1.565342188E0,1.058948636E0,-3.150118291E-1
1.953824042E0,1.323720455E0,9.241974354E-1,-2.077757865E-1
1.963785042E0,1.134870887E0,8.868349195E-1,-1.499939710E-1
1.973747042E0,1.018299103E0,1.015686274E0,-1.595835239E-1
1.983708042E0,9.372639060E-1,1.249144316E0,-1.993895322E-1
1.993670042E0,8.269439340E-1,1.418910980E0,-2.725774646E-1
2.003632042E0,6.538208723E-1,1.432238817E0,-4.180222750E-1
2.013593042E0,4.304619133E-1,1.248803735E0,-5.313921571E-1
2.023555042E0,2.181667089E-1,9.761834145E-1,-5.834305882E-1
2.033516042E0,6.283444911E-2,7.100555897E-1,-5.907779336E-1
2.043478042E0,-1.357856952E-2,4.555154443E-1,-5.375877023E-1
2.053439042E0,5.403067917E-6,1.780551225E-1,-4.511425495E-1
2.063401042E0,1.720421463E-1,-1.267497838E-1,-3.568629324E-1
2.073362042E0,4.430666268E-1,-4.298217297E-1,-2.478724867E-1
2.083324042E0,7.062093616E-1,-6.772933006E-1,-1.449905783E-1
2.093286042E0,9.164772034E-1,-8.122584820E-1,-4.328650236E-2
2.103247042E0,1.059571981E0,-8.500205278E-1,5.984307826E-2
2.113209042E0,1.159719586E0,-8.303422928E-1,1.647416651E-1
2.123170042E0,1.233218551E0,-7.967126966E-1,2.740572393E-1
2.133132042E0,1.270813346E0,-7.623535991E-1,3.903490007E-1
2.143093042E0,1.271882892E0,-7.163743973E-1,4.930623174E-1
2.153055042E0,1.232523441E0,-6.621292830E-1,5.500451326E-1
2.163016042E0,1.165141463E0,-6.046388149E-1,5.581805706E-1
2.172978042E0,1.076081634E0,-5.572862625E-1,5.389930010E-1
2.182940042E0,9.695634246E-1,-5.498784184E-1,5.131475329E-1
2.192901042E0,8.472164273E-1,-6.203261614E-1,4.980555177E-1
2.202863042E0,6.888885498E-1,-7.727468610E-1,5.106746554E-1
2.212824042E0,4.788792729E-1,-9.881228805E-1,5.529274344E-1
2.222786042E0,2.086160928E-1,-1.272471905E0,6.305924058E-1
2.232747042E0,-1.101296321E-1,-1.608746886E0,7.230426073E-1
2.242709042E0,-4.436572790E-1,-1.974047422E0,8.126637936E-1
2.252670042E0,-7.821476460E-1,-2.347046852E0,8.963057995E-1
2.262632042E0,-1.181505084E0,-2.747364044E0,9.953535199E-1
2.272594042E0,-1.842468143E0,-3.259263754E0,1.131290197E0
2.282555042E0,-2.890532494E0,-3.886502743E0,1.221896768E0
2.292517042E0,-4.352924347E0,-4.402540684E0,9.655113816E-1
2.302478042E0,-6.002460480E0,-3.474714994E0,3.596541882E-1
2.312440042E0,-5.502023220E0,3.268908739E0,-3.303527236E-1
2.322401042E0,-3.282423019E0,7.453287601E0,-8.350885510E-1
2.332363042E0,-1.704646826E0,6.431157112E0,-7.616239190E-1
2.342325042E0,-1.807877183E0,2.278302670E0,-2.081085742E-1
2.352286042E0,-1.868281960E0,-1.085586667E0,5.058204532E-1
2.362248042E0,-1.594048262E0,-2.608904362E0,5.914738178E-1
2.372209042E0,-9.548990130E-1,-1.948783398E0,3.117257953E-1
2.382171042E0,-2.784497142E-1,-4.064557552E-1,6.415409595E-2
2.392132042E0,1.390671078E-2,4.792309403E-1,-1.378134191E-1
2.402094042E0,1.602087915E-1,8.857316524E-2,-2.154022157E-1
2.412055042E0,2.540476024E-1,-5.984195471E-1,-2.164868712E-1
2.422017042E0,2.904175818E-1,-9.364519119E-1,-1.965925246E-1
2.431979042E0,3.540528715E-1,-8.068733811E-1,-1.642106175E-1
2.441940042E0,4.951612651E-1,-4.697236419E-1,-1.572461873E-1
2.451902042E0,6.973330379E-1,-1.456948966E-1,-1.469085366E-1
2.461863042E0,9.324848056E-1,7.810916007E-2,-1.632568836E-1
2.471825042E0,1.087603569E0,3.038060963E-1,-2.275752872E-1
2.481786042E0,1.216283560E0,5.323439240E-1,-3.223702312E-1
2.491748042E0,1.392135501E0,7.656425834E-1,-3.116290271E-1
2.501709042E0,1.491058946E0,9.991530776E-1,-3.067812622E-1
2.511671042E0,1.488884926E0,1.219844580E0,-3.615364432E-1
2.521633042E0,1.459146023E0,1.402536869E0,-4.087297916E-1
2.531594042E0,1.354582667E0,1.541393161E0,-4.506178200E-1
2.541556292E0,1.218606710E0,1.617209435E0,-4.725588262E-1
2.551517292E0,1.097975731E0,1.628523350E0,-4.972696900E-1
2.561479292E0,1.018497705E0,1.606695294E0,-4.932051599E-1
2.571440292E0,9.515684247E-1,1.522834182E0,-4.782509506E-1
2.581402292E0,8.792575002E-1,1.367132306E0,-4.635521770E-1
2.591363292E0,7.998108268E-1,1.216874123E0,-4.502530992E-1
2.601325292E0,7.130264044E-1,1.066124797E0,-4.648400247E-1
2.611287292E0,5.766109824E-1,8.675033450E-1,-4.925735891E-1
2.621248292E0,3.997294307E-1,6.474798918E-1,-4.858704209E-1
2.631210292E0,2.584541738E-1,5.106525421E-1,-4.202322662E-1
2.641171292E0,2.029872090E-1,4.677439332E-1,-3.232327700E-1
2.651133292E0,2.191033065E-1,4.865410924E-1,-1.987267733E-1
2.661094292E0,2.993779182E-1,5.146587491E-1,-8.395865560E-2
2.671056292E0,4.200423062E-1,5.102950931E-1,2.055515908E-2
2.681017292E0,5.510178804E-1,4.772875905E-1,1.235348061E-1
2.690979292E0,6.521850228E-1,4.431877732E-1,2.164248973E-1
2.700941292E0,7.304481268E-1,4.035295844E-1,2.964709997E-1
2.710902292E0,7.977097631E-1,3.474419415E-1,3.668209016E-1
2.720864292E0,8.514177203E-1,2.626812458E-1,4.372205138E-1
2.730825292E0,8.941561580E-1,1.443623602E-1,5.131323338E-1
2.740787292E0,9.162135124E-1,1.002585143E-2,5.952079892E-1
2.750748292E0,9.126659036E-1,-1.209319234E-1,6.814816594E-1
2.760710292E0,8.776205778E-1,-2.427273393E-1,7.742507458E-1
2.770671292E0,8.003035784E-1,-3.585581183E-1,8.599506617E-1
2.780633292E0,6.660813689E-1,-5.051211715E-1,9.455920458E-1
2.790595292E0,4.979746044E-1,-6.681790948E-1,1.017910004E0
2.800556292E0,3.334966898E-1,-8.261945844E-1,1.065716624E0
2.810518292E0,1.996568441E-1,-9.670598507E-1,1.084340096E0
2.820479292E0,8.597582579E-2,-1.084071159E0,1.065089941E0
2.830441292E0,-4.295371100E-2,-1.199368596E0,1.008410215E0
2.840402292E0,-2.431091815E-1,-1.333158851E0,9.143530130E-1
2.850364292E0,-5.881643891E-1,-1.514505506E0,7.423954010E-1
2.860325292E0,-1.140794277E0,-1.763818383E0,4.829611778E-1
2.870287292E0,-1.994267702E0,-2.084161520E0,1.964997500E-1
2.880249292E0,-3.564690590E0,-2.435042381E0,-8.509411663E-2
2.890210292E0,-5.570877552E0,-2.633159399E0,-2.583810985E-1
2.900172292E0,-5.518867493E0,-2.809332132E0,-7.010200620E-2
2.910133292E0,-4.227843285E0,-2.413947105E0,2.184169143E-1
2.920095292E0,-2.972110033E0,-1.107563972E0,2.710380554E-1
2.930056292E0,-1.382700443E0,2.203230381E0,-7.894529402E-2
2.940018292E0,3.230499029E-1,6.992995262E0,-9.147424102E-1
2.949979292E0,-7.290728092E-1,7.427897930E0,-1.256154776E0
2.959941292E0,-2.503243208E0,1.727829933E0,-4.022188187E-1
2.969903292E0,-1.773661494E0,-1.941302776E0,4.414926171E-1
2.979864292E0,-8.051766753E-1,-2.453016043E0,5.249789953E-1
2.989826292E0,-2.192568481E-1,-1.239910007E0,3.818351328E-1
2.999787292E0,-4.676245749E-1,-1.513573527E-1,2.647897303E-1
3.009749292E0,-6.712256074E-1,-6.425060034E-1,1.325377971E-1
3.019710292E0,-1.425638944E-1,-1.345052600E0,-3.793327138E-2
3.029672292E0,3.549528420E-1,-1.474020958E0,-1.482005268E-1
3.039633292E0,5.002818108E-1,-1.365302444E0,-1.899112165E-1
3.049595292E0,6.224988103E-1,-9.540771842E-1,-1.957671791E-1
3.059557292E0,8.019289970E-1,-4.565337002E-1,-2.814466357E-1
3.069518292E0,9.186744094E-1,1.782580465E-1,-3.500433564E-1
3.079480292E0,9.076457024E-1,8.712205291E-1,-4.444905221E-1
