"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.400875001E-3,-2.672479451E-1,-2.823286057E-1,-2.567891777E-2
1.336287500E-2,-2.826405764E-1,-3.615210950E-1,-3.507530782E-4
2.332487499E-2,-3.085722923E-1,-3.671140075E-1,9.193750098E-3
3.328687500E-2,-3.577729762E-1,-3.088285327E-1,8.374671452E-3
4.324987499E-2,-4.313289523E-1,-2.096902281E-1,5.043855868E-3
5.321187500E-2,-4.885923266E-1,-2.919240296E-2,2.091029286E-2
6.317387499E-2,-5.379524231E-1,1.666980088E-1,4.205526039E-2
7.313587500E-2,-5.797998905E-1,3.369722664E-1,5.172538757E-2
8.309787499E-2,-6.178921461E-1,4.795890749E-1,6.213115528E-2
9.306087500E-2,-6.526538730E-1,5.752375722E-1,8.589997888E-2
1.030228750E-1,-6.802471280E-1,6.150832772E-1,1.186605915E-1
1.129848750E-1,-6.905602217E-1,6.131168604E-1,1.445064396E-1
1.229468750E-1,-6.810545921E-1,5.549409389E-1,1.669539511E-1
1.329088750E-1,-6.517904997E-1,4.400584996E-1,1.715770215E-1
1.428718750E-1,-6.091210842E-1,3.159056604E-1,1.698329151E-1
1.528338750E-1,-5.495236516E-1,2.562224567E-1,1.674658507E-1
1.627958750E-1,-4.861553311E-1,2.564855516E-1,1.632058471E-1
1.727578750E-1,-4.372581840E-1,3.117622733E-1,1.498736441E-1
1.827198750E-1,-4.214672446E-1,3.969272375E-1,1.284218729E-1
1.926828750E-1,-4.467782378E-1,4.781571627E-1,1.092858389E-1
2.026448750E-1,-4.926892519E-1,5.119894147E-1,1.149354726E-1
2.126068750E-1,-5.280011296E-1,4.848359525E-1,1.284437329E-1
2.225688750E-1,-5.409755111E-1,4.397475719E-1,1.279798150E-1
2.325308750E-1,-5.506090522E-1,4.513638914E-1,1.141855195E-1
2.424928750E-1,-5.530056357E-1,4.992794693E-1,9.359875321E-2
2.524558750E-1,-5.472833514E-1,5.259056687E-1,8.247440308E-2
2.624178750E-1,-5.550563335E-1,5.185974240E-1,6.302267313E-2
2.723798750E-1,-6.112368703E-1,5.001105666E-1,2.360560186E-2
2.823418750E-1,-7.358616590E-1,5.205367804E-1,-3.163208812E-2
2.923038750E-1,-8.723428249E-1,6.403578520E-1,-8.955414593E-2
3.022668750E-1,-9.978639483E-1,7.607047558E-1,-1.752472073E-1
