"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.762500008E-4,-9.054670715E-1,-9.692644043E0,-3.667373657E-2
9.684750003E-3,-1.001267853E0,-9.734107819E0,5.703140259E-2
1.964675000E-2,-1.106648712E0,-9.762548676E0,1.450483704E-1
2.960875000E-2,-1.124761047E0,-9.774374084E0,1.841171265E-1
3.957075000E-2,-9.975256348E-1,-9.747280426E0,8.921447754E-2
4.953275000E-2,-8.397537231E-1,-9.726473694E0,-6.885681152E-2
5.949475000E-2,-7.331753540E-1,-9.767488403E0,-2.631527710E-1
6.945675000E-2,-6.602769470E-1,-9.860145721E0,-4.358935547E-1
7.941875000E-2,-6.629713440E-1,-9.930649109E0,-5.096900940E-1
8.938075000E-2,-7.123686218E-1,-9.935588837E0,-5.617817688E-1
9.934275000E-2,-7.155120850E-1,-9.875713348E0,-6.042933655E-1
1.093047500E-1,-6.976991272E-1,-9.825417938E0,-6.286926270E-1
1.192657500E-1,-6.280938721E-1,-9.831704865E0,-6.144721985E-1
1.292277500E-1,-5.035528564E-1,-9.812245331E0,-5.513035583E-1
1.391897500E-1,-4.622387695E-1,-9.671238556E0,-4.986131287E-1
1.491517500E-1,-4.650828552E-1,-9.461374969E0,-4.288581848E-1
1.591137500E-1,-5.430706787E-1,-9.358987885E0,-3.433859253E-1
1.690757500E-1,-7.125183105E-1,-9.354048157E0,-2.924917603E-1
1.790377500E-1,-8.928932190E-1,-9.407786407E0,-2.050735474E-1
1.889997500E-1,-1.067130890E0,-9.557924194E0,-6.256988525E-2
1.989617500E-1,-1.162183228E0,-9.704619141E0,5.508544922E-2
2.089237500E-1,-1.222058716E0,-9.825268250E0,4.191284180E-2
2.188857500E-1,-1.245110779E0,-9.891580353E0,-8.442443848E-2
2.288467500E-1,-1.274000702E0,-9.901908875E0,-2.294728088E-1
2.388087500E-1,-1.271306305E0,-9.824070740E0,-3.008743286E-1
2.487707500E-1,-1.169967041E0,-9.676028595E0,-3.915856934E-1
2.587327500E-1,-1.018332367E0,-9.564959564E0,-5.667214966E-1
2.686947500E-1,-8.843609619E-1,-9.513316956E0,-7.964936829E-1
2.786567500E-1,-6.912625122E-1,-9.541608124E0,-1.098266144E0
2.886187500E-1,-4.026626587E-1,-9.576934662E0,-1.434467010E0
2.985807500E-1,-1.047821045E-2,-9.550589447E0,-1.707050171E0
3.085427500E-1,3.451821899E-1,-9.494156799E0,-1.901046753E0
3.185047500E-1,5.727090454E-1,-9.471703491E0,-2.171683960E0
3.284667500E-1,7.406597900E-1,-9.479487305E0,-2.522404633E0
3.384287500E-1,7.740403748E-1,-9.591753845E0,-2.831062775E0
3.483897500E-1,6.102809143E-1,-9.862840118E0,-3.077749786E0
3.583517500E-1,4.273612976E-1,-1.021820114E1,-3.225791931E0
3.683137500E-1,1.176553345E-1,-1.049183212E1,-3.471730499E0
3.782757500E-1,-4.123924255E-1,-1.113549362E1,-4.124523010E0
3.882377500E-1,-1.102158051E0,-1.177182037E1,-4.952601013E0
3.981997500E-1,-1.343306580E0,-1.171359146E1,-4.902604980E0
4.081617500E-1,-6.852749634E-1,-1.096320190E1,-4.515360260E0
4.181237500E-1,-3.899391174E-1,-1.011731094E1,-3.166814575E0
4.280857500E-1,-6.411167908E-1,-9.752519531E0,-1.921105042E0
4.380477500E-1,-9.253756714E-1,-9.452243958E0,1.148112488E0
4.480097500E-1,-1.043330383E0,-9.038504333E0,1.728904724E-1
4.579707500E-1,-2.164798279E0,-9.886041870E0,-4.251459045E0
4.679327500E-1,-3.032244415E0,-1.136915771E1,-5.496420135E0
