"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-3.337583330E-3,-9.801617432E-1,-9.929301910E0,2.436932373E-1
6.624416666E-3,-5.243595886E-1,-1.008857071E1,-7.409591675E-2
1.658641667E-2,-1.932481384E-1,-1.012853760E1,-4.348457336E-1
2.654841667E-2,-3.248245239E-2,-1.006776398E1,-5.460644531E-1
3.651041667E-2,-6.496490479E-2,-9.914482727E0,-3.201841736E-1
4.647241667E-2,-2.731819153E-1,-9.905052338E0,2.604583740E-2
5.643441667E-2,-5.736071777E-1,-9.948911133E0,2.770738220E-1
6.639641667E-2,-9.427395630E-1,-9.843380585E0,4.004173279E-1
7.635841667E-2,-1.232686615E0,-9.634564819E0,4.206253052E-1
8.631941667E-2,-1.376986542E0,-9.409582672E0,4.065545654E-1
9.628141667E-2,-1.421294403E0,-9.231752472E0,3.911366272E-1
1.062434167E-1,-1.443747711E0,-9.155710602E0,4.249662781E-1
1.162054167E-1,-1.410816193E0,-9.168733521E0,5.507048035E-1
1.261674167E-1,-1.274150391E0,-9.237590332E0,7.891589355E-1
1.361294167E-1,-1.097068634E0,-9.247320099E0,9.556127930E-1
1.460914167E-1,-9.131011963E-1,-9.236093445E0,9.529183960E-1
1.560534167E-1,-8.072712708E-1,-9.293274536E0,8.048762512E-1
1.660154167E-1,-8.408015442E-1,-9.506131897E0,5.330415344E-1
1.759774167E-1,-1.010099487E0,-9.782906342E0,3.215313721E-1
1.859394167E-1,-1.247805176E0,-9.955647125E0,1.902543640E-1
1.959014167E-1,-1.448986816E0,-9.965077515E0,4.385879517E-2
2.058634167E-1,-1.522633667E0,-9.781409454E0,-1.911524963E-1
2.158244167E-1,-1.523232422E0,-9.539512482E0,-4.471202087E-1
2.257864167E-1,-1.461111603E0,-9.450298004E0,-5.210664368E-1
2.357484167E-1,-1.376537476E0,-9.523346100E0,-3.733236694E-1
2.457104167E-1,-1.291214905E0,-9.555828552E0,-2.168989563E-1
2.556724167E-1,-1.184935913E0,-9.474846954E0,-2.420466614E-1
2.656344167E-1,-1.073567505E0,-9.357191620E0,-3.941304016E-1
2.755964167E-1,-9.815089417E-1,-9.299860840E0,-6.120771790E-1
2.855584167E-1,-9.952803040E-1,-9.333690491E0,-8.180488586E-1
2.955204167E-1,-1.197809143E0,-9.468859406E0,-8.494834900E-1
3.054824167E-1,-1.525477753E0,-9.665550385E0,-7.658074951E-1
3.154444167E-1,-1.794468384E0,-9.671987000E0,-7.288343811E-1
3.254064167E-1,-1.988015900E0,-9.470356293E0,-7.893086243E-1
3.353674167E-1,-2.182760925E0,-9.386081543E0,-8.532257080E-1
3.453294167E-1,-2.335742798E0,-9.418863373E0,-8.306227112E-1
3.552914167E-1,-2.376158752E0,-9.480535126E0,-6.253994751E-1
3.652534167E-1,-2.342029724E0,-9.486372986E0,-3.303630066E-1
3.752154167E-1,-2.255659332E0,-9.418713684E0,-7.589218140E-2
